word	pinyin	english	chinese	num_sentences_needed
草莓	cao3 mei2	(Tw) hickey	皮肤上的红紫印	6
草莓	cao3 mei2	love bite	恋人间的吸吮吻痕	6
保管	bao3 guan3	to hold in safekeeping; to have in one's care	代为看管和负责保管物品	6
保管	bao3 guan3	to guarantee	为某事物提供担保或保证	1
保管	bao3 guan3	certainly; surely	确实地或必然地	3
保管	bao3 guan3	custodian; curator	负责保管物品的人或机构	5
得罪	de2 zui4	to commit an offense	犯下冒犯或不当行为	6
得罪	de2 zui4	to violate the law	违反法律或相关规定	6
得罪	de2 zui4	excuse me! (formal)	用于正式致歉的客套用语	6
得罪	de2 zui5	to offend sb	冒犯他人使其不悦	1
