word	pinyin	english	chinese	num_sentences_needed
抑制	yi4 zhi4	to keep down	压制使降低或减弱	7
抑制	yi4 zhi4	to suppress	强力镇压消除	7
分家	fen1 jia1	division of a large family into smaller groups	大家庭划分为若干小家庭	7
分成	fen1 cheng2	to divide (into)	把整体分成若干部分	7
分成	fen1 cheng2	to split a bonus	按约定比例分配奖金或利润	5
分成	fen1 cheng2	to break into	强行进入或突破防线	7
分成	fen1 cheng2	tenths	十分之一的份额	7
分成	fen1 cheng2	percentage allotment	按百分比分配的份额	7
詹姆斯	Zhan1 mu3 si1	James (name)	詹姆斯男子名	7
詹姆斯	Zhan1 mu3 si1	LeBron James (1984-), NBA player	美国篮球运动员勒布朗·詹姆斯	7
