word	pinyin	english	chinese	num_sentences_needed
网球	wang3 qiu2	tennis ball	用于网球运动的专用球	6
线下	xian4 xia4	offline	不通过网络的活动	6
线下	xian4 xia4	below the line	位于分界线或底线以下	6
乾隆	Qian2 long2	the Qianlong era	乾隆年间	6
乾隆	Qian2 long2	Qianlong Emperor (1711–1799), sixth Qing emperor, princely title 寶親王|宝亲王[Bao3 Qin1 wang2], personal name 弘曆|弘历[Hong2 li4], reigned 1735–1799	清朝乾隆皇帝	6
事机	shi4 ji1	confidential aspects of a matter	事情中涉及的机密要点	6
事机	shi4 ji1	secrets	隐秘的事项或秘密	4
事机	shi4 ji1	key moment for action	采取行动的关键时刻	6
井	Jing3	Jing, one of the 28 constellations of Chinese astronomy	二十八宿之一的井宿	6
井	Jing3	surname Jing	井姓	6
