word	pinyin	english	chinese	num_sentences_needed
日化	ri4 hua4	rhotic	具有r音或r化特征	6
话剧	hua4 ju4	stage play	在舞台上表演的戏剧	1
话剧	hua4 ju4	modern drama	现代题材的现实主义舞台剧	6
电子警察	dian4 zi3 jing3 cha2	traffic camera	道路交通的监控摄像装置	6
电子警察	dian4 zi3 jing3 cha2	speed camera	专用于测速的摄像监测设备	6
电子警察	dian4 zi3 jing3 cha2	closed-circuit TV police surveillance	用于城市治安的闭路电视监控系统	6
心跳	xin1 tiao4	heartbeat	心脏有节律的跳动	6
心跳	xin1 tiao4	pulse	脉搏或心脏搏动的感觉	6
载体	zai4 ti3	carrier (chemistry)	化学反应中的载体	6
载体	zai4 ti3	vector (epidemiology)	传染病的传播媒介	6
