word	pinyin	english	chinese	num_sentences_needed
家用	jia1 yong4	domestic	家庭内部使用的	6
家用	jia1 yong4	family expenses	家庭日常开支	1
家用	jia1 yong4	housekeeping money	用于家务的生活费	6
不知所以	bu4 zhi1 suo3 yi3	(idiom) to not know the reason	不明白原因	6
不知所以	bu4 zhi1 suo3 yi3	(idiom) to not know what to do	不知如何应对或处理	6
有无	you3 wu2	to have or have not	存在或不存在	6
有无	you3 wu2	surplus and shortfall	有余或不足，盈亏得失	6
有无	you3 wu2	tangible and intangible	有形与无形的事物	6
有无	you3 wu2	corporeal and incorporeal	有实体的和无实体的存在	6
中南	Zhong1 Nan2	South Central China (Henan, Hubei, Hunan, Guangdong, Guangxi, Hainan)	中国的中南地区	4
