word	pinyin	english	chinese	num_sentences_needed
狐狸	hu2 li5	fox	狐，野生犬科动物	6
狐狸	hu2 li5	fig. sly and treacherous person	比喻狡猾阴险的人	6
后怕	hou4 pa4	lingering fear	事后仍然心有余悸	6
后怕	hou4 pa4	fear after the event	经历危险后产生的恐惧	2
后怕	hou4 pa4	post-traumatic stress	创伤后持续的心理恐惧反应	6
修行	xiu1 xing2	to devote oneself to spiritual development (esp. Buddhism or Daoism)	修炼宗教戒律以求觉悟或解脱	1
修行	xiu1 xing2	to devote oneself to perfecting one's art or craft	刻意钻研并磨练技艺以求精进	6
万能	wan4 neng2	omnipotent	全能无所不能的	3
万能	wan4 neng2	all-purpose	多用途、适用广泛的	1
万能	wan4 neng2	universal	普遍适用的通用性质	6
