word	pinyin	english	chinese	num_sentences_needed
大王	da4 wang2	person having expert skill in something	在某项技艺上非常拿手的高手	1
大王	dai4 wang5	robber baron (in opera, old stories)	戏曲或古代传说中的匪首或首领	2
大王	dai4 wang5	magnate	掌握大量财富或权势的巨商	3
面子	mian4 zi5	outer surface; the outside of sth	物体的外表或表面	5
面子	mian4 zi5	(medicinal) powder	药用的粉末	6
手书	shou3 shu1	to write personally	亲自手写	1
手书	shou3 shu1	personal letter	亲笔书写的信件	4
大纲	da4 gang1	synopsis	内容的概要性概述	6
大纲	da4 gang1	outline	书面或演讲的结构性提纲	6
大纲	da4 gang1	program	工作或活动的总体方案	6
