word	pinyin	english	chinese	num_sentences_needed
质量数	zhi4 liang4 shu4	atomic weight of an element	元素的相对原子质量数	6
质量数	zhi4 liang4 shu4	atomic mass	原子或核子的质量数值	6
接住	jie1 zhu4	to catch (sth thrown etc)	用手接住被抛掷的物品以防止其落地或受损	6
接住	jie1 zhu4	to receive (sth given)	接过别人递交的物品并妥善收存或当下保管	6
接住	jie1 zhu4	to accept	接受赠与、委托或提议并予以承认或正式同意	6
起伏	qi3 fu2	to move up and down	上下起落	6
起伏	qi3 fu2	to undulate	波动起伏呈波状	6
起伏	qi3 fu2	ups and downs	兴衰或变化的高低起落	6
单单	dan1 dan1	only	仅有而无其他	1
单单	dan1 dan1	merely	不过只是并无更多	6
