word	pinyin	english	chinese	num_sentences_needed
最后	zui4 hou4	finally; in the end	表示事情结束时或最终结果	6
么	ma2	exclamatory final particle	用于句末表示感叹的助词	9
么	ma5	interrogative final particle	用于句末表示疑问的语气助词	9
么	me5	suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc	构成疑问词或指示词的词尾用法	9
麽	mo2	tiny	极小，很微小	9
麽	mo2	insignificant	微不足道，无足轻重	9
内容	nei4 rong2	content	事物包含的内容或信息	4
内容	nei4 rong2	substance	事物的实质或要旨	9
内容	nei4 rong2	details	具体的细节或条目	9
许多	xu3 duo1	many	很多	4
