word	pinyin	english	chinese	num_sentences_needed
抵御	di3 yu4	to resist	抵抗敌人或外来攻击	6
抵御	di3 yu4	to withstand	承受并顶住压力或攻击	6
拉黑	la1 hei1	to add sb to one's blacklist (on a cellphone, or in instant messaging software etc)	将某人加入黑名单以屏蔽其联系	6
用人	yong4 ren2	servant	仆人或佣工	6
用人	yong4 ren2	to employ sb for a job	雇用某人从事工作	1
用人	yong4 ren2	to manage people	管理和调配人员	6
用人	yong4 ren2	to be in need of staff	需要人手或雇员	5
招呼	zhao1 hu5	to call out to	呼喊以引起对方注意	6
招呼	zhao1 hu5	to greet	见面时向人致意问候	6
招呼	zhao1 hu5	to say hello to	口头上向某人打招呼	6
