word	pinyin	english	chinese	num_sentences_needed
失踪	shi1 zong1	unaccounted for	下落无人交代	7
话说	hua4 shuo1	It is said that ... (at the start of a narrative)	用于引出传闻或故事的开头语	4
话说	hua4 shuo1	to discuss; to recount	叙述或讨论某件事	3
易	Yi4	surname Yi	易姓	7
易	yi4	easy	容易做到的	7
易	yi4	amiable	和蔼可亲的	7
易	yi4	to change	改变或更改	7
易	yi4	to exchange	互相交换或兑换	7
易	yi4	"prefix corresponding to the English adjective suffix ""-able"" or ""-ible"""	表示可……的形容词前缀	7
输出	shu1 chu1	to export (goods, services, technology etc)	把商品或服务销往国外	2
