word	pinyin	english	chinese	num_sentences_needed
多样化	duo1 yang4 hua4	diversification	趋向多元的多样化	6
多样化	duo1 yang4 hua4	to diversify	使事物在种类或形式上多样化	6
民权	min2 quan2	civil liberties	公民应享有的基本自由与权利	1
大同	Da4 tong2	(Confucianism) Great Harmony (concept of an ideal society)	儒家理想的天下大同	6
共赢	gong4 ying2	mutually profitable	双方互利的合作关系	6
共赢	gong4 ying2	win-win	各方皆获利益的局面	6
大牛	da4 niu2	(coll.) leading light	行业内的领军人物	6
大牛	da4 niu2	superstar	极受欢迎的超级明星	6
大牛	da4 niu2	badass	很厉害、令人敬畏的人物	6
大牛	da4 niu2	(coll.) higher-priced model of Lamborghini	兰博基尼的高价车型	6
