word	pinyin	english	chinese	num_sentences_needed
安息	an1 xi1	to rest; to go to sleep	休息或就寝	3
安息	an1 xi1	to rest in peace	死后安宁或长眠	1
普通车	pu3 tong1 che1	local train	停靠所有车站的慢速列车	6
普通车	pu3 tong1 che1	ordinary vehicle	普通的交通工具或车辆	6
开方	kai1 fang1	(medicine) to write out a prescription	开药方或开处方	1
开方	kai1 fang1	(math.) to extract a root from a given quantity	进行开方运算，求数的根	6
书案	shu1 an4	writing desk	专供写字或读书用的桌案	6
书案	shu1 an4	official record	公文或案件的书面记录	6
上供	shang4 gong4	to make offerings (to gods or ancestors)	祭祀时供奉神灵或祖先	5
上供	shang4 gong4	to offer gifts to superiors in order to win their favor	向上级送礼以巴结取宠	6
