word	pinyin	english	chinese	num_sentences_needed
胜	sheng4	(Taiwan pr. [sheng1]) able to bear	能够承受或忍受	7
胜	sheng4	equal to (a task)	胜任某项工作或任务	7
动手	dong4 shou3	to set about (a task)	开始着手做某事	7
动手	dong4 shou3	to raise a hand to hit sb	举手欲打人	7
动手	dong4 shou3	to touch; to handle (typically used in cautioning sb *not* to touch sth)	触摸或摆弄（通常用于禁止触碰）	7
包围	bao1 wei2	to surround	从四面将其围住	2
包围	bao1 wei2	to encircle	环绕形成圈状包围	7
包围	bao1 wei2	to hem in	把对方困在某一范围内	7
眼	yan3	eye (CL:隻|只[zhi1],雙|双[shuang1])	眼睛	7
眼	yan3	(often used with 一[yi1]) a look; a glance	短促的一瞥或注视	7
