word	pinyin	english	chinese	num_sentences_needed
维持生活	wei2 chi2 sheng1 huo2	to subsist	维持生活，总称维持生计	6
维持生活	wei2 chi2 sheng1 huo2	to eke out a living	靠微薄收入勉强维持生计	6
维持生活	wei2 chi2 sheng1 huo2	to keep body and soul together	维持基本的生命与温饱	6
焚烧	fen2 shao1	to burn	用火烧毁	6
焚烧	fen2 shao1	to set on fire	点燃使之燃烧起来	6
无缘	wu2 yuan2	to have no opportunity	没有机会接近或相遇成缘	6
无缘	wu2 yuan2	no way (of doing sth)	没有办法或途径去实现某事	6
无缘	wu2 yuan2	no chance	缺乏成功或发生的可能性没有机会	6
无缘	wu2 yuan2	no connection	彼此之间没有关联或牵连	6
无缘	wu2 yuan2	not placed (in a competition)	比赛或评选中未能名列未获名次	6
