word	pinyin	english	chinese	num_sentences_needed
淹没	yan1 mo4	to drown out (also fig.)	使声音或影响被更强的覆盖	6
等差	deng3 cha1	degree of disparity	差别的程度	6
等差	deng3 cha1	equal difference	各项间相等的差值	6
头位	tou2 wei4	(car racing) pole position	赛车起跑的首位发车位	6
头位	tou2 wei4	(obstetrics) cephalic presentation (i.e. head-first birth)	产科指胎儿头先露的胎位	6
抓手	zhua1 shou3	starting point	着手的切入点或突破口	6
抓手	zhua1 shou3	mechanical hand	机械装置上的机械手臂	6
抓手	zhua1 shou3	gripper	用于夹持的抓具或夹爪	6
技术指导	ji4 shu4 zhi3 dao3	technical instructor	教授或指导技术操作的导师	6
技术指导	ji4 shu4 zhi3 dao3	coach	提供技能训练与实战辅导的教练	6
