word	pinyin	english	chinese	num_sentences_needed
鬼	gui3	disembodied spirit; ghost; devil	无实体的灵魂或鬼魂	8
鬼	gui3	(suffix) person with a certain vice or addiction etc	作后缀表示具有某种恶习的人	8
鬼	gui3	sly; crafty; resourceful (variant of 詭|诡[gui3])	形容狡猾机变或诡诈多变	8
鬼	gui3	one of the 28 constellations of ancient Chinese astronomy	古代天文学中的二十八宿之一	8
具备	ju4 bei4	to possess	具备抽象的条件或资格	8
具备	ju4 bei4	to have	拥有具体的物品或要素	3
具备	ju4 bei4	equipped with	配备齐全	8
具备	ju4 bei4	able to fulfill (conditions or requirements)	达到要求能履行或完成	8
当月	dang1 yue4	on that month	在那个月	3
当月	dang4 yue4	the same month	同一月份	8
