word	pinyin	english	chinese	num_sentences_needed
转	zhuan4	classifier for repeated actions	表示动作重复次数的量词	8
办	ban4	to take care of (a matter); to deal with (a task, procedure etc); to organize (an event)	处理事务或组织活动	8
办	ban4	to establish; to set up; to manage; to run (an enterprise)	创办或经营机构	8
办	ban4	(law) to handle; to investigate; to prosecute (a case or suspect)	依法办理或侦办案件	8
办	ban4	(bound form) office (as in 招辦|招办[zhao1 ban4], admissions office) (abbr. for 辦公室|办公室[ban4 gong1 shi4])	机构的办公处或办公场所	8
谈	Tan2	surname Tan	谈姓	8
谈	tan2	to speak	发出言语表达看法	8
谈	tan2	to talk	与他人进行交谈	8
谈	tan2	to converse	进行对话交流意见	8
谈	tan2	to chat	闲聊或轻松聊天	8
