word	pinyin	english	chinese	num_sentences_needed
转位	zhuan3 wei4	to transpose	把两个成分互换位置	6
转位	zhuan4 wei4	index (rotating gauge)	旋转式仪表的刻度指示器	6
转位	zhuan4 wei4	cam gradation	凸轮的分度或角度分级	6
合作社	he2 zuo4 she4	cooperative	成员共同经营的组织	6
合作社	he2 zuo4 she4	workers' or agricultural producers' cooperative etc	工人或农民的集体经营组织	6
名相	ming2 xiang4	famous prime minister (in ancient China)	历史上著名的宰相	6
名相	ming2 xiang4	names and appearances (Buddhism)	佛教中指名号与外在相貌	6
吸血鬼	xi1 xue4 gui3	leech	以吸血为生的生物或形象	6
吸血鬼	xi1 xue4 gui3	bloodsucking vermin	吸血的害虫或危害性寄生虫	6
吸血鬼	xi1 xue4 gui3	vampire (translated European notion)	欧洲传说中吸食人血的怪物	6
