word	pinyin	english	chinese	num_sentences_needed
从来没有	cong2 lai2 mei2 you3	(before a verb) has never	放在动词前表示从未发生过	6
后宫	hou4 gong1	harem	帝王的妃嫔及其居所	6
后宫	hou4 gong1	chambers of imperial concubines	供妃嫔居住的宫殿部门	6
徒弟	tu2 di4	apprentice	学徒，跟随师傅学手艺的人	6
徒弟	tu2 di4	disciple	信徒或思想上的追随者	6
修炼	xiu1 lian4	(of Taoists) to practice austerities	道家或宗教的修行法门	6
修炼	xiu1 lian4	to practice asceticism	通过苦行磨炼身心	6
萎缩	wei3 suo1	to wither	体积或规模逐渐缩小	6
萎缩	wei3 suo1	to dry up (of a plant)	植物因缺水而干枯	6
萎缩	wei3 suo1	to atrophy (of muscle, social custom etc)	器官或功能退化衰减	6
