word	pinyin	english	chinese	num_sentences_needed
长途	chang2 tu2	long distance	长距离的	6
长途	chang2 tu2	long-distance phone call (abbr. for 長途電話|长途电话[chang2 tu2 dian4 hua4])	长距离电话	6
长途	chang2 tu2	long-distance coach (abbr. for 長途汽車|长途汽车[chang2 tu2 qi4 che1])	长途客车	6
定级	ding4 ji2	to grade	对事物进行分级评价	6
定级	ding4 ji2	to rank	确定名次或排序等级	6
定级	ding4 ji2	to establish the level of sb or sth	确定某人或某物的水平	6
开学	kai1 xue2	(of a student) to start school	学生上学或入学开始	6
开学	kai1 xue2	(of a semester) to begin	学期或课程的开始	1
开学	kai1 xue2	(old) to found a school	创办学校	6
开学	kai1 xue2	the start of a new term	学期开始的日子	6
