word	pinyin	english	chinese	num_sentences_needed
温和	wen1 huo5	lukewarm	温而不热	1
连写	lian2 xie3	to write without lifting one's pen from the paper	不断笔写出文字	7
连写	lian2 xie3	(in the Romanization of Chinese) to write two or more syllables together as a single word (not separated by spaces)	把多个音节合写成一个词	7
不加	bu4 jia1	without	没有不具备	7
不加	bu4 jia1	not	不用于否定	7
不加	bu4 jia1	un-	表示否定意义的前缀	7
不好意思	bu4 hao3 yi4 si5	to feel embarrassed	感到尴尬或局促	7
不好意思	bu4 hao3 yi4 si5	to find it embarrassing	觉得令人难为情或不好意思	7
不好意思	bu4 hao3 yi4 si5	to be sorry (for inconveniencing sb)	为给对方带来不便而表示歉意	7
听书	ting1 shu1	to listen to a performance of pinghua storytelling 評話|评话[ping2 hua4]	听评话等口头说唱表演	7
