word	pinyin	english	chinese	num_sentences_needed
基本原则	ji1 ben3 yuan2 ze2	guiding principle	指导行动或决策的准则	6
基本原则	ji1 ben3 yuan2 ze2	raison d'être	事物存在或行动的根本理由	6
报系	bao4 xi4	newspaper chain	旗下拥有多家报纸的媒体集团	6
报系	bao4 xi4	syndicate	联合发行或经营新闻的组织	6
仪表	yi2 biao3	appearance	外表形象或面貌	6
仪表	yi2 biao3	bearing	气质风度与外在仪态	6
仪表	yi2 biao3	meter (i.e. measuring instrument)	用于显示和测量的仪器表盘	6
沿线	yan2 xian4	along the line (e.g. railway)	沿着某条线路分布或延伸	6
沿线	yan2 xian4	the region near the line	靠近路线的沿线地带	4
死后	si3 hou4	after death	人去世之后的时间	6
