word	pinyin	english	chinese	num_sentences_needed
自取	zi4 qu3	to court (disaster)	自找灾祸导致不幸或灭亡	6
无从	wu2 cong2	not to have access	无法获得或接触	6
无从	wu2 cong2	beyond one's authority or capability	超出权限或能力所及	6
无从	wu2 cong2	sth one has no way of doing	没有办法做到	1
人情	ren2 qing2	human emotions	人与人之间的情感	6
至关重要	zhi4 guan1 zhong4 yao4	extremely important	极其重要的关键性	6
至关重要	zhi4 guan1 zhong4 yao4	vital	对成功成败有决定作用	6
至关重要	zhi4 guan1 zhong4 yao4	crucial	不可或缺的关键因素	6
至关重要	zhi4 guan1 zhong4 yao4	essential	至关紧要，影响全局的程度	6
鲜	xian1	fresh	新鲜的	6
