word	pinyin	english	chinese	num_sentences_needed
上天	shang4 tian1	to fly skywards	飞向天空或升入空中	1
上天	shang4 tian1	(euphemism) to die; to pass away	委婉表示死亡或去世	6
上天	shang4 tian1	the previous day (or days)	前一天或数日前的时间	6
富人	fu4 ren2	rich person	个别富有的人	6
富人	fu4 ren2	the rich	富裕阶层或有钱人群体	6
有份	you3 fen4	to have a share of (responsibility etc)	分得一份责任或利益	6
有份	you3 fen4	to be concerned	与某事有关，涉及其中	6
有份	you3 fen4	to be involved	参与或牵涉在内	6
防线	fang2 xian4	defensive line or perimeter	防守的界线或设防阵地	1
不详	bu4 xiang2	not in detail	未作详细说明缺乏细节	6
