word	pinyin	english	chinese	num_sentences_needed
整	zheng3	(bound form) to repair; to mend; to renovate	修理或维修使恢复功能	7
整	zheng3	(coll.) to fix sb; to give sb a hard time; to mess with sb	捉弄或算计使人为难	7
整	zheng3	(dialect) to tinker with; to do sth to	随意摆弄或做些小改动	7
寄	ji4	to entrust; to place in sb's care	委托他人代为保管或照看	7
寄	ji4	(bound form) to depend on; to attach oneself to; to reside temporarily	依附或暂时居住在他人处	7
寄	ji4	(bound form) foster (as in 寄女[ji4 nu : 3] foster daughter)	把子女交别人抚养的寄养	7
寄	ji4	to send by post; to mail	用邮递方式寄送信件或包裹	7
防御	fang2 yu4	defense	抵御敌害的军事或防护行为	7
防御	fang2 yu4	to defend	进行防护或阻挡的动作	7
服务器	fu2 wu4 qi4	server (computer)	计算机网络中提供服务的主机	7
