word	pinyin	english	chinese	num_sentences_needed
滑雪	hua2 xue3	skiing	以滑雪为项目的运动或活动	6
吕	Lu:3	surname Lü	吕姓	6
吕	lu:3	pitchpipe, pitch standard, one of the twelve semitones in the traditional tone system	用于定音的吹管或传统十二律中的某个半音	6
老家	lao3 jia1	native place	故乡	6
老家	lao3 jia1	place of origin	出身地或籍贯	6
呦	you1	Oh! (exclamation of dismay etc)	表示惊讶或不悦的感叹词	6
涨幅	zhang3 fu2	extent of a rise (in prices etc)	上涨的幅度或程度	6
涨幅	zhang3 fu2	amount of increase	绝对增加的数量或数额	6
涨幅	zhang3 fu2	growth (typically expressed as a percentage)	以百分比表示的增长率	6
不容	bu4 rong2	must not	绝不允许或决不容许	6
