word	pinyin	english	chinese	num_sentences_needed
出血	chu1 xue4	to bleed; bleeding	身体流出血液	6
出血	chu1 xue4	(fig.) to spend money in large amounts	大量花费金钱	6
分组	fen1 zu3	to divide into groups	把人或物分成若干小组	6
分组	fen1 zu3	group (formed from a larger group)	由大团体中组成的小组	6
分组	fen1 zu3	subgroup	隶属于更大单位的子小组	6
分组	fen1 zu3	(computer networking) packet	计算机网络中的数据包	6
认出	ren4 chu1	recognition	认定某人或物的身份	6
认出	ren4 chu1	to recognize	看出并区分出对象	6
分页	fen1 ye4	(computing) to insert a page break	插入分页符使换页	6
分页	fen1 ye4	to paginate	为文档自动或手动分页	6
