word	pinyin	english	chinese	num_sentences_needed
遏制	e4 zhi4	to constrain	对行为施加约束或限制	6
遏制	e4 zhi4	to restrain	强行抑制或遏止某种事物	6
勇于	yong3 yu2	to dare to	有勇气去做某事	6
勇于	yong3 yu2	to be brave enough to	敢于承担或面对	6
发酵	fa1 jiao4	to ferment	通过微生物作用产生酸味和气体	6
发酵	fa1 jiao4	(fig.) (of trends, emotions or repercussions etc) to bubble away; to simmer; to develop	事态或情绪在暗中酝酿发展	6
发面	fa1 mian4	to leaven dough	使面团发酵膨松	6
议长	yi4 zhang3	chairman (of a legislative assembly)	立法机构中主持议事的主席	6
议长	yi4 zhang3	speaker	会议中的主要发言人或主持者	6
警卫	jing3 wei4	to stand guard over	守卫防护的动作或职责	6
