word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
支持	zhi1 chi2	提供资助或实质性后援	这家初创公司获得了多家风险投资机构的#支持#，首轮融资金额高达五千万美元。	政府决定#支持#这项农村基础设施建设项目，拨款三亿元用于道路和水利工程。	没有母校的资金#支持#，这个实验室根本无法购置如此昂贵的科研设备。	他的创业计划得到了家人的全力#支持#，父母甚至抵押了房子为他筹集启动资金。	国际货币基金组织宣布将#支持#该发展中国家的经济改革计划，提供低息贷款援助。	这部独立电影能够顺利完成拍摄，离不开众筹平台上数千名影迷的资金#支持#。	地方政府出台新政策，#支持#中小企业发展，包括税收减免和贷款担保等多项措施。	慈善基金会决定#支持#偏远山区的教育事业，捐建了十所希望小学。	科技部将重点#支持#人工智能和新能源领域的基础研究，年度经费预算增加百分之三十。				
支持	zhi1 chi2	支持或援助的行为或力量	在全国人民的#支持#下，灾区重建工作进展顺利，仅用两年时间就恢复了正常生活秩序。	这位候选人在民调中遥遥领先，主要得益于年轻选民的强大#支持#。	没有广大群众的#支持#，任何改革措施都难以真正落地实施。	她在职业生涯最低谷的时候，是朋友们的#支持#让她重新振作起来。	这项环保法案能够在议会通过，离不开民间环保组织的大力#支持#。	球队主场作战时，球迷们热情的#支持#往往能激发球员超常发挥。	工会的#支持#是这次罢工能够持续三个月的关键因素。	他竞选成功后发表感言，感谢所有支持者一路以来的信任和#支持#。					
支持	zhi1 chi2	（尤指政治或财务的）后援	这位参议员之所以能连任三届，背后有石油财团的强大#支持#。	反对党领袖公开表示，他们将为这项民生法案提供跨党派的#支持#。	没有华尔街金融巨头的#支持#，他根本不可能在总统初选中走到最后。	这个非政府组织长期接受欧盟的#支持#，在难民救助领域发挥着重要作用。	地方选举中，获得工会#支持#的候选人往往在蓝领选区具有明显优势。	他的政治生涯能够东山再起，很大程度上依靠老战友们在幕后的#支持#。	这项基础设施法案最终获得通过，是因为争取到了中间派议员的关键#支持#。	企业界的#支持#对于推动这项税改方案至关重要，游说团体已经开始积极运作。	她宣布参选后，立即获得了多位前任政府高官的公开#支持#。				
支持	zhi1 chi2	在困难时站在某人一边	当所有人都质疑他的决定时，只有妻子始终默默#支持#着他，从未动摇过。	真正的朋友不是锦上添花，而是在你最困难的时候依然#支持#你。	父母虽然不理解她放弃高薪工作去支教的选择，但最终还是选择#支持#女儿追随内心。	在那段被网络暴力围攻的日子里，是粉丝们坚定的#支持#让她没有崩溃。	他因为坚持#支持#被冤枉的同事而得罪了领导，但他说自己问心无愧。	当整个行业都在嘲笑他的创新理念时，导师是唯一#支持#他继续研究的人。	她在家庭会议上明确表态#支持#弟弟出国留学的决定，愿意承担部分费用。	即使全世界都反对，我也会#支持#你走自己选择的路。	老教授在学术界备受争议的时期，只有几位学生始终#支持#他的研究方向。				
无	wu2	不具备或不存在	这份合同#无#法律效力，因为签署时一方当事人尚未成年。	经过反复检测，实验结果显示该样本中#无#任何有害物质残留。	他出生于一个#无#权#无#势的普通农民家庭，却凭借自己的努力考上了名牌大学。	这款新型材料#无#色#无#味，在医疗器械领域具有广泛的应用前景。	调查组经过三个月的取证工作，确认当事人#无#违法违纪行为。	古人云"#无#规矩不成方圆"，强调制度和规范的重要性。	这片荒漠#无#人烟，方圆百里看不到任何人类活动的痕迹。	她的发言#无#可挑剔，逻辑清晰，论据充分，赢得了评委的一致好评。	这种罕见疾病目前#无#药可治，医学界正在积极寻找新的治疗方案。				
无	wu2	表示否定的词汇	在法庭上，被告对所有指控均表示"#无#罪"，坚称自己是被陷害的。	问卷调查的选项设置为"有"和"#无#"两种，便于统计分析。	医生在病历上写下"#无#过敏史"，然后开始询问患者的其他症状。	表格中"#无#"字样表示该项目不适用于当前申请人的情况。	他在申请表的犯罪记录一栏填写了"#无#"，顺利通过了背景审查。	古文中"#无#"与"有"相对，是最基本的否定表达方式之一。	入境申报单上要求旅客如实填写，如#无#需申报物品请勾选"#无#"。	这份声明以"#无#可奉告"作为结尾，拒绝回应记者的进一步追问。	系统提示"查#无#此人"，说明数据库中没有该用户的注册信息。				
无	wu2	没有任何	他翻遍了所有口袋，发现身上#无#分文，只好步行回家。	这场突如其来的洪水让整个村庄#无#一幸免，所有房屋都被冲毁。	她对这件事#无#话可说，沉默地转身离开了会议室。	面对记者的连番追问，发言人表示#无#可奉告，拒绝透露任何细节。	这位老艺术家一生清贫，去世时#无#儿#无#女，只留下满屋子的画作。	经过地毯式搜索，警方确认失踪者在该区域#无#任何踪迹。	他对音乐#无#任何天赋，但凭借刻苦练习最终成为了一名合格的钢琴教师。	这款产品#无#任何添加剂，完全采用天然原料制成。	审计结果显示，该项目资金使用#无#任何违规之处。				
无	wu2	表示否定的状态或动作	他对这些流言蜚语#无#动于衷，依然按照自己的计划稳步推进工作。	面对巨大的诱惑，她#无#动于衷，坚守着自己的职业道德底线。	这孩子对父母的苦口婆心#无#动于衷，依然沉迷于网络游戏不能自拔。	他#无#视交通规则闯红灯，结果被执勤交警当场拦下开了罚单。	公司高层对员工的合理诉求#无#动于衷，最终导致了大规模的集体辞职。	她对周围人的议论#无#所谓，专心致志地做着自己认为正确的事情。	这位老教授对名利#无#所求，一心扑在科研工作上，几十年如一日。	他对即将到来的考试#无#所畏惧，因为已经做了充分的准备。	面对质疑和批评，她选择#无#视，继续坚持自己的艺术风格。				
无	wu2	缺乏或不存在某物	由于长期#无#人管理，这座老宅已经破败不堪，杂草丛生。	这个偏远山村#无#水#无#电，村民们的生活条件十分艰苦。	他发现自己#无#力改变现状，只能默默接受命运的安排。	这家工厂因为#无#证经营被市场监管部门依法查封。	她#无#依#无#靠，独自一人在陌生的城市打拼，吃了不少苦头。	这片土地#无#人认领，政府决定将其开发为公共绿地。	他#无#家可归，只能在桥洞下过夜，靠捡拾废品维持生计。	这种珍稀植物对生长环境要求极高，#无#适宜条件根本无法存活。	公司#无#力偿还到期债务，不得不申请破产保护。				
无	wu2	用作表示否定的前缀	这款#无#线耳机采用最新蓝牙技术，续航时间长达四十小时。	医院推行#无#纸化办公后，工作效率提高了百分之三十。	她是一位#无#私奉献的志愿者，十年来帮助了数百名贫困学生。	这种#无#糖饮料深受糖尿病患者和健身人士的喜爱。	他以#无#畏的勇气揭露了行业内的潜规则，引发了社会广泛关注。	这项#无#创检测技术的问世，让患者免受穿刺之苦。	她的#无#私付出感动了在场所有人，大家纷纷为她鼓掌。	这款#无#人驾驶汽车已经通过了所有安全测试，即将投入商业运营。	他是一个#无#神论者，但对各种宗教文化都保持着尊重和好奇。				
