word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
往后	wang3 hou4	从今以后	#往后#我再也不会轻易相信陌生人的话了，这次被骗的经历让我彻底清醒过来。	经过这次惨痛的教训，他决定#往后#一定要认真对待每一份工作，不再敷衍了事。	医生严肃地告诉她，#往后#必须戒烟戒酒，否则身体状况会继续恶化。	公司宣布#往后#所有员工必须打卡上班，迟到三次以上将扣除当月奖金。	她在日记本上郑重写下：#往后#余生，我要为自己而活，不再为别人的眼光所累。	村长在大会上宣布，#往后#村里的公共事务都要经过村民代表大会讨论决定。			
往后	wang3 hou4	将来的时间	专家预测，#往后#十年内人工智能将彻底改变人类的工作方式和生活习惯。	随着全球气候变暖加剧，#往后#极端天气事件可能会越来越频繁地发生。	父亲语重心长地对儿子说，#往后#的路还很长，现在吃点苦是为了将来少受罪。	经济学家分析认为，#往后#几年房地产市场将进入深度调整期，购房者需谨慎决策。	她常常幻想#往后#的生活会是什么样子，是否能实现自己环游世界的梦想。	科学家们正在研究如何让人类在#往后#的太空探索中能够长期生存。			
往后	wang3 hou4	今后的一段时期	政府发布的五年规划明确指出，#往后#要重点发展新能源和高端制造业。	校长在毕业典礼上寄语学生们，#往后#无论遇到什么困难都要保持乐观向上的心态。	这份协议规定，#往后#双方在技术研发领域将展开更加深入的合作。	老师告诉学生们，#往后#的学习任务会越来越重，大家要做好心理准备。	公司战略会议决定，#往后#要把市场重心从国内转向海外，开拓更广阔的发展空间。	他在退休仪式上感慨地说，#往后#终于可以有时间陪伴家人、享受生活了。			
牵涉	qian1 she4	使某人或某事卷入	这起腐败案件#牵涉#了多名政府高官，在社会上引起了强烈反响。	律师提醒当事人，这场诉讼可能会#牵涉#到他的家庭财产，需要提前做好准备。	调查人员发现，这个跨国洗钱网络#牵涉#了十几个国家的金融机构。	她不想让父母#牵涉#进自己的感情纠纷，所以一直独自承受着压力。	这项政策改革#牵涉#到数百万人的切身利益，必须经过充分论证才能实施。	记者深入调查后发现，这起食品安全事件#牵涉#了整个供应链的多个环节。			
牵涉	qian1 she4	被牵连或被涉及	他虽然没有直接参与犯罪，但因为与主犯关系密切而被#牵涉#其中。	公司财务总监因为那笔可疑的转账记录而被#牵涉#进了这场调查。	许多无辜的员工因为高管的违法行为而被#牵涉#，职业生涯受到严重影响。	她担心自己会因为朋友的不当行为而被#牵涉#，所以选择保持距离。	历史上很多文人因为政治斗争而被#牵涉#，最终落得身败名裂的下场。	这家供应商因为产品质量问题被#牵涉#进了那起大规模召回事件。			
后脚	hou4 jiao3	紧接着的下一刻	他前脚刚出门，#后脚#就下起了倾盆大雨，只好又折返回来拿伞。	客人前脚刚走，#后脚#婆婆就开始数落儿媳妇招待不周。	老板前脚刚离开办公室，#后脚#员工们就开始窃窃私语讨论刚才的会议内容。	她前脚刚把分手的消息告诉闺蜜，#后脚#前男友就打来电话想要复合。	快递员前脚刚把包裹送到，#后脚#收件人就发现里面的商品已经损坏了。	新政策前脚刚发布，#后脚#网上就出现了各种解读和讨论。			
倒放	dao4 fang4	将物体倒置放置	服务员不小心把酒杯#倒放#在桌上，被经理批评了一顿。	她习惯把书#倒放#在书架上，这样可以防止灰尘落进书页里。	工人们按照规定把空箱子#倒放#在仓库角落，以便节省存储空间。	妈妈发现孩子把碗#倒放#在柜子里，担心里面会积水发霉。	图书管理员注意到有人把几本珍贵的古籍#倒放#了，赶紧小心翼翼地摆正。	他把雨伞#倒放#在门口的架子上，让伞面的水自然滴干。			
倒放	dao4 fang4	倒放录音录像使其反向播放	剪辑师把这段视频#倒放#后，发现了一个之前没注意到的细节。	网友们把那段演讲#倒放#，声称听到了一些奇怪的隐藏信息。	导演决定把这个镜头#倒放#处理，营造出时光倒流的艺术效果。	音乐制作人尝试把鼓点#倒放#，创造出一种独特的电子音效。	调查人员把监控录像#倒放#，终于找到了嫌疑人进入现场的确切时间。	孩子们觉得把动画片#倒放#看特别有趣，笑得前仰后合。			
微小	wei1 xiao3	极其细小的，微不足道的	科学家们在显微镜下观察到了这种#微小#的细菌，它的直径只有几微米。								
微小	wei1 xiao3	可忽略不计的极微量	实验数据显示，这种新材料的热膨胀系数#微小#到几乎可以忽略不计。	两组样本之间的差异#微小#得难以测量，统计学上没有显著意义。	这款精密仪器能够检测出#微小#到纳克级别的污染物含量。	工程师解释说，这个误差#微小#到不会对最终产品的性能产生任何影响。	研究表明，该药物的副作用#微小#到在临床试验中几乎观察不到。	天文学家指出，这颗小行星对地球轨道的影响#微小#到完全可以忽略。			
