word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
积累	ji1 lei3	逐渐积聚或累加	他通过多年的努力工作，终于#积累#了足够的资金来实现自己创业的梦想。	学习一门外语需要长期坚持，每天#积累#一点词汇量，日积月累才能达到流利的水平。	这位企业家从白手起家开始，一点一滴地#积累#财富，最终成为了行业内的领军人物。	科学研究需要不断#积累#实验数据，只有样本量足够大，得出的结论才具有统计学意义。	她从大学时代就开始#积累#人脉资源，这些关系在她后来的职业发展中发挥了重要作用。	作家的创作灵感来源于生活，需要平时多观察、多思考，不断#积累#素材才能写出好作品。	投资理财讲究复利效应，早期#积累#的本金越多，后期获得的收益增长就越可观。						
积累	ji1 lei3	积聚起来的数量或过程	经过二十年的发展，这家公司已经形成了雄厚的技术#积累#，在行业内具有明显的竞争优势。	知识的#积累#是一个漫长的过程，不可能一蹴而就，需要持之以恒的学习态度。	这位老教授一生的学术#积累#都凝聚在这部厚厚的著作中，堪称该领域的百科全书。	企业的核心竞争力来自于长期的技术#积累#和人才储备，这不是短期内能够复制的。	中华文明五千年的文化#积累#，为我们留下了丰富的历史遗产和精神财富。	他在金融领域工作了三十年，丰富的经验#积累#使他成为了业内公认的专家。	科研团队多年的数据#积累#终于派上了用场，为这次突破性发现奠定了坚实基础。						
积累	ji1 lei3	累积的，逐步增加的	长期熬夜带来的#积累#性疲劳已经严重影响了他的身体健康，医生建议他必须调整作息。	环境污染造成的#积累#性危害往往不易察觉，等到问题暴露时已经很难逆转。	这种药物的#积累#性毒性需要特别注意，长期服用可能会对肝肾功能造成损伤。	不良的饮食习惯会产生#积累#性的健康风险，年轻时不注意，老了就会后悔。	工作压力的#积累#性影响不容忽视，很多职场人士因此患上了焦虑症和抑郁症。	重金属污染具有#积累#性特点，一旦进入土壤就很难清除，会持续危害农作物安全。	噪音对听力的#积累#性损害是不可逆的，在嘈杂环境工作的人应该佩戴防护耳塞。						
积累	ji1 lei3	以累计方式，逐步地	这个项目的投资回报是#积累#计算的，每个季度的收益都会自动滚入本金继续投资。	他的信用评分是根据过去五年的还款记录#积累#评估的，任何一次逾期都会产生负面影响。	公司的年终奖金采用#积累#发放的方式，工作年限越长，获得的奖励系数就越高。	这款健身软件会#积累#记录你每天的运动数据，月底生成详细的健康分析报告。	研究人员#积累#收集了十年的气象数据，才得出了这个关于气候变化的重要结论。	会员积分是#积累#计算的，消费越多积分越高，可以兑换的礼品也就越丰富。	她的退休金是按照工龄#积累#计算的，工作满三十年后可以领取全额养老金。						
边缘	bian1 yuan2	外围或靠近界限的边沿部分	悬崖#边缘#的护栏已经年久失修，游客们被警告不要靠近以免发生危险。	她站在游泳池#边缘#犹豫了很久，最终还是鼓起勇气跳进了水里学习游泳。	城市#边缘#地带的房价相对便宜，很多年轻人选择在那里购买自己的第一套住房。	这幅画的#边缘#部分有些磨损，修复专家正在小心翼翼地进行保护性处理。	森林#边缘#的草地上开满了野花，蝴蝶和蜜蜂在花丛中飞舞，景色十分迷人。	他小心翼翼地沿着屋顶#边缘#行走，生怕一不小心就会失足坠落下去。	沙漠#边缘#的绿洲是商队休息补给的重要驿站，自古以来就是丝绸之路上的必经之地。						
边缘	bian1 yuan2	处于中心之外的边缘地位或界限附近	这个曾经辉煌的品牌如今已经被市场#边缘#化，销售额连年下滑，面临破产的危机。	他在公司里一直处于#边缘#位置，重要的项目和决策从来都轮不到他参与。	这部电影关注的是社会#边缘#群体的生存状态，引发了观众对弱势群体的深刻反思。	随着新技术的兴起，传统行业正在被逐渐#边缘#化，很多从业者面临转型的压力。	她的研究领域比较冷门，在学术界一直处于#边缘#地位，很难获得足够的科研经费。	这个小党派在政坛上始终处于#边缘#位置，虽然有自己的主张，但影响力十分有限。	农村地区在经济发展中长期处于#边缘#状态，城乡差距问题亟待解决。						
那边	na4 bian5	那一侧或那一方	你要找的书店在马路#那边#，过了斑马线往右拐就能看到，招牌很显眼的。	会议室在走廊#那边#的尽头，你沿着这条路一直走到底就到了，门上有标识。	河#那边#住着我的外婆，小时候每年暑假我都会去她家住上一个月。	山#那边#就是另一个省份了，翻过这座山大概需要三个小时的路程。	操场#那边#正在举行运动会，你听到的欢呼声和加油声就是从那里传来的。	边境线#那边#是邻国的领土，未经许可是不能随意越境的，否则会被拘留。	舞台#那边#的演员们正在紧张地准备，演出马上就要开始了，观众席已经坐满了人。						
那边	na4 bian5	远处的地方	你看#那边#的山顶上有一座古塔，据说已经有上千年的历史了，是著名的文物古迹。	#那边#隐约可以看到几栋高楼的轮廓，那就是我们要去的城市，再开一个小时就到了。	天边#那边#的晚霞美极了，红橙黄紫交织在一起，像是一幅绚丽的油画。	海平面#那边#出现了一艘轮船的影子，正在缓缓向港口驶来，大概是运送货物的商船。	草原#那边#有一群羊在吃草，牧羊人骑着马在旁边看守，这是典型的游牧生活场景。	望远镜里可以看到#那边#的村庄炊烟袅袅，村民们应该正在准备晚饭了。	飞机窗外#那边#的云层下面就是太平洋，再飞几个小时我们就能到达目的地了。						
好朋友	hao3 peng2 you5	亲密而可靠的朋友	他和小明从幼儿园就认识了，二十多年的#好朋友#，彼此之间无话不谈，感情深厚。	真正的#好朋友#不在于平时联系多频繁，而在于你需要帮助的时候他会毫不犹豫地出现。	她的#好朋友#在她最困难的时候借给她一笔钱，帮她度过了人生中最艰难的时期。	我们几个#好朋友#约定每年至少聚会一次，不管各自多忙都要抽出时间来见面叙旧。	他把自己的秘密只告诉了最信任的#好朋友#，因为他知道对方绝对不会泄露出去。	能交到几个真心的#好朋友#是人生中最幸运的事情之一，这种友谊比金钱更加珍贵。	她和室友从大学时代就成了#好朋友#，毕业后虽然在不同的城市工作，但一直保持着密切联系。						
好朋友	hao3 peng2 you5	指女性月经来潮的俚语	她捂着肚子说#好朋友#来了，今天不太舒服，想请假在家休息一天。	每个月#好朋友#来的那几天她都会特别烦躁，同事们都很理解，尽量不去打扰她。	她提醒闺蜜包里带点卫生用品，因为算算日子#好朋友#这两天应该要来了。	医生问她#好朋友#最近规律吗，她说上个月推迟了一周，不知道是不是压力太大的原因。	她说#好朋友#来了不能吃冰的东西，让男朋友把冰淇淋换成热巧克力。	游泳课她请了假，跟老师解释说#好朋友#来了，这几天不方便下水。	她在日历上标记#好朋友#来访的日期，这样可以提前准备好需要的物品和药物。						
