word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
据	ju4	依照行事	法院#据#法作出判决，被告人因故意伤害罪被判处有期徒刑三年，缓刑五年执行。	公司#据#合同条款要求供应商在三十日内完成全部货物的交付，否则将追究违约责任。	税务机关#据#实征收个人所得税，纳税人必须如实申报自己的全部收入来源。	警方#据#线索追踪，终于在郊区的一处废弃仓库里找到了失踪多日的人质。	银行#据#客户提供的资产证明和信用记录，最终批准了这笔高达五百万元的贷款申请。	学校#据#教育部最新颁布的课程标准，对全校的教学计划进行了全面的调整和优化。	保险公司#据#保单条款进行理赔，受益人在提交完整材料后两周内收到了赔偿金。	海关#据#进出口商品检验检疫法规，对这批来自疫区的货物进行了严格的检查和消毒处理。	评委会#据#参赛作品的创意、技术和完成度三个维度进行综合评分，最终评选出十件获奖作品。						
据	ju4	依靠或依赖	这家初创企业#据#风险投资的支持，在短短两年内就实现了从零到上市的跨越式发展。	他#据#多年积累的人脉关系，成功地为公司拿下了这个价值数亿元的大项目。	山区的孩子们#据#社会各界的爱心捐助，终于有了崭新的教学楼和图书馆。	这位独居老人#据#邻居们的日常照顾，才能在这个陌生的城市里安度晚年。	研究团队#据#国家自然科学基金的资助，完成了这项历时五年的基础研究工作。	她#据#父母留下的那笔遗产，在市中心开了一家小小的咖啡馆，实现了自己的创业梦想。	这个偏远村庄的经济发展主要#据#当地丰富的旅游资源和独特的民族文化。	灾区的重建工作#据#全国人民的无私援助，在三年内就基本完成了恢复重建任务。	他#据#妻子微薄的工资维持着一家人的生计，自己则全身心投入到科研工作中。						
据	ju4	夺取或抓住	叛军趁夜色#据#城而守，政府军连续发动三次进攻都未能攻破城门。	敌方特种部队突袭机场，#据#跑道后切断了我方空中支援的通道。	这位将军率领精锐骑兵#据#险要关隘，成功阻挡了敌军主力部队的南下进攻。	海盗们#据#这艘满载货物的商船后，将船员全部扣押作为人质索要赎金。	革命军#据#省城后立即宣布成立临时政府，号召全省民众响应起义。	游击队员们#据#山头设伏，等待敌人的运输车队进入伏击圈后发起猛烈攻击。	古代战争中，谁能#据#水源谁就掌握了战场的主动权，这是兵家常识。	起义军#据#粮仓后开仓放粮，赢得了当地百姓的热烈拥护和支持。	特战队员迅速#据#大楼制高点，为地面部队的推进提供火力掩护。						
据	ju4	占据位置或领土	这家科技巨头#据#全球智能手机市场百分之三十以上的份额，稳居行业第一。	中国#据#亚洲东部，东临太平洋，是世界上人口最多的国家。	这座古城#据#丝绸之路的咽喉要道，自古以来就是东西方贸易的重要枢纽。	他在公司#据#要职多年，掌握着核心技术和重要客户资源，是不可或缺的人物。	这支球队#据#联赛榜首已经连续十二轮，夺冠形势一片大好。	敌军#据#高地俯瞰整个战场，我方部队的一举一动都在他们的监视之下。	这个家族#据#当地政商两界的核心位置长达半个世纪，影响力根深蒂固。	新建的物流中心#据#交通枢纽的有利位置，辐射周边五个省份的配送网络。	该品牌在高端化妆品市场#据#领先地位，深受都市白领女性的青睐。						
学	xue2	学习或掌握知识技能	孩子们从小就应该#学#会独立思考和解决问题的能力，这对他们的成长至关重要。	她利用业余时间#学#了三年钢琴，现在已经能够演奏一些难度较高的古典曲目了。	退休后他开始#学#书法，每天清晨都在公园里用毛笔蘸水在地上练字。	这位外国留学生来中国#学#汉语已经两年了，现在能够流利地用中文进行日常交流。	年轻人应该趁着精力充沛多#学#几门外语，这对将来的职业发展很有帮助。	他从师傅那里#学#到了精湛的木工手艺，现在已经能够独立完成复杂的家具制作。	小时候家里穷，他没能上学，现在五十多岁了才开始#学#认字读书。	她决定辞职去#学#烘焙，希望将来能开一家属于自己的甜品店。	孩子#学#走路的时候摔了无数次，但每次都勇敢地爬起来继续尝试。						
学	xue2	系统研究某一学科或领域	他在大学里#学#的是计算机科学专业，毕业后进入了一家知名互联网公司工作。	这位教授#学#敦煌壁画三十余年，是国内该领域最权威的专家之一。	她放弃了高薪的金融工作，转而去#学#考古，追寻自己从小的梦想。	博士期间他专门#学#明清经济史，发表了多篇有影响力的学术论文。	年轻时他曾赴德国#学#哲学，师从当时最著名的现象学大师。	这所医学院培养的学生不仅要#学#临床医学，还要掌握基础的公共卫生知识。	他#学#中医针灸多年，现在在社区卫生服务中心坐诊，深受患者信赖。	她本科#学#的是英语专业，研究生阶段转向了比较文学研究。	退休的老工程师开始#学#地方志编纂，希望为家乡的文化传承做点贡献。						
学	xue2	模仿他人言行以学习	小孩子#学#大人说话的样子，奶声奶气地模仿着爸爸打电话的语气，逗得全家人哈哈大笑。	这只鹦鹉特别聪明，能#学#主人说好几句完整的问候语，客人来了都觉得新奇。	她#学#着电视里厨师的动作颠勺炒菜，结果把菜全都颠到了地上。	弟弟总是#学#哥哥的一举一动，哥哥做什么他就跟着做什么，像个小尾巴一样。	新来的实习生#学#着老员工的样子接待客户，虽然有些生涩但态度很认真。	孩子们在操场上#学#着解放军叔叔的样子齐步走，一个个昂首挺胸神气十足。	她#学#着母亲的手法包饺子，虽然包得歪歪扭扭，但味道还是很不错的。	小狗#学#着主人的动作站起来作揖，萌态可掬的样子引来路人纷纷拍照。	他#学#着电影里特工的样子翻墙，结果裤子被铁丝网挂破了一个大洞。						
学	xue2	系统的知识体系或学问	这位老先生一生治#学#严谨，著作等身，是学界公认的一代宗师。	中国传统文化中，儒#学#思想对社会伦理和政治制度产生了深远的影响。	他虽然没有受过正规教育，但凭借自学成才，在金石#学#领域取得了令人瞩目的成就。	宋明理#学#是中国哲学史上的重要流派，对后世的思想文化发展影响深远。	这部著作系统梳理了西方经济#学#的发展脉络，是经济学专业学生的必读书目。	佛#学#东传后与中国本土文化相融合，形成了独具特色的中国佛教。	他年轻时就立志要在国#学#研究上有所建树，数十年如一日地潜心钻研古籍。	管理#学#作为一门现代学科，融合了心理学、经济学和社会学等多个领域的理论。	这位学者在红#学#研究方面造诣颇深，对《红楼梦》的版本源流有独到见解。						
学	xue2	表示学科或学问的后缀	他大学主修的是社会#学#专业，毕业论文研究的是城市流动人口的社会融入问题。	考古#学#家在这处遗址发现了大量商代青铜器，为研究早期中华文明提供了珍贵资料。	心理#学#研究表明，童年经历对一个人的性格形成有着决定性的影响。	语言#学#界对这种方言的归属问题一直存在争议，至今没有定论。	她在攻读博士学位期间专攻人类#学#，田野调查的足迹遍布西南少数民族地区。	这本教材是国内高校新闻#学#专业使用最广泛的入门读物之一。	地质#学#家通过分析岩石样本，推断出这座山脉形成于两亿年前的造山运动。	统计#学#方法在现代社会科学研究中的应用越来越广泛，已成为必备的研究工具。	他是国内知名的伦理#学#教授，经常在媒体上就社会热点问题发表评论。						
中人	zhong1 ren2	居中斡旋的人或居间人	这笔房产交易是通过#中人#介绍促成的，买卖双方都对这位老街坊的诚信赞不绝口。	古代婚姻讲究父母之命、媒妁之言，#中人#在男女双方之间穿针引线，撮合姻缘。	他在村里德高望重，经常被请去做#中人#调解邻里之间的纠纷矛盾。	这场商业谈判陷入僵局后，双方不得不请来一位资深的#中人#从中斡旋协调。	旧社会的土地买卖必须有#中人#作保，否则契约就不具备法律效力。	她做了二十多年的房产#中人#，经手的交易不计其数，在业内口碑极好。	两家公司的合并谈判进行得很艰难，最后是投资银行作为#中人#促成了这笔交易。	这位#中人#在当地商界人脉广泛，很多大宗交易都要请他出面牵线搭桥。	民间借贷往往需要#中人#担保，一旦借款人违约，#中人#也要承担连带责任。						
