word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
管	guan3	相当于把的使役助词	大家都#管#他叫老王，虽然他其实还不到四十岁。	孩子们#管#这位和蔼的老人叫爷爷，虽然他们并没有血缘关系。	同事们都#管#她叫铁娘子，因为她工作起来雷厉风行，从不拖泥带水。	村里人都#管#这座山叫望夫山，据说有一个凄美的传说。	学生们#管#这位严厉的老师叫灭绝师太，私下里都有点怕她。	邻居们#管#他家的那只大黄狗叫旺财，因为它总是摇着尾巴迎接客人。	工友们#管#这台老旧的机器叫老爷车，因为它经常出故障。	大家都#管#公司里最年轻的员工叫小李，虽然他的名字其实叫李明。						
管	guan3	毛笔书写工具	他拿起一#管#狼毫笔，蘸满墨汁，在宣纸上挥毫泼墨。	这#管#毛笔是祖父留下来的，已经有上百年的历史了。	书法家精心挑选了一#管#上好的羊毫，准备书写这幅寿联。	她收藏了好几#管#名家制作的毛笔，每一支都是珍品。	老先生用这#管#秃笔写了一辈子的字，舍不得换新的。	这#管#笔的笔锋非常好，写出来的字刚劲有力。	他花重金购得一#管#古董毛笔，据说是清代宫廷御用之物。	学习书法首先要选一#管#合适的毛笔，初学者适合用兼毫。						
管	guan3	口语中表示方向或对象的介词	你有什么问题就#管#我说，不用不好意思开口。	有困难就#管#组织提，我们会尽力帮助你解决。	她#管#老板请了三天假，准备回老家看望生病的父亲。	你#管#他要钱没用，他自己都快揭不开锅了。	孩子#管#妈妈撒娇，想要买那个漂亮的洋娃娃。	他#管#朋友借了一笔钱，承诺下个月一定还清。	你有什么想法就#管#领导汇报，不要藏着掖着。	她#管#同事打听了一下公司最近的人事变动情况。						
管	guan3	朝向或针对某一方向	他#管#着窗外看了很久，似乎在思考什么重要的事情。	她#管#着镜子里的自己微笑，给自己打气加油。	老人#管#着远方眺望，仿佛在等待什么人的归来。	他#管#着那个方向指了指，示意我们往那边走。	她#管#着天空仰望，看着飞机慢慢消失在云层中。	孩子#管#着糖果店的橱窗看得入迷，口水都快流下来了。	他#管#着大海的方向走去，想要在沙滩上散散心。	她#管#着舞台上的演员挥手致意，表达自己的喜爱之情。						
需	xu1	要求或规定必须具备	这份工作#需#要应聘者具备至少三年的相关工作经验。	报名参加这个比赛#需#要提交个人简历和作品集。	申请这个职位#需#要通过严格的背景调查和面试。	进入实验室#需#要穿戴防护服和护目镜，这是安全规定。	办理这项业务#需#要本人携带身份证原件到柜台办理。	参加这次培训#需#要提前在网上完成报名和缴费。	这个项目的实施#需#要得到上级部门的批准才能进行。	成为会员#需#要缴纳一定的年费，并遵守俱乐部的各项规章制度。						
需	xu1	需要，缺乏而想得到	他现在最#需#要的是一份稳定的工作，好养活一家老小。	这个项目#需#要大量的资金投入，我们正在积极寻找投资者。	她#需#要一个安静的环境来完成这篇论文的写作。	病人#需#要充足的休息和营养，才能尽快恢复健康。	这台机器#需#要定期保养，否则很容易出故障。	孩子的成长#需#要父母的陪伴和关爱，不能只靠物质满足。	这件事#需#要时间来慢慢解决，不能操之过急。	我们#需#要更多的志愿者来帮助完成这次公益活动。						
需	xu1	想要，出于欲望而希望得到	她#需#要一个能够理解她、支持她的伴侣，而不只是物质上的富足。	他#需#要得到别人的认可和赞赏，这是他努力工作的动力。	每个人都#需#要被爱和被尊重，这是人类最基本的情感需求。	她#需#要一段属于自己的时间，好好思考一下未来的人生方向。	他#需#要一个证明自己能力的机会，而不是别人的施舍和同情。	孩子#需#要父母的表扬和鼓励，这会让他们更有自信。	她#需#要一个可以倾诉的朋友，把心里的烦恼说出来。	他#需#要一次彻底的放松，最近的工作压力实在太大了。						
需	xu1	事物存在的必要性	这项改革的#需#要性已经得到了广泛的认可和支持。	专家们就这个项目的#需#要性进行了深入的论证和分析。	政府强调了加强基础设施建设的#需#要性和紧迫性。	他在报告中详细阐述了技术创新的#需#要性及其对经济发展的重要意义。	会议讨论了制定新法规的#需#要性，与会者意见不一。	教育改革的#需#要性已经成为社会各界的共识。	这份研究报告论证了环境保护的#需#要性和可行性。	领导在讲话中强调了团队合作的#需#要性，希望大家齐心协力。						
需	xu1	所需之物或所需状态	公司会根据员工的实际#需#要提供相应的培训和支持。	这款产品是根据市场#需#要而专门设计开发的。	政府将根据灾区群众的#需#要，及时调配救援物资。	图书馆会根据读者的#需#要，定期采购新书和更新设备。	医院会根据病人的#需#要，安排专业的护理人员进行照顾。	学校会根据学生的#需#要，开设各种选修课程和兴趣班。	酒店会根据客人的#需#要，提供个性化的服务和设施。	社区会根据居民的#需#要，组织各种文化活动和便民服务。						
电脑	dian4 nao3	电子计算机	她每天都要用#电脑#处理大量的文件和数据，工作效率很高。	这台#电脑#的配置很高，运行大型软件和游戏都非常流畅。	他正在学习#电脑#编程，希望将来能成为一名软件工程师。								
