word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
掉	diao4	摇动尾部或末端	小狗一看到主人回家就兴奋地#掉#着尾巴跑过来，围着他的腿转个不停。	那只金毛犬趴在门口等了一整天，听到钥匙声立刻站起来欢快地#掉#尾巴迎接。	猫咪不高兴的时候会烦躁地#掉#着尾巴左右甩动，这时候最好不要去惹它。	牧羊犬完成任务后得意地#掉#着尾巴跑回牧场主身边，等待主人的夸奖和奖励。	动物园里的猴子倒挂在树枝上，悠闲地#掉#着长长的尾巴，引得游客纷纷拍照。	小花狗叼着飞盘跑回来，一边#掉#着尾巴一边把飞盘放到主人脚边，等着再玩一次。	那匹马站在草地上悠闲地吃草，不时#掉#着尾巴驱赶身上的苍蝇。	邻居家的拉布拉多特别亲人，见到谁都热情地#掉#着尾巴凑上去蹭来蹭去。
掉	diao4	来回摆动或摇晃	老爷爷坐在藤椅上，手里#掉#着一把蒲扇，悠闲地乘着凉。	她紧张地坐在椅子上，两条腿不自觉地来回#掉#着，等待面试官叫她的名字。	小男孩坐在河边的石头上，光着脚丫在水面上#掉#来#掉#去，溅起一串串水花。	他无聊地#掉#着手里的钥匙串，金属碰撞发出叮叮当当的声响。	风铃被微风吹得轻轻#掉#动，发出清脆悦耳的声音，给午后的庭院增添了几分诗意。	奶奶坐在门槛上#掉#着手中的蒲扇，给坐在身边的孙子讲着过去的故事。	他靠在栏杆上，漫不经心地#掉#着手里的水瓶，望着远处的夕阳发呆。	秋千上的小女孩开心地#掉#着两条小辫子，笑声在整个操场上回荡。

掉	diao4	转向某一方向	司机发现走错了路，赶紧找了个路口#掉#头往回开，耽误了不少时间。	前方道路施工封闭，导航提示需要#掉#头绕行，从另一条路才能到达目的地。	这条单行道不允许#掉#头，违规掉头的车辆会被电子眼拍到并处以罚款。	他在停车场里#掉#了个头，把车头朝外停好，这样出去的时候更方便。	船长下令#掉#转船头驶向港口，因为气象台发布了台风预警信号。	飞行员接到塔台指令后#掉#转机头，改变航向飞往备降机场。	骑兵队长一声令下，全队迅速#掉#转马头向东面的山谷方向疾驰而去。	她走到路口才发现方向反了，只好#掉#头重新走，白白多走了一公里。
掉	diao4	发生变化或改动	这件白衬衫洗了几次就#掉#色了，领口和袖口都变成了发黄的颜色。	秋天一到，满山的树叶开始#掉#色，从翠绿渐渐变成金黄和火红。	这块布料质量不好，沾了水就#掉#色，把旁边的浅色衣服都染花了。	他的头发最近#掉#色很厉害，上个月染的棕色现在已经褪成了暗黄色。	墙上的油漆经过多年风吹日晒已经开始#掉#色剥落，看起来斑驳陆离。	这双皮鞋穿了没多久鞋面就开始#掉#色，擦过的地方留下一片片深浅不一的痕迹。	她买的那条围巾第一次洗就严重#掉#色，把洗衣机里的水都染成了红色。	印刷厂的师傅说这批墨水质量有问题，印出来的海报很容易#掉#色褪色。

掉	diao4	交换物品或意见	两个小朋友在课间互相#掉#换了各自的卡片，都得到了自己想要的那一张。	公司决定把两个部门的办公室#掉#换一下，让业务关联更紧密的团队坐在一起。	他和同事#掉#换了值班时间，这样周末就可以回老家参加弟弟的婚礼了。	教练临时#掉#换了首发阵容中两名球员的位置，让前锋去打中场以加强防守。	装修时设计师建议把厨房和书房的位置#掉#换一下，这样采光和动线都会更合理。	老师让同桌的两个学生#掉#换座位，希望新的搭配能让他们互相促进学习。	她和室友#掉#换了床铺，因为靠窗的那张床冬天太冷，而她室友反而喜欢凉快。	超市经理决定把两个货架的商品#掉#换位置，把畅销品放到更显眼的地方。
掉	diao4	互相替换或调换	这两幅画挂反了，你帮我#掉#换过来，山水画应该挂在客厅，花鸟画挂在书房。	排版时编辑不小心把两张照片的位置#掉#换了，导致图片说明和内容对不上。	厨师发现盐和糖的罐子被人#掉#换了，难怪刚才炒的菜味道不对。	他们俩长得太像了，小时候经常故意#掉#换校服捉弄老师，让老师分不清谁是谁。	搬家公司的工人不小心把两家客户的箱子#掉#换了，第二天才发现送错了地方。	魔术师在观众眼皮底下巧妙地#掉#换了杯子下面的球，整个过程天衣无缝。	考试时监考老师发现有两个学生试图#掉#换试卷，当场取消了他们的考试资格。	药房的工作人员一定要仔细核对处方，绝不能#掉#换药品，否则后果不堪设想。

掉	diao4	卖弄或炫耀自己	他最喜欢在朋友面前#掉#书袋，动不动就引用古文典故，显得自己很有学问。	这个人说话总爱#掉#文，明明可以用大白话说清楚的事偏要用文言文来表达。	她在聚会上不停地#掉#书袋，把大家说得一愣一愣的，其实很多引用都不太准确。	老教授从不在学生面前#掉#书袋卖弄学识，总是用最朴实的语言讲解深奥的道理。	他写文章喜欢#掉#文弄墨，堆砌华丽辞藻，反而让读者觉得空洞无物。	同事们都不太喜欢他，因为他开会时总爱#掉#书袋，用一堆专业术语把简单问题复杂化。	年轻作家切忌在作品中过度#掉#书袋，真正的好文章应该深入浅出、通俗易懂。	他在演讲中适当地#掉#了几个书袋，既展示了自己的知识储备，又没有让听众感到厌烦。
