word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
委	wei3	精神不振或无精打采	连续加班一周后，他整个人都显得#委#靡不振，连说话的力气都没有了。	她因为失恋而精神#委#顿，整天躺在床上不愿意出门见人。	长期的病痛折磨让老人变得#委#靡，曾经矍铄的眼神如今黯淡无光。	高烧退去之后，孩子仍然显得十分#委#顿，需要好好休养几天才能恢复元气。	这场突如其来的打击让他一蹶不振，整个人#委#靡了好几个月才慢慢走出阴影。	夏日炎炎，酷暑难耐，连平时活泼好动的小狗都变得#委#靡不堪，趴在阴凉处一动不动。	由于营养不良，这些流浪猫看起来都很#委#顿，毛发杂乱无光泽。							
委	wei3	委员会的成员	作为全国政协#委#员，他积极参政议政，每年都会提交多份高质量的提案。	这位人大#委#员在会议上就教育公平问题发表了慷慨激昂的讲话，引起了广泛关注。	她是本届评审#委#员中最年轻的一位，但专业素养丝毫不逊于资深前辈。	常务#委#员们经过长达六个小时的讨论，终于就这项重大决策达成了一致意见。	新当选的#委#员们纷纷表示将不负众望，认真履行职责，为人民群众谋福利。	这位老#委#员已经连续担任三届，在推动地方经济发展方面做出了突出贡献。	作为纪检#委#员，他铁面无私，查处了多起腐败案件，赢得了群众的高度信任。							
委	wei3	委员会或理事会机构	国家发展和改革#委#员会近日发布了新的产业政策指导意见，引发社会各界热议。	联合国安理会常任理事国代表在安全理事#委#员会上就中东局势进行了激烈辩论。	学校教学指导#委#员会决定对本科课程体系进行全面改革，以适应新时代人才培养需求。	省纪律检查#委#员会通报了近期查处的几起典型违纪案件，以儆效尤。	中央军事#委#员会召开扩大会议，研究部署新一年的国防和军队建设工作。	这个国际标准化#委#员会负责制定全球通用的技术规范，成员来自世界各地。	村民自治#委#员会在基层治理中发挥着不可替代的作用，是连接政府与群众的重要桥梁。							
委	wei3	末端或尽头	这条河流源于昆仑山脉，#委#于东海之滨，全长超过五千公里。	古人云"穷源竟#委#"，意思是要追根溯源，把事情的来龙去脉弄清楚。	这篇文章从头至#委#都在论述同一个主题，结构严谨，逻辑清晰。	他做事向来有始有#委#，从不半途而废，这种精神值得我们学习。	调查组决定穷究本#委#，一定要把这起案件的真相彻底查清楚。	这部史书详细记载了王朝兴衰的原#委#，是研究那段历史的重要文献。	事情的原#委#究竟如何，还需要进一步调查才能得出结论。							
委	wei3	事实上或实际上	这件事#委#实让人难以接受，但我们必须面对现实，想办法解决问题。	他的演讲#委#实精彩，全场观众都被深深吸引，掌声经久不息。	这道菜的做法#委#实复杂，需要经过十几道工序才能完成。	她的歌声#委#实动人，难怪能在众多选手中脱颖而出获得冠军。	这次考试的题目#委#实太难了，全班只有三个人及格。	老师傅的手艺#委#实了得，修复后的古董几乎看不出任何破损痕迹。	这部电影的特效#委#实震撼，让观众仿佛身临其境。							
委	wei3	确实无疑	他#委#的是个难得的人才，公司应该想办法把他留下来。	这幅画#委#的是真迹无疑，经过多位专家鉴定已经确认。	她说的话#委#的有道理，我们应该认真考虑她的建议。	这件事#委#的是他做的，有监控录像为证，不容抵赖。	你说得#委#的不错，这个方案确实比原来的更加可行。	这家餐厅的菜品#委#的名不虚传，难怪每天都要排队等位。	他的医术#委#的高明，许多疑难杂症到他手里都能药到病除。							
野蛮	ye3 man2	残暴粗野的	侵略者的#野蛮#行径激起了全国人民的强烈愤慨，抗日救亡运动迅速蔓延开来。	这种#野蛮#的暴力执法行为严重侵犯了公民的合法权益，必须依法追究责任。	历史上那些#野蛮#的殖民统治给当地人民带来了深重的灾难，至今仍有影响。	他用#野蛮#的方式对待动物，被动物保护组织举报后受到了法律制裁。	球场上的#野蛮#犯规不仅违反体育精神，还可能造成对方球员严重受伤。	这种#野蛮#的拆迁方式完全无视居民的合法权益，引发了强烈的社会抗议。	战争中的#野蛮#屠杀是人类历史上最黑暗的一页，我们必须铭记历史，珍爱和平。							
野蛮	ye3 man2	未受文明教化的或落后的	在古代文献中，中原王朝常常将周边游牧民族描述为#野蛮#未开化的部落。	殖民者以传播文明为借口，对所谓#野蛮#民族进行残酷的压迫和剥削。	这种将其他文化视为#野蛮#落后的观念本身就是一种文化偏见和傲慢。	人类学家指出，所谓#野蛮#与文明的划分往往带有强烈的主观色彩和价值判断。	那个与世隔绝的部落被外界误认为是#野蛮#人，实际上他们有着独特而丰富的文化传统。	历史教科书中对#野蛮#时代的描述正在被重新审视，学者们开始反思这种二元对立的叙事方式。	他们不应该因为生活方式不同就被贴上#野蛮#的标签，每种文化都有其存在的价值。							
娘	niang2	母亲	他从小就失去了#娘#，是奶奶一手把他拉扯大的，所以对奶奶感情特别深。	"#娘#，我回来了！"他推开老家的木门，看见母亲正在灶台前忙碌。	俗话说"儿行千里母担忧"，无论走多远，#娘#的牵挂永远跟随着游子。	她是个苦命的孩子，亲#娘#在她三岁时就去世了，继母对她也不好。	每逢佳节倍思亲，身在异乡的他总会想起#娘#做的那碗热腾腾的手擀面。	"有#娘#的孩子像块宝"，这句话他直到成年后才真正体会到其中的含义。	老#娘#今年八十大寿，兄弟姐妹们从全国各地赶回来给她祝寿。							
娘	niang2	年轻的女士	这位姑#娘#长得眉清目秀，说话轻声细语，一看就是大家闺秀。	新来的小#娘#子手脚麻利，干活利索，很快就得到了掌柜的赏识。	那个红衣#娘#子在人群中格外显眼，引得不少路人驻足观望。	戏台上的花旦扮相俊俏，活脱脱一个大家闺秀的模样，观众都夸这#娘#子演得好。	"这位#娘#子，请问去城隍庙怎么走？"老伯向路边的年轻女子问路。	古时候，待字闺中的#娘#子们大多足不出户，整日在绣楼里做女红。	茶馆里的说书人正讲到那位侠女#娘#子如何智斗恶霸，听众们都听得入了神。							
