word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
赶上	gan3 shang4	跟上进度	新员工入职后需要花费大量时间学习公司的业务流程，才能#赶上#团队的工作节奏。	这学期落下的课程太多了，他每天熬夜复习，拼命想要#赶上#班里其他同学的学习进度。	随着科技日新月异的发展，老一辈人常常感叹自己已经很难#赶上#时代的步伐了。	中国制造业经过几十年的努力，在很多领域已经能够#赶上#国际先进水平。	她休完产假回来后，发现项目已经推进了很多，不得不加班加点才能#赶上#同事们的进度。	发展中国家要想#赶上#发达国家的经济水平，必须在教育和科技创新方面加大投入。						
赶上	gan3 shang4	追上	他骑着自行车拼命蹬，终于在十字路口#赶上#了前面那辆公交车。	警察在巷子里穷追不舍，最终在河边#赶上#了那个逃跑的小偷。	小明跑得太快了，我在后面喊了好几声他都没听见，直到跑到操场尽头才#赶上#他。	她发现钱包落在出租车上，立刻追出去，幸好在红绿灯处#赶上#了那辆车。	马拉松比赛进行到最后五公里时，他开始加速，一个接一个地#赶上#前面的选手。	那只小狗撒开腿就跑，主人在后面追了两条街才#赶上#它。						
赶上	gan3 shang4	超过	经过多年的技术积累，这家国产手机品牌的销量已经#赶上#甚至超越了许多国际大牌。	他的学习成绩原本在班里垫底，但经过一年的刻苦努力，不仅#赶上#了中等生，还进入了年级前十。	中国的高铁技术从引进消化到自主创新，如今已经#赶上#并领先于世界其他国家。	这家创业公司发展势头迅猛，市场份额很快就#赶上#了行业内的老牌企业。	她的厨艺进步神速，做出来的菜已经#赶上#专业厨师的水准了。	新能源汽车的续航里程不断提升，部分车型已经#赶上#传统燃油车的行驶距离。						
赶上	gan3 shang4	偶然遇见	我们去云南旅游的时候，正好#赶上#当地一年一度的泼水节，真是太幸运了。	他出差到那个小城市，没想到#赶上#了二十年未见的老同学，两人激动得热泪盈眶。	那天我去菜市场买菜，#赶上#一位老农正在卖自家种的有机蔬菜，价格便宜又新鲜。	她第一次去日本旅行就#赶上#了樱花盛开的季节，满街的粉色花瓣美不胜收。	我们本来只是随便逛逛古镇，没想到#赶上#了当地的民俗表演，真是意外之喜。	他去乡下探亲，正好#赶上#村里办喜事，被热情的村民拉去喝了三天喜酒。						
赶上	gan3 shang4	及时赶上	他一路狂奔，总算在火车开动前一分钟#赶上#了这趟列车。	虽然路上堵车耽误了不少时间，但我们还是#赶上#了飞机，没有误机。	她加班到很晚，但还是#赶上#了女儿学校的家长会，没有让孩子失望。	快递小哥骑着电动车飞速穿梭在大街小巷，终于在截单前#赶上#了最后一批发货。	他从外地连夜赶回来，总算#赶上#了爷爷的九十大寿宴席。	演员们紧张地排练了一整夜，终于#赶上#了第二天的首演，演出非常成功。						
社群	she4 qun2	具有共同特征的群体	这款健身应用成功地建立了一个活跃的运动爱好者#社群#，用户们每天在里面分享锻炼心得和健康食谱。									
社群	she4 qun2	社会中的分组或圈层	在现代都市中，不同的#社群#之间往往存在着明显的文化差异和生活方式的区别。	社会学家通过长期调研发现，收入水平的差距正在加剧不同#社群#之间的隔阂。	这座城市的移民#社群#保留着浓厚的家乡传统，每逢节日都会举办各种庆祝活动。	随着城市化进程的加快，传统的农村#社群#结构正在发生深刻的变化。	政府出台了一系列政策，旨在促进不同#社群#之间的交流与融合，减少社会矛盾。	艺术家#社群#往往聚集在城市的特定区域，形成独特的文化氛围和创作环境。					
跟拍	gen1 pai1	用影像记录事件经过	这部获奖纪录片#跟拍#了一个贫困山区孩子从小学到考上大学的全过程，感动了无数观众。	摄制组花了整整三年时间#跟拍#这个濒危物种的繁殖过程，记录下了许多珍贵的画面。	电视台派出记者#跟拍#抗洪救灾的全过程，真实呈现了一线救援人员的艰辛与奉献。	这位导演用十年时间#跟拍#一个普通家庭的生活变迁，展现了中国社会的巨大变化。	新闻团队深入疫区#跟拍#医护人员的日常工作，让观众看到了白衣天使们的无私付出。	这部纪录片#跟拍#了一批创业者从筹备到上市的完整历程，真实记录了创业的酸甜苦辣。					
跟拍	gen1 pai1	用摄影机随行跟随拍摄某人	那位明星出门总是被一群狗仔队#跟拍#，连去超市买菜都会被拍到照片发到网上。	导演要求摄影师用手持镜头#跟拍#演员奔跑的场景，以营造紧张刺激的视觉效果。	这位网红每天都有专业团队#跟拍#她的日常生活，然后剪辑成短视频发布在社交平台上。	婚礼当天，新人请了专业摄影师全程#跟拍#，从化妆到敬酒每个环节都记录了下来。	那个真人秀节目派出摄制组二十四小时#跟拍#嘉宾的一举一动，毫无隐私可言。	运动员比赛时，电视台的摄像机会#跟拍#他的每一个动作，捕捉精彩的瞬间。					
嘴巴	zui3 ba5	口腔或嘴部俗称	小孩子吃完巧克力后#嘴巴#周围都是黑乎乎的，妈妈赶紧拿纸巾给他擦干净。									
