word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
关键	guan1 jian4	极为重要且不可忽视的事物	这份报告包含了#关键#的市场数据，对公司制定下一年度战略规划具有重要参考价值。	保护水源地是确保饮用水安全的#关键#环节，任何污染都可能影响数百万人的健康。	在这次救援行动中，时间是最#关键#的因素，每耽误一分钟都可能造成更多伤亡。	网络安全已经成为国家安全的#关键#组成部分，必须投入更多资源加以保障。	这项技术突破对于整个行业的发展具有#关键#意义，将彻底改变现有的生产模式。	基础设施建设是经济发展的#关键#支撑，没有完善的交通和通信网络，一切都无从谈起。	掌握核心算法是人工智能公司的#关键#竞争力，这也是各大科技巨头争相投入研发的原因。	这位证人掌握着案件的#关键#信息，他的证词将直接影响法庭的最终判决。			
关键	guan1 jian4	处于枢纽位置、影响全局的因素	新加坡地处马六甲海峡，占据着国际航运的#关键#位置，是连接东西方贸易的重要枢纽。	这位将军在战役中扼守#关键#隘口，成功阻止了敌军的推进，扭转了整个战局。	央行的货币政策在经济调控中发挥着#关键#作用，利率的微小变动都会引发连锁反应。	他在公司重组过程中担任#关键#角色，负责协调各部门之间的利益关系。	这座城市位于丝绸之路的#关键#节点，自古以来就是东西方文化交流的重要通道。	供应链中的#关键#环节一旦出现问题，整个生产线都会陷入停滞状态。	这位外交官在两国关系正常化进程中发挥了#关键#的斡旋作用，促成了历史性的会谈。	电网调度中心是整个电力系统的#关键#枢纽，负责平衡发电与用电之间的供需关系。			
依据	yi1 ju4	根据某事物或事实	法官#依据#现有证据和相关法律条文，对被告作出了有罪判决并处以相应刑罚。	气象部门#依据#卫星云图和气象数据，预测未来三天将有强降雨天气影响本地区。	银行#依据#申请人的信用记录和收入证明，决定是否批准这笔贷款申请。	研究人员#依据#实验数据得出结论，认为这种新药对治疗该疾病具有显著效果。	公司#依据#市场调研结果调整了产品定价策略，以更好地满足消费者需求。	历史学家#依据#新发现的档案文献，对这一历史事件提出了全新的解读。	交警#依据#监控录像和现场勘查，认定这起事故的主要责任在于闯红灯的司机。	医生#依据#患者的症状和检查结果，制定了个性化的治疗方案。			
依据	yi1 ju4	作为判断或行动的根据	这份合同将作为双方解决争议的法律#依据#，任何一方违约都要承担相应责任。	考古发现为研究古代文明提供了重要的实物#依据#，填补了文献记载的空白。	他的指控缺乏事实#依据#，仅凭主观臆测就想定人罪名，这在法治社会是行不通的。	科学理论必须有充分的实验#依据#作为支撑，否则只能算是未经证实的假说。	这项政策的出台有着充分的调研#依据#，是在广泛征求各方意见后形成的。	律师要求对方出示相关#依据#，证明其主张的损失金额是合理且真实的。	统计数据是政府制定经济政策的重要#依据#，必须确保其准确性和时效性。	历史文献是我们了解过去的重要#依据#，但也需要结合考古发现进行综合分析。			
依据	yi1 ju4	事物的根本依据或基础	宪法是国家一切法律法规的根本#依据#，任何立法都不得与宪法相抵触。	这套理论体系建立在扎实的哲学#依据#之上，经过了数代学者的反复论证和完善。	传统医学的诊断方法有其独特的理论#依据#，是几千年临床经验的总结。	这项改革措施的#依据#是多年来积累的实践经验和国际上的成功案例。	道德判断需要有普遍认可的价值#依据#，否则就会陷入相对主义的困境。	建筑设计必须以力学原理为#依据#，确保结构的安全性和稳定性。	这种教育理念的#依据#是儿童心理学的最新研究成果，强调尊重孩子的天性。	法治社会的运行#依据#是完善的法律体系和公正的司法制度。			
往	wang3	去，朝某一方向前往	他背起行囊，#往#山顶的方向走去，准备在日落前到达露营地点。	游客们沿着古老的石板路#往#寺庙走去，沿途欣赏着两旁的参天古木。	她匆匆忙忙地#往#车站赶去，生怕错过最后一班回家的列车。	孩子们放学后三三两两地#往#家的方向走，一路上说说笑笑好不热闹。	登山队员们顶着寒风#往#峰顶攀登，每一步都走得异常艰难。	他骑着自行车#往#郊外骑去，想找一个安静的地方好好思考人生。	救护车鸣着警笛#往#医院疾驰而去，车上的医护人员正在紧急抢救伤员。	候鸟们成群结队地#往#南方飞去，预示着寒冷的冬天即将来临。			
往	wang3	到，表示动作的目标方向	请把这份文件送#往#总经理办公室，他正在等着签字审批。	这批救灾物资将于明天启运，发#往#受灾最严重的地区。	她把写好的信投进邮筒，寄#往#远在大洋彼岸的亲人手中。	快递员正在将包裹逐一派送#往#各个收件地址，确保当天全部送达。	这趟航班将直飞#往#巴黎，中途不经停任何城市。	公司决定将总部迁#往#新的商业中心，以便更好地开拓市场。	他把积攒多年的书籍捐赠#往#偏远山区的学校，希望能帮助那里的孩子。	这封加急电报立即发#往#前线指挥部，传达了最高统帅部的作战命令。			
往	wang3	朝着，面向某方或对象	他#往#窗外望去，只见大雪纷飞，整个城市都被白雪覆盖。	老师#往#黑板上写下今天要讲的重点内容，学生们纷纷拿出笔记本记录。	她#往#镜子里看了看自己，整理了一下头发，然后自信地走出门去。	厨师#往#锅里倒入适量的油，等油温升高后再放入食材翻炒。	他#往#人群中张望，试图找到约好在此见面的朋友。	农民#往#田里撒下种子，期待着几个月后能有一个好收成。	她#往#杯子里倒了些热水，然后递给刚从外面回来的丈夫暖暖身子。	孩子好奇地#往#井里探头张望，被母亲一把拉了回来。			
往	wang3	列车或交通工具开往的目的地方向	开#往#北京的G102次高铁列车即将进站，请旅客们做好上车准备。	这趟公交车是开#往#火车站的，沿途会经过市中心的几个主要站点。	飞#往#纽约的航班因天气原因延误了三个小时，乘客们在候机厅焦急等待。	开#往#郊区的末班地铁已经发车，错过的乘客只能选择其他交通方式。	这艘渡轮每天定时开#往#对岸的小岛，是岛上居民出行的主要交通工具。	驶#往#港口的货轮满载着集装箱，将在三天后抵达目的地卸货。	开#往#机场的大巴每隔二十分钟一班，旅客可以在酒店门口直接乘坐。	这列火车是开#往#边境城市的慢车，沿途会停靠十几个小站。			
往	wang3	过去的时间或往昔时期	回忆起#往#昔的峥嵘岁月，老战士的眼眶不禁湿润了，那些战友的面容仍历历在目。	#往#事如烟，转眼间三十年过去了，当年的青涩少年如今已是两鬓斑白的中年人。	她翻看着旧相册，#往#日的欢声笑语仿佛就在耳边，那些美好的时光一去不复返了。	老人常常沉浸在对#往#昔的回忆中，那个年代虽然物质匮乏，却有着纯真的人情味。	#往#年的这个时候，村里都会举办盛大的庙会，如今这个传统已经渐渐被人遗忘。	他在日记中记录了#往#日的点点滴滴，那些文字见证了他从少年到成年的成长历程。	#往#事不堪回首，那段艰难的岁月给他留下了难以磨灭的心理创伤。	博物馆里陈列的老物件让人仿佛穿越回#往#昔，感受到那个时代独特的生活气息。			
