word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
总量	zong3 liang4	总体的数量总和	根据最新统计数据显示，今年全国粮食产量#总量#突破七亿吨大关，创下历史新高。	环保部门公布的报告指出，工业废水排放#总量#较去年同期下降了百分之十五，治理成效显著。	经济学家分析认为，居民消费支出#总量#的增长速度直接反映了国民经济的活力和发展潜力。	这份研究报告详细统计了过去十年间全球碳排放#总量#的变化趋势，为气候政策制定提供了重要参考。	城市规划部门测算后发现，新区建设所需的建筑材料#总量#远超预期，需要重新调整采购计划。	医院管理层在年终总结会上汇报，本年度门诊接诊人次#总量#达到了三百万，医疗服务能力显著提升。	财务部门核算后确认，公司全年销售额#总量#已经完成了董事会年初制定的目标任务。
总量	zong3 liang4	全部量或总规模	政府工作报告强调，要在保持经济#总量#稳定增长的同时，着力提升发展质量和效益。	专家指出，单纯追求GDP#总量#的增长模式已经不适应新时代高质量发展的要求。	这个国家虽然人口众多，但人均资源占有量远低于世界平均水平，资源#总量#的优势并不明显。	企业在制定战略规划时，不仅要关注市场#总量#的扩大，更要注重细分领域的深耕细作。	研究机构预测，随着新能源汽车的普及，传统燃油车市场#总量#将在未来五年内持续萎缩。	投资者普遍认为，房地产市场#总量#已经接近饱和，未来的机会在于存量市场的改造升级。	学术界对于宇宙物质#总量#的估算一直存在争议，暗物质的发现更是颠覆了传统认知。
槽	cao2	长形饲槽或水槽	农场工人每天清晨都要把新鲜的饲料倒进长长的#槽#里，等待牛群前来进食。	这个养殖场采用了自动化供水系统，水会定时流入每个圈舍的饮水#槽#中，非常方便。	老农民用水泥砌了一条长#槽#，专门用来给羊群饮水，省去了每天挑水的麻烦。	猪圈里的食#槽#被设计成防翻倒的样式，这样猪在争抢食物时就不会把饲料弄洒一地。	马厩管理员发现木制的饮水#槽#出现了裂缝，赶紧联系维修人员前来更换新的不锈钢水槽。	现代化牧场里的喂食#槽#都配备了传感器，可以自动监测饲料余量并及时补充。	村里的老井旁边有一个石头凿成的#槽#，过去村民们常在这里给牲口饮水歇脚。
槽	cao2	畜栏内的饲料槽	牛棚里的#槽#已经空了，饲养员连忙去仓库搬来几捆干草填满它。	驴子把头伸进#槽#里，津津有味地咀嚼着主人刚刚添加的豆饼和玉米碎。	这匹赛马对食物非常挑剔，每次都要把#槽#里的燕麦仔细闻过才肯开口吃。	农户在牛栏里安装了两个并排的#槽#，一个放干草，一个放精饲料，方便牲畜自由选择。	小羊羔还不够高，够不到#槽#里的草料，牧羊人特意为它们准备了矮一些的食盆。	清晨的阳光照进马厩，几匹马正围在#槽#边安静地吃着早餐，偶尔发出轻轻的响鼻声。	养殖户发现#槽#底积了不少残渣，便用铁铲仔细清理干净，以免饲料发霉变质影响牲畜健康。
槽	cao2	狭长凹槽	木匠师傅用刨子在木板边缘开了一道精确的#槽#，准备用来嵌入另一块木板形成榫卯结构。	这款手机壳的边缘设计了一圈细细的#槽#，既能增加握持时的摩擦力，又具有装饰效果。	工程师检查后发现，轴承外圈的#槽#磨损严重，必须更换新的零件才能保证机器正常运转。	安装推拉门时，需要先在地面和顶部各固定一条带#槽#的轨道，门扇才能顺畅滑动。	这把古琴的琴面上刻有七条平行的#槽#，每条槽对应一根琴弦，工艺十分精湛。	机械加工车间里，数控铣床正在金属板上切削出一道道精密的#槽#，误差控制在零点零一毫米以内。	老式唱片机的唱针需要沿着黑胶唱片表面螺旋形的#槽#缓缓移动，才能读取其中记录的声音信息。
槽	cao2	通道或沟槽	施工队在马路边挖了一条排水#槽#，用来引导雨水流入地下管网，防止路面积水。	工厂车间的地面上铺设了多条电缆#槽#，所有的电线都整齐地收纳在里面，既安全又美观。	建筑设计师在屋顶边缘设计了一圈集水#槽#，可以有效收集雨水用于花园灌溉。	这座古城的街道两侧都有石砌的排污#槽#，体现了古人高超的城市规划智慧。	实验室的操作台下方安装了专门的废液#槽#，化学试剂可以通过这个通道安全排放到处理系统。	农田灌溉系统中的引水#槽#年久失修，村委会决定筹集资金进行全面翻新改造。	地铁站台边缘的导盲#槽#采用了特殊的纹理设计，方便视障人士通过触感辨别方向和位置。
槽	cao2	硬盘驱动器	电脑维修师傅打开机箱检查后说，主板上的硬盘#槽#接触不良，需要重新插拔一下数据线。	这款服务器机箱设计了八个热插拔硬盘#槽#，方便管理员在不关机的情况下更换故障硬盘。	台湾的电脑卖场里，店员正在向顾客介绍这款机箱的扩展性，指着里面说还有三个空的#槽#可以加装硬盘。	资深玩家建议，组装电脑时最好选择硬盘#槽#数量充足的机箱，为将来升级存储空间留有余地。	数据中心的技术人员发现有一个硬盘#槽#的指示灯变红，立即着手更换出现故障的硬盘。	这台工作站配备了专业级的硬盘#槽#散热系统，即使长时间高负荷运行也能保持稳定的温度。	IT部门采购的新款NAS设备拥有十二个硬盘#槽#，可以组建大容量的企业级存储阵列。
思	si1	进行思考	夜深人静时，他独自坐在书房里#思#索着人生的意义，久久不能入眠。	哲学家终其一生都在#思#考存在与虚无的本质问题，留下了大量深刻的著作。	面对这道复杂的数学难题，学生们都在认真#思#索，教室里安静得只能听见笔尖划过纸面的声音。	作家常常在清晨散步时#思#考小说的情节走向，灵感往往在不经意间涌现出来。	禅师教导弟子们要学会静心#思#虑，只有内心平静才能看清事物的本来面目。	科学家在实验失败后并没有气馁，而是反复#思#索问题出在哪里，最终找到了突破口。	老人坐在院子里的藤椅上，望着天边的晚霞默默#思#想着往事，脸上露出淡淡的微笑。
思	si1	仔细考虑或权衡	经过反复#思#量，她最终决定放弃大城市的高薪工作，回到家乡照顾年迈的父母。	董事会成员们#思#忖再三，认为这项投资风险太大，暂时不宜贸然行动。	他#思#前想后，觉得还是应该把真相告诉朋友，即使这样做可能会伤害到对方。	领导在做出重大决策之前，总是要#思#虑周全，听取各方面的意见和建议。	年轻人在选择职业道路时应当慎重#思#考，既要考虑个人兴趣，也要兼顾现实条件。	医生#思#酌良久，最终选择了一种风险较小但恢复期较长的治疗方案。	投资者在入市之前必须#思#量清楚自己的风险承受能力，切忌盲目跟风追涨杀跌。
转身	zhuan3 shen1	把身体向相反方向转动	听到身后有人叫自己的名字，她连忙#转身#一看，原来是多年未见的老同学。	舞蹈演员在舞台上优雅地#转身#，裙摆随着动作飘扬起来，美得像一朵盛开的花。	他正要离开会议室，突然想起还有一件重要的事没说，于是#转身#走回到座位上。	篮球运动员接到传球后迅速#转身#跳投，球在空中划出一道完美的弧线落入篮筐。	小女孩在镜子前#转身#欣赏妈妈刚给她买的新裙子，脸上洋溢着幸福的笑容。	警察发现嫌疑人试图逃跑，立即#转身#追了上去，最终在巷子尽头将其制服。	老师在黑板上写完最后一个公式后#转身#面向学生，开始讲解这道题的解题思路。
