word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
比年	bi3 nian2	（文言）年复一年，每年	#比年#征战不休，边疆百姓流离失所，朝廷却依然沉溺于歌舞升平之中。	自先帝驾崩以来，#比年#灾荒，国库空虚，大臣们为筹措军饷一筹莫展。	这座古刹香火鼎盛，#比年#都有无数信众前来朝拜祈福，络绎不绝。	史书记载，该地区#比年#进贡珍珠玛瑙，以示对中央王朝的臣服之意。	#比年#科举取士，寒门子弟终于有了出人头地的机会，社会阶层开始流动。	村中老人回忆，旧时#比年#祭祀祖先，仪式隆重，全族男女老少皆须参加。			
比年	bi3 nian2	（文言）近年，近年来	#比年#以来，朝中党争日益激烈，忠良之士多遭贬谪，令人扼腕叹息。	据县志所载，#比年#水患频仍，良田尽成泽国，百姓苦不堪言。	#比年#边患稍息，朝廷得以休养生息，着手整顿吏治，革除积弊。	学者考证，此碑文所述之事当在#比年#，距今不过数十载光景。	#比年#商贾云集于此，市井繁华，已非昔日荒僻小镇可比。	奏折中言及#比年#民风日下，礼崩乐坏，恳请圣上下诏整饬风俗。			
公	gong1	属于公众或面向大众的	市政府决定将这片荒废多年的土地改建为#公#园，供市民休闲娱乐。	图书馆作为#公#共文化设施，应当向所有市民免费开放，不设任何门槛。	这条新修的#公#路连接了偏远山区与城市，极大地改善了当地的交通状况。	政府投入大量资金改善#公#共卫生条件，有效控制了传染病的蔓延。	城市规划专家建议增加#公#共绿地面积，以提升居民的生活质量和幸福感。	#公#交系统的完善程度直接反映了一个城市的现代化水平和管理能力。	新建的#公#厕设施齐全，干净整洁，彻底改变了人们对公共厕所的刻板印象。		
公	gong1	为集体或国家所有的	改革开放前，农村土地全部归#公#，农民只能在集体农庄里劳动。	这家企业原本是国有#公#营单位，后来经过改制成为股份制公司。	五十年代的社会主义改造运动中，大量私营工商业被收归#公#有。	村里的这口老井是#公#家的财产，任何人都不得私自占用或破坏。	老一辈人常说，#公#家的东西要爱惜，不能因为不是自己的就随意糟蹋。	计划经济时代，生产资料归#公#所有，个人不得私自经营买卖。	这片山林属于#公#社集体所有，村民只有使用权，没有买卖权。		
公	gong1	普通的，非特殊的	这种#公#鸡在农村随处可见，并非什么珍稀品种，不值几个钱。	他养的那头#公#牛体格健壮，是村里最好的耕牛，人人都想借去犁地。	市场上的#公#猪肉比母猪肉便宜一些，但口感上差别并不明显。	这只#公#猫性格温顺，不像其他公猫那样好斗，很适合家庭饲养。	农场里的#公#羊负责配种繁殖，是整个羊群中最重要的种畜。	那只#公#狗虽然看起来凶猛，但其实对人很友善，从不乱咬人。	养蜂人说，蜂群中的#公#蜂数量很少，它们唯一的作用就是与蜂王交配。		
公	gong1	属于国际共同领域或国际通用的	根据国际法，#公#海属于全人类共同所有，任何国家都不得据为己有。	中国于1949年开始采用#公#历纪年，与国际社会接轨，方便对外交流。	科学界普遍采用#公#制单位进行测量和计算，以确保研究成果的可比性。	这艘货轮在#公#海上遭遇海盗袭击，船员们奋起反抗，最终化险为夷。	国际贸易中通常使用#公#吨作为计量单位，一公吨等于一千公斤。	航海日志显示，船只已驶入#公#海海域，不再受任何沿海国家的管辖。	为了与国际标准统一，我国的度量衡制度已全面改用#公#制。		
公	gong1	公开宣布或使众所周知	法院依法将判决结果予以#公#示，接受社会各界的监督和质询。	政府决定将官员的财产申报情况向社会#公#开，以增强执政透明度。	考试成绩将于下周一在学校官网上#公#布，届时考生可自行查询。	公司董事会决定将这一重大决策#公#之于众，让全体股东知情。	新闻发言人在记者会上#公#布了最新的疫情防控数据和相关政策。	获奖名单已经#公#示完毕，如有异议请在三个工作日内提出申诉。	组委会将在颁奖典礼上正式#公#布本届比赛的最终排名和获奖者名单。		
公	gong1	公平公正，不偏不倚	作为裁判员，他始终秉持#公#正的态度，从不偏袒任何一方选手。	这位法官以铁面无私著称，断案时只认法律不认人，极为#公#道。	老村长处事#公#允，调解邻里纠纷时总能让双方都心服口服。	评委们承诺将以#公#平的标准评审每一份参赛作品，绝不徇私舞弊。	他为人正直，处事#公#正，在同事中享有很高的威望和信誉。	招标过程必须做到#公#开透明，杜绝暗箱操作和权钱交易。	这场辩论赛的评判标准非常#公#正，完全根据选手的表现打分。		
公	gong1	合情合理或正当的品行	古人云"天下为#公#"，意思是天下是天下人的天下，而非一家一姓之私产。	他一生奉#公#守法，清正廉洁，从未利用职权为自己谋取私利。	大禹治水三过家门而不入，其克己奉#公#的精神为后世所敬仰。	作为人民公仆，应当以#公#心对待每一位群众，不能有丝毫私心杂念。	这位清官一生秉#公#执法，两袖清风，死后家中竟无余财可供安葬。	领导干部要时刻牢记#公#私分明的原则，绝不能假公济私、以权谋私。	他常教导子女，做人要出以#公#心，不可为一己之私而损害他人利益。		
公	gong1	五等爵位中最高的公爵	周武王分封诸侯，其中地位最尊者为#公#爵，如宋国国君即为公爵。	英国贵族制度中，#公#爵位居五等爵位之首，地位仅次于王室成员。	这位#公#爵的庄园占地数千英亩，府邸富丽堂皇，仆从众多。	历史上，只有对王室有特殊贡献的人才能被册封为#公#爵，极为罕见。	小说中的男主角是一位年轻英俊的#公#爵，继承了庞大的家族产业。	在欧洲中世纪，#公#爵拥有自己的领地和军队，权势仅次于国王。	这位#公#爵虽然出身显赫，却平易近人，经常资助贫困的艺术家和学者。		
