word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
点选	dian3 xuan3	用鼠标或手指点击选项	在手机设置界面中，用户只需#点选#"隐私保护"选项，即可查看和管理所有应用程序的权限设置。	网上购物时，消费者可以在商品页面#点选#不同的颜色和尺码，系统会自动显示对应的库存情况。	这款新开发的智能电视遥控器支持语音控制，用户不再需要繁琐地#点选#菜单中的各个选项。	在线考试系统要求考生在规定时间内#点选#正确答案，每道选择题只有一次作答机会。	平板电脑的触摸屏设计让老年人也能轻松#点选#屏幕上的图标，大大降低了使用门槛。	软件安装向导会引导用户依次#点选#各项配置选项，整个过程简单直观，即使是电脑新手也能顺利完成。						
点选	dian3 xuan3	点按以进入指定网页	在搜索结果页面#点选#第一条链接后，浏览器会自动跳转到该公司的官方网站首页。	用户可以通过#点选#邮件中的蓝色超链接，直接进入活动报名页面完成注册。	新闻客户端的推送通知支持#点选#跳转功能，读者轻触标题即可阅读完整报道。	在微信公众号文章底部#点选#"阅读原文"，可以跳转到品牌方的电商平台进行购买。	网站导航栏设计得非常清晰，访客只需#点选#相应的栏目名称就能进入对应的内容页面。	手机银行应用中#点选#"账户查询"按钮后，系统会自动跳转到账户明细页面显示最近的交易记录。						
虚构	xu1 gou4	创作或捏造事实	这位记者因为#虚构#采访内容和编造新闻事实，被报社开除并吊销了记者证。	为了博取同情和捐款，他在网上#虚构#了一个悲惨的身世故事，最终被网友揭穿。	保险公司调查发现，投保人#虚构#了车祸现场的经过，企图骗取高额理赔金。	学术界对#虚构#实验数据的行为零容忍，一旦查实将永久取消科研资格。	她在简历中#虚构#了海外留学经历，面试时被人事部门当场识破。	这起案件的关键证人承认自己#虚构#了部分证词，导致案件不得不重新审理。						
虚构	xu1 gou4	捏造的内容或虚假事件	法院认定被告发布的所谓"内幕消息"纯属#虚构#，判决其赔偿原告名誉损失。	这篇网络爆文中的感人故事被证实是彻头彻尾的#虚构#，作者已公开道歉。	调查组经过核实，确认举报信中列举的多项指控均为#虚构#，与事实严重不符。	历史学家指出，这部所谓的"回忆录"中有大量#虚构#成分，不能作为史料引用。	记者深入调查后发现，这个在网上广泛传播的励志故事其实是#虚构#，主人公根本不存在。	辩护律师试图证明控方提供的关键证据是#虚构#，要求法庭予以排除。						
虚构	xu1 gou4	虚构的文学作品	这部#虚构#小说以二战为背景，通过一个普通家庭的命运折射出那个时代的悲欢离合。	图书馆将馆藏分为#虚构#类和非虚构类两大板块，方便读者按需查找。	她的新作是一部#虚构#作品，但其中融入了大量真实的历史事件和人物原型。	文学评论家认为，优秀的#虚构#文学往往比纪实作品更能揭示人性的复杂。	这位作家擅长创作#虚构#故事，她笔下的人物虽然是想象出来的，却让读者感到无比真实。	出版社今年重点推出的#虚构#系列丛书涵盖科幻、悬疑、言情等多种类型。						
虚构	xu1 gou4	想象出来而非现实存在的	孩子们常常会创造出#虚构#的朋友，这是儿童心理发展过程中的正常现象。	这款游戏的世界观设定在一个#虚构#的中世纪王国，玩家可以扮演骑士或法师。	电影中那座宏伟的城堡是完全#虚构#的，由特效团队用电脑技术制作而成。	小说家在作品中塑造了一个#虚构#的乌托邦社会，借此表达对现实的批判和对理想的追求。	地图上标注的这个岛屿是#虚构#的，据说是古代制图师为了防止盗版而故意添加的。	心理学研究表明，人们有时会对#虚构#的角色产生强烈的情感依恋，这种现象被称为"拟社会关系"。						
按天	an4 tian1	按日计算的法律规定	根据合同法相关条款，逾期付款的违约金应当#按天#计算，每日按未付金额的万分之五收取。	法院判决被告#按天#支付迟延履行金，直至完全履行判决义务为止。	新修订的劳动法规定，用人单位拖欠工资的，劳动者有权要求#按天#加付赔偿金。	环保部门对违规排放企业处以罚款，并#按天#计收滞纳金，以督促其尽快整改。	根据税法规定，纳税人逾期未缴税款的，税务机关将#按天#加收滞纳金。	物业管理条例明确规定，业主拖欠物业费的，物业公司有权#按天#收取违约金。						
按天	an4 tian1	按每天计算的报酬或费用	这家酒店的会议室租金是#按天#计费的，每天八百元，包含基本的音响设备。	临时工的工资通常#按天#结算，干一天活拿一天钱，不拖欠不克扣。	出差期间的住宿补贴#按天#发放，一线城市每天三百元，其他城市两百元。	共享汽车平台推出了#按天#租赁套餐，比按小时计费更加划算，适合长途出行。	自由职业者为这个项目提供咨询服务，费用#按天#计算，每天两千元。	健身房的私教课程可以#按天#购买，也可以选择包月套餐享受更多优惠。						
女郎	nu:3 lang2	年轻成年女性	杂志封面上那位时尚#女郎#身穿最新款的设计师礼服，气质优雅迷人。	这部电影讲述了一位都市#女郎#在事业与爱情之间艰难抉择的故事。	广告中那位活力四射的#女郎#代言了多款运动品牌，深受年轻消费者喜爱。	酒吧里几位打扮入时的#女郎#正在庆祝闺蜜的生日，欢声笑语不断。	这位来自小镇的#女郎#凭借自己的努力，在大城市闯出了一片天地。	摄影师镜头下的#女郎#们展现出当代年轻女性自信独立的精神风貌。						
女郎	nu:3 lang2	未婚的年轻女子	村里的老人们还记得，当年那位美丽的#女郎#嫁到城里去，从此再也没有回来过。	古典诗词中常常描写深闺#女郎#的相思之苦，寄托着诗人对美好爱情的向往。	媒人向他介绍了邻村一位知书达理的#女郎#，两人见面后彼此都很满意。	这幅古画描绘的是一位正在绣花的#女郎#，神态娴静，仪态端庄。	小说中那位待字闺中的#女郎#偶然邂逅了一位书生，由此展开了一段曲折的爱情故事。	在那个年代，大户人家的#女郎#很少有机会出门，大多在家中学习女红和诗书。						
