word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
调	tiao2	调解使双方和解	村里的老支书德高望重，每当邻里之间发生纠纷，大家都会请他出面#调#停，他总能让双方握手言和。	这场持续了三年的劳资纠纷，最终在工会代表的努力#调#解下得以圆满解决，工人们重新回到了工作岗位。	作为一名资深律师，她擅长在法庭外#调#和各方矛盾，为当事人节省了大量的诉讼成本和时间。	两国边境冲突一触即发之际，联合国派出特使紧急#调#停，避免了一场可能波及整个地区的战争。	婆媳关系紧张了半年之久，多亏了丈夫从中#调#和，现在一家人终于能坐在一起吃顿安心饭了。	公司两个部门因为项目归属问题闹得不可开交，总经理亲自出面#调#解，重新划分了各自的职责范围。	他在社区担任人民调解员多年，成功#调#停了上百起邻里纠纷，被居民们亲切地称为"和事佬"。	这对夫妻已经闹到要离婚的地步，幸好双方父母及时介入#调#和，让他们冷静下来重新审视这段婚姻。			
调	tiao2	混合不同成分使融合	这位调酒师技艺精湛，能将十几种不同的酒#调#在一起，创造出令人惊艳的独特风味。	画家在调色板上反复#调#配颜料，试图找到那种介于深蓝和紫色之间的神秘色调。	中药房的老师傅按照古方，将多种珍贵药材精心#调#制成膏方，据说对调理身体有奇效。	她在实验室里将不同浓度的溶液#调#匀，仔细观察化学反应产生的颜色变化。	这款香水的独特之处在于调香师将东方檀香与西方玫瑰巧妙地#调#融在一起，形成了独一无二的香氛。	咖啡师将浓缩咖啡与牛奶按照黄金比例#调#和，拉出了一朵精美的郁金香图案。	油漆工把几种不同颜色的涂料#调#在一起，终于配出了客户要求的那种复古米黄色。	这道传统甜点需要将糯米粉和水按比例#调#成糊状，再加入红糖慢慢熬制。			
调	tiao2	使事物相互配合适宜	这套家具的颜色与墙面#调#得恰到好处，整个房间看起来既温馨又有格调。	乐队指挥花了整整一周时间，才把各个声部#调#得和谐统一，达到了演出的标准。	她挑选配饰的眼光独到，总能把衣服和首饰#调#配得相得益彰，令人赞叹。	这位室内设计师善于将不同风格的元素#调#和在一个空间里，创造出独特的美感。	新来的摄影师很快就把灯光和背景#调#得十分协调，拍出的照片效果比之前好了很多。	厨师长强调，一道好菜不仅要味道好，色彩搭配也要#调#得赏心悦目，让人食欲大增。	这首歌的编曲师把传统民乐与现代电子音乐#调#得浑然一体，在网络上获得了数百万的播放量。	婚礼策划师将中式元素与西式风格巧妙地#调#在一起，打造出一场别具一格的婚礼。			
调	tiao2	微调改变以适应需要	技师仔细#调#整了机器的参数，生产线的效率立刻提高了百分之二十。	他反复#调#试吉他的琴弦，直到每个音符都准确无误才开始正式录音。	摄影师不断#调#节相机的光圈和快门速度，以捕捉日落时分最美的光线。	工程师根据测试数据#调#改了程序代码，系统运行速度明显加快了。	她在镜子前#调#整了一下领带的位置，确保自己以最佳状态出席这次重要会议。	空调维修师傅#调#低了温度设定，并清洗了滤网，房间很快就凉爽起来了。	验光师根据检查结果#调#配了新的镜片度数，患者戴上后视力清晰了许多。	司机#调#好了后视镜和座椅的角度，系好安全带后才发动汽车。			
调	tiao2	规制或控制以达到标准	央行通过#调#控利率来稳定物价，防止通货膨胀对经济造成冲击。	政府出台了一系列政策来#调#节房地产市场，遏制房价过快上涨的势头。	人体的内分泌系统负责#调#控各种激素的分泌，维持身体机能的正常运转。	水库管理人员根据上游来水量#调#节闸门开度，确保下游地区的用水安全。	这套智能温控系统能够自动#调#节室内温度，让居住环境始终保持舒适。	交通管理部门通过#调#控信号灯时长来缓解早晚高峰期的道路拥堵问题。	医生建议他通过饮食和运动来#调#理血糖水平，避免长期依赖药物治疗。	电网调度中心实时#调#配各地区的电力供应，保障全省居民的正常用电需求。			
调	tiao2	给食物加调味料	奶奶做红烧肉时，总是先用酱油和冰糖把肉#调#好味，再小火慢炖两个小时。	这道凉拌黄瓜的关键在于#调#汁，蒜泥、醋和香油的比例一定要恰到好处。	厨师在出锅前撒上一把葱花，再用盐和胡椒#调#一下味道，这道汤就完成了。	她学做菜才三个月，但已经掌握了用各种香料#调#味的技巧，做出的菜品令人赞不绝口。	日本料理讲究食材的原味，所以厨师在#调#味时非常克制，只用少许酱油提鲜。	这家餐厅的招牌酱料是老板用十几种配料秘制#调#成的，配方从不外传。	妈妈把切好的肉丝放进碗里，加入料酒和淀粉#调#匀，准备下锅爆炒。	烧烤摊的老板熟练地给羊肉串#调#上孜然和辣椒粉，香味立刻弥漫开来。			
调	tiao2	挑衅激怒以引起反应	他故意用言语#调#弄对方，想激怒他先动手，好让自己有借口还击。	那个醉汉在酒吧里不断#调#戏服务员，最后被保安强行请了出去。	网络上总有些人喜欢发表极端言论#调#动公众情绪，从中获取流量和关注。	她明知道弟弟脾气暴躁，还故意#调#他，结果两人大吵了一架。	这只调皮的猫总喜欢#调#戏邻居家的狗，把狗气得汪汪直叫却又够不着它。	对方球员不断用小动作#调#衅他，试图让他失去冷静而被罚下场。	那个孩子专门#调#弄班上最老实的同学，老师知道后严厉批评了他的行为。	他在会议上故意#调#侃领导的决策，气氛一下子变得十分尴尬。			
调	tiao2	煽动人群或鼓动行为	有人在网上散布谣言#调#唆群众闹事，警方已经介入调查此事。	这个邪教组织的头目善于#调#动信徒的狂热情绪，让他们做出极端行为。	历史上不少战争都是由野心家#调#拨离间、挑起民族仇恨而引发的。	她在背后#调#唆同事联合起来对付新来的主管，搞得整个部门乌烟瘴气。	那个政客擅长#调#动选民的恐惧心理，借此为自己的极端政策争取支持。	村里的地痞流氓经常#调#唆年轻人去偷鸡摸狗，败坏了整个村子的风气。	敌方间谍潜入军营#调#拨士兵与将领的关系，企图从内部瓦解军队的战斗力。	这场骚乱的幕后黑手被查出是境外势力#调#动的，目的是破坏社会稳定。			
议会	yi4 hui4	由代表组成的立法会议体	英国#议会#由上议院和下议院组成，是世界上历史最悠久的立法机构之一。	这项备受争议的法案在#议会#经过三轮辩论后，最终以微弱优势获得通过。	反对党在#议会#中提出不信任动议，要求首相就经济政策失误作出解释。	新当选的#议会#议员们宣誓就职，承诺将为选民的利益尽职尽责。	这位资深政治家在#议会#工作了三十年，见证了国家民主制度的不断完善。	#议会#休会期间，议员们纷纷回到各自选区，听取民众对新政策的意见。	政府提交的预算案遭到#议会#否决，财政部长不得不重新修改支出计划。	示威者聚集在#议会#大厦外，抗议刚刚通过的移民限制法案。			
财富	cai2 fu4	个人或国家的全部财产资产	这位白手起家的企业家在三十年间积累了惊人的#财富#，却始终保持着简朴的生活方式。	经济学家指出，一个国家的真正#财富#不仅体现在GDP数字上，更在于国民的生活质量。	她认为健康和家人才是人生最宝贵的#财富#，金钱不过是实现幸福的工具而已。	这场金融危机让无数人一夜之间失去了毕生积累的#财富#，社会陷入了深深的恐慌。	古人云"君子爱财，取之有道"，追求#财富#本身并没有错，关键在于获取的方式。	随着互联网经济的蓬勃发展，一批年轻的创业者迅速积累了大量#财富#，改变了传统的财富格局。	这份遗嘱详细规定了老人身后#财富#的分配方案，避免了子女之间可能发生的纠纷。	政府推行的税收改革旨在缩小贫富差距，让社会#财富#的分配更加公平合理。			
