word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
说不得	shuo1 bu5 de5	难以形容	那场音乐会的震撼效果#说不得#，只有亲身经历过的人才能体会那种灵魂被触动的感觉。	她看到久别重逢的母亲时，心中涌起的复杂情感#说不得#，眼泪不由自主地流了下来。	战争带给这片土地的创伤#说不得#，每一寸焦土都承载着无数家庭的悲欢离合。	那幅画作的意境之美#说不得#，仿佛能让观者穿越时空，置身于千年前的江南水乡。	他经历的那些苦难#说不得#，旁人只能从他偶尔流露的眼神中窥见一丝端倪。	这道菜的滋味#说不得#，融合了酸甜苦辣各种层次，让人回味无穷却难以用言语表达。							
说不得	shuo1 bu5 de5	必须	眼看着暴风雨就要来临，我们#说不得#要加快脚步赶在天黑前到达山下的村庄。	既然已经答应了客户的交货日期，#说不得#要连夜加班把这批订单赶出来。	孩子高烧不退，#说不得#要立刻送医院，不能再耽搁了。	敌军已经逼近城门，#说不得#要拼死一战，否则全城百姓都将遭殃。	老板临时通知明天要开董事会，#说不得#今晚要把所有财务报表重新核对一遍。	既然对方已经撕破脸皮，#说不得#我们也要采取法律手段来维护自己的权益。							
说不得	shuo1 bu5 de5	不得不	面对如此铁证如山的证据，他#说不得#承认了自己参与了那次商业欺诈行为。	公司资金链断裂，#说不得#要变卖一些固定资产来偿还银行贷款。	看到女儿泪眼婆娑地恳求，父亲#说不得#同意了她出国留学的请求。	疫情期间航班全部取消，我们#说不得#改变原定的旅行计划，在家度过了这个假期。	房东突然要收回房子，我们#说不得#在一个月内另找住处搬家。	原材料价格暴涨，工厂#说不得#提高产品售价，否则将面临严重亏损。							
千里	qian1 li3	一千里	古代驿站每隔#千里#设置一处换马点，以确保紧急军情能够快速传递到京城。	这条古道全长#千里#，是当年丝绸之路上最繁忙的商贸通道之一。	据史书记载，那位将军率领大军日行#千里#，创下了古代行军速度的纪录。	测量员经过精确计算，确认从这座城市到边境的直线距离恰好是#千里#。	皇帝下令在#千里#之内的所有驿站都要备好快马，以便传递紧急诏书。	这幅古地图上标注的#千里#路程，按照现代测量方法换算约为四百多公里。							
千里	qian1 li3	一千里约等于五百公里	按照古代的度量衡，#千里#相当于现在的五百公里左右，这在当时是一段相当遥远的路程。	历史学家考证发现，古籍中所说的#千里#，换算成现代单位大约是五百公里。	导游向游客解释说，古人所说的#千里#并非虚指，而是实实在在的五百公里距离。	地理课上老师讲解道，中国古代的#千里#约等于今天的五百公里，这是理解古代文献的重要知识。	研究古代交通史时必须了解，当时的#千里#折合现代距离约为五百公里。	这本历史地理著作详细考证了古代#千里#与现代公里的换算关系，为学术研究提供了重要参考。							
千里	qian1 li3	很远的距离	他不远#千里#从家乡赶来参加老师的葬礼，只为送恩师最后一程。	这对恋人虽然相隔#千里#，却依然保持着每天视频通话的习惯，感情丝毫不减。	母亲的牵挂跨越#千里#，每逢佳节她都会寄来家乡的特产，让游子感受到家的温暖。	为了寻找失散多年的亲人，他踏遍#千里#，终于在一个偏远的小山村找到了线索。	古人云"#千里#送鹅毛，礼轻情意重"，说的就是这份跨越距离的真挚情谊。	这批救援物资跨越#千里#运抵灾区，为受灾群众送去了急需的生活必需品。							
瞒	man2	对他人隐瞒事实	他一直#瞒#着家人自己失业的消息，每天假装出门上班，实际上是在四处找工作。	公司高层试图#瞒#住财务造假的丑闻，但最终还是被审计部门查了出来。	她#瞒#了父母整整三年，直到毕业典礼那天才告诉他们自己早已转了专业。	医生决定暂时#瞒#住病人的真实病情，等家属做好心理准备后再告知。	这件事他#瞒#了妻子很久，直到银行的催款电话打到家里，真相才大白于天下。	村干部企图#瞒#上级检查组，把贫困户临时安置到条件较好的房子里应付检查。							
瞒	man2	使他人不知情以隐瞒真相	为了给母亲一个惊喜，全家人合力#瞒#了她整整一个月，精心筹备了这场生日派对。	他们#瞒#着老板私下接了竞争对手的项目，这种行为一旦被发现就会被立即开除。	孩子们#瞒#着父母偷偷养了一只小猫，每天放学后轮流照顾，生怕被大人发现。	特工们必须#瞒#住所有人自己的真实身份，哪怕是最亲近的家人也不能透露半点信息。	她#瞒#着丈夫悄悄存了一笔私房钱，打算在结婚纪念日给他买一块心仪已久的手表。	剧组为了保密，#瞒#着媒体在偏远山区秘密拍摄，直到杀青才对外公布消息。							
原水	yuan2 shui3	直接取自水源的未经处理的水	水厂的第一道工序是将#原水#从河流中抽取上来，送入沉淀池进行初步处理。	检测人员定期对#原水#进行采样分析，以监测水源地的污染状况和水质变化。	由于上游工厂排污，#原水#中的重金属含量严重超标，水厂不得不暂停取水。	这座新建的净水厂每天可以处理十万吨#原水#，满足整个城区的居民用水需求。	工程师解释说，#原水#必须经过絮凝、沉淀、过滤、消毒等多道工序才能变成安全的饮用水。	暴雨过后#原水#浑浊度急剧上升，水厂启动了应急预案，增加了混凝剂的投放量。							
原水	yuan2 shui3	未经过滤或净化处理的水	实验室需要用#原水#作为对照样本，以便与处理后的水样进行水质对比分析。	在野外生存训练中，教官特别强调不能直接饮用#原水#，必须经过煮沸或净化处理。	这台便携式净水器可以将#原水#快速转化为可饮用水，是户外探险的必备装备。	研究人员发现，这片湿地的#原水#中含有丰富的微生物群落，具有重要的生态研究价值。	农村地区很多居民仍在使用#原水#灌溉农田，这可能导致农产品受到污染。	水质检测报告显示，该地区的#原水#虽然外观清澈，但细菌含量已经超出安全标准。							
