word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
确定	que4 ding4	明确的，非模糊的	这份合同的条款非常#确定#，没有任何模棱两可的表述，双方的权利义务都写得清清楚楚。	法律条文必须使用#确定#的语言，避免产生歧义，否则在司法实践中会引发大量争议。	科学研究需要#确定#的定义和标准，模糊的概念会导致实验结果无法重复验证。	他给出的答复非常#确定#，没有丝毫含糊其辞，让所有人都明白了他的立场。	这项政策的适用范围有着#确定#的边界，不能随意扩大解释或缩小适用。	数学定理之所以令人信服，是因为它建立在#确定#的公理和严密的逻辑推导之上。	医生需要给出#确定#的诊断结论，而不是让病人在各种可能性之间猜测。	合同中关于违约责任的规定必须是#确定#的，不能使用"适当"、"合理"等模糊词语。			
确定	que4 ding4	固定不变的	公司每月十五号发工资，这是#确定#的日期，从来没有变过。	考试时间已经#确定#下来了，就在下个月的第一个周末，不会再改动。	这条航线的班次是#确定#的，每天早中晚各一班，风雨无阻。	博物馆的开放时间是#确定#的，每周二至周日上午九点到下午五点。	他们约定每周三晚上聚餐，这已经成为#确定#的惯例，坚持了整整三年。	工厂的生产流程是#确定#的，每个环节都有严格的操作规范，不允许随意更改。	学校的作息时间是#确定#的，早上七点半上课，下午四点放学，多年来从未变过。	这家餐厅的菜单价格是#确定#的，不会因为顾客的身份或消费金额而有所不同。			
确定	que4 ding4	决定或选定某事物	经过反复比较，我们最终#确定#了这家供应商作为长期合作伙伴。	委员会开会讨论后，#确定#了明年的工作重点和预算分配方案。	她花了整整一个月的时间，才#确定#了婚礼的举办地点和日期。	公司高层经过多轮磋商，终于#确定#了新任CEO的人选。	我们需要尽快#确定#参加展会的产品清单，以便安排生产和物流。	经过激烈的讨论，团队#确定#采用敏捷开发模式来推进这个项目。	招聘委员会在面试了二十多位候选人之后，#确定#录用其中三位。	规划部门已经#确定#了新城区的建设方案，预计明年春天动工。			
确定	que4 ding4	查明真相或原因	警方经过深入调查，终于#确定#了火灾的起因是电线老化短路。	医生通过一系列检查，#确定#了患者腹痛的原因是急性阑尾炎。	专家组花了三个月时间，才#确定#了这批文物的真伪和年代。	调查人员通过监控录像和证人证词，#确定#了事故发生的经过。	科学家们经过反复实验，终于#确定#了这种疾病的致病机理。	审计部门仔细核查账目后，#确定#了资金流失的具体环节和责任人。	技术团队排查了整整一周，才#确定#了系统崩溃的根本原因。	法医通过DNA比对，#确定#了死者的身份以及死亡的大致时间。			
确定	que4 ding4	感到确信	我#确定#他说的是实话，因为他的眼神和语气都非常真诚。	她#确定#自己看到了那个人，虽然只是匆匆一瞥，但绝对不会认错。	我现在还不能#确定#这个消息是否属实，需要再核实一下。	他#确定#自己做出了正确的选择，即使面对外界的质疑也毫不动摇。	你#确定#把钥匙放在这里了吗？我找了半天都没有找到。	经过反复思考，她#确定#自己想要的生活不是朝九晚五的上班族。	我#确定#这道题的答案是B，因为我用了两种不同的方法都得出了相同的结果。	他#确定#自己听到了敲门声，于是放下手中的书走去开门。			
确定	que4 ding4	保证使其发生	政府采取了一系列措施来#确定#经济的平稳运行和社会的和谐稳定。	项目经理制定了详细的计划，以#确定#工程能够按时保质完成。	学校加强了安保力量，#确定#校园内师生的人身安全。	公司建立了完善的质量管理体系，#确定#每一件产品都符合标准。	为了#确定#会议的顺利进行，组织者提前做了充分的准备工作。	银行设置了多重验证机制，#确定#客户的资金安全不受威胁。	教练制定了科学的训练计划，#确定#运动员能够在比赛中发挥最佳状态。	政府出台了相关政策，#确定#低收入家庭的基本生活得到保障。			
确定	que4 ding4	核实具体情况	请你再#确定#一下航班信息，看看有没有延误或者取消的情况。	出发前，他特意打电话#确定#了酒店的预订是否成功。	记者在发稿前反复#确定#了消息来源的可靠性和事实的准确性。	财务部门需要#确定#每一笔报销的真实性，防止虚假报销的发生。	我需要跟对方#确定#一下会面的具体时间和地点，免得到时候扑空。	签合同之前，律师建议我们再#确定#一下对方公司的资质和信誉。	医生让护士再#确定#一下病人的过敏史，以免用药出现问题。	海关工作人员仔细#确定#了货物的品名、数量与报关单是否一致。			
确定	que4 ding4	使最终确定或达成	经过长达半年的谈判，双方终于#确定#了这笔价值数十亿的收购交易。	在最后一轮投票中，委员会#确定#了最终的获奖名单。	经过多轮艰苦的磋商，两国代表终于#确定#了边界划分协议。	董事会在紧急会议上#确定#了公司的重组方案，避免了破产的命运。	双方律师经过反复修改，终于#确定#了合同的最终文本。	在截止日期前的最后一刻，他们#确定#了融资协议的所有细节。	经过激烈的竞标，开发商终于#确定#了这块黄金地段的使用权。	谈判代表通宵达旦地工作，终于在黎明时分#确定#了停火协议。			
确定	que4 ding4	认出或识别	她在人群中一眼就#确定#了那个多年未见的老同学。	警方让目击者从照片中#确定#嫌疑人，但他表示记不太清楚了。	专家通过笔迹鉴定，#确定#了这封信确实出自那位作家之手。	他仔细端详了半天，才#确定#眼前这个白发苍苍的老人就是当年的恩师。	DNA检测结果帮助警方#确定#了受害者的身份。	她凭借独特的声音，在电话里立刻#确定#了对方就是失散多年的妹妹。	考古学家通过碑文上的文字，#确定#了这座古墓的主人是一位唐代将军。	虽然化了浓妆，但他还是一眼就#确定#了台上的演员是自己的前女友。			
确定	que4 ding4	确认或证实信息的真实性	实验结果#确定#了研究人员之前提出的假设是正确的。	多方消息来源#确定#了这位官员即将被调任的传闻。	官方声明#确定#了网上流传的那段视频确实是真实的。	独立调查机构的报告#确定#了举报人所反映的问题属实。	第三方检测机构的结果#确定#了这批产品确实存在质量问题。	目击者的证词#确定#了被告当时确实不在犯罪现场。	后续的调查#确定#了最初的报道存在严重失实的情况。	权威专家的鉴定#确定#了这幅画作确实是大师的真迹而非赝品。			
