word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
下去	xia4 qu4	接下来继续发生或发展	如果这样#下去#，公司迟早会倒闭，我们必须立即采取措施扭转局面。										
下去	xia4 qu4	持续存在或继续进行	他决定无论多么困难都要坚持#下去#，绝不能半途而废辜负大家的期望。	这种高强度的工作节奏很难长期维持#下去#，员工们的身体迟早会吃不消。	她鼓励学生们把学习的热情保持#下去#，不要因为一时的挫折就放弃梦想。	如果不解决资金问题，这个项目很难继续#下去#，可能会被迫中止。	他告诉自己一定要撑#下去#，黎明前的黑暗总是最难熬的。	医生说只要坚持治疗#下去#，病情就会逐渐好转，让家属不要太担心。	这段感情已经名存实亡，她不知道还有没有必要维持#下去#。	教练鼓励队员们把这股拼劲保持#下去#，下半场一定能够逆转比分。			
下去	xia4 qu4	仆从或侍者退下离场	老爷挥了挥手，示意仆人们都#下去#，他要和客人单独谈一些私密的事情。	皇帝说完话后，太监们纷纷#下去#，偌大的宫殿里只剩下他一个人。	管家吩咐完事情后，让佣人们都#下去#各自忙碌，不要在客厅里逗留。	主人对侍女说："你先#下去#吧，我想一个人静一静。"	宴会结束后，女主人让服务员们都#下去#休息，明天再来收拾残局。	将军命令亲兵们都#下去#，只留下几位心腹将领商议军机大事。	老太太让丫鬟们都#下去#，她要和儿媳妇说几句体己话。	大人审完案子，让衙役们都#下去#，自己在书房里独自思考案情。			
背景	bei4 jing3	有权势的靠山	他能在官场上平步青云，主要是因为有强大的#背景#在后面支持。	这家公司之所以能拿到这么多政府项目，据说是因为老板有很深的#背景#。	她虽然能力一般，但凭借家族的#背景#还是顺利进入了那家知名企业。	在这个行业里，没有#背景#的人很难出头，再有才华也可能被埋没。						
了得	liao3 de5	极为出色，了不起	这位年轻厨师的手艺真是#了得#，做出来的菜色香味俱全，让人赞不绝口。										
了得	liao3 de5	特别优秀或能干	她的记忆力#了得#，看过一遍的资料就能记住百分之九十以上的内容。	这位老中医的医术#了得#，很多西医治不好的疑难杂症到他手里都能药到病除。	他的口才#了得#，三言两语就能把复杂的道理讲得清清楚楚，让人心服口服。	小伙子的酒量#了得#，连喝十杯白酒面不改色，在场的人都佩服不已。	她的厨艺#了得#，随便几样简单的食材就能做出一桌丰盛的美味佳肴。	这位老师傅的木工手艺#了得#，做出来的家具精美绝伦，堪称艺术品。	他的棋艺#了得#，在全市的象棋比赛中连续三年蝉联冠军。	她的绣工#了得#，绣出来的花鸟栩栩如生，连专业的绣娘都自叹不如。			
了得	liao3 de5	非常糟糕，令人难受	这几天的天气热得#了得#，气温连续突破四十度，很多人都中暑了。	他的脾气坏得#了得#，动不动就发火，同事们都不敢和他多说话。	这条路堵得#了得#，平时半小时的路程今天开了两个多小时。	她的洁癖严重得#了得#，家里的地板每天要擦三遍，稍微有点灰尘就受不了。	孩子淘气得#了得#，一刻也不让人省心，把家里弄得乱七八糟。	这道菜咸得#了得#，简直没法入口，不知道厨师放了多少盐。	他的烟瘾大得#了得#，一天要抽两包烟，怎么劝都戒不掉。	今年的蚊子多得#了得#，晚上睡觉不点蚊香根本没法安睡。			
了得	liao3 de5	令人震惊地糟糕	这次考试的成绩差得#了得#，全班一半以上的学生不及格，老师气得说不出话来。	公司的财务状况糟糕得#了得#，已经连续三个月发不出工资了。	他的身体垮得#了得#，才四十岁就得了一身的病，医生说再不注意就来不及了。	这个项目的进度拖延得#了得#，原定半年完成的工作现在一年了还没有眉目。	她的视力下降得#了得#，短短一年时间近视度数就增加了三百度。	工厂的污染严重得#了得#，附近的河水都变成了黑色，鱼虾全都死光了。	他的债务多得#了得#，欠了好几家银行的钱，每个月光还利息就要好几万。	这栋楼的质量差得#了得#，住进去不到一年墙壁就开始开裂渗水。			
亚	Ya4	亚洲	#亚#运会是亚洲地区规模最大的综合性运动会，每四年举办一届。	中国是#亚#洲面积最大的国家，拥有悠久的历史和灿烂的文化。	#亚#太地区的经济发展迅速，已经成为全球经济增长的重要引擎。	他计划用一年的时间走遍#亚#洲的主要国家，体验不同的风土人情。	#亚#足联宣布下届亚洲杯将在沙特阿拉伯举行，届时将有二十四支球队参赛。	东南#亚#的旅游业非常发达，每年吸引数以百万计的游客前往度假。	#亚#洲的人口占全球总人口的百分之六十以上，是世界上人口最多的大洲。	#亚#投行的成立标志着亚洲国家在国际金融领域的话语权不断增强。			
亚	Ya4	亚洲的，亚洲人的	这家餐厅主打#亚#洲风味，菜单上有中国、日本、泰国等多个国家的特色菜。	#亚#裔移民在美国的人口比例逐年上升，已经成为一个重要的族群。	这部电影汇集了多位#亚#洲顶级导演，讲述了发生在不同国家的动人故事。	#亚#洲文化强调集体主义和家庭观念，这与西方的个人主义有很大不同。	她是第一位获得这个国际奖项的#亚#裔科学家，为亚洲人争了光。	这款产品专门针对#亚#洲消费者的需求设计，在亚洲市场非常畅销。	#亚#洲美食以其丰富的口味和独特的烹饪方式闻名于世界。	他是#亚#裔美国人，虽然在美国出生长大，但一直保持着对亚洲文化的热爱。			
