word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
老	lao3	始终	他这个人#老#是迟到，每次开会都要等他十分钟以上，大家都习惯了。	小王#老#想着要换工作，可是一直没有付诸行动，转眼三年过去了。	我妈#老#念叨着让我早点结婚，每次打电话都要提这件事，真是烦死了。	这台电脑#老#出问题，不是死机就是蓝屏，我看还是换一台新的吧。	他#老#觉得自己怀才不遇，却从不反思自己是否真的付出了足够的努力。	邻居家的狗#老#在半夜叫，吵得整栋楼的人都睡不好觉，大家意见很大。	她#老#担心孩子在学校受欺负，每天都要打好几个电话询问情况。	弟弟#老#缠着我给他讲故事，不讲完三个故事绝对不肯睡觉。	这条路#老#堵车，上下班高峰期根本走不动，我建议你绕道走环城路。			
老	lao3	过去的或以往的	这条#老#街承载着几代人的记忆，如今却面临着拆迁改造的命运。	他翻出了一张#老#照片，上面是三十年前全家人在天安门前的合影。	这家#老#店已经经营了五十多年，是附近居民心中不可替代的存在。	爷爷常常给我们讲#老#北京的故事，那时候的胡同和四合院别有一番风味。	这首#老#歌勾起了她对青春岁月的无限怀念，眼眶不禁湿润了。	博物馆里陈列着许多#老#物件，每一件都诉说着那个年代的故事。	他收藏了很多#老#唱片，闲暇时就会放来听，重温那个年代的旋律。	这座#老#桥已经有两百多年的历史，是这座城市最重要的文化遗产之一。	她在整理遗物时发现了一封#老#信，是外婆年轻时写给外公的情书。			
老	lao3	非常	今天的太阳#老#大了，出门一定要做好防晒措施，否则很容易中暑。	这道菜做得#老#好吃了，你一定要尝尝，保证让你回味无穷。	他家的房子#老#大了，光客厅就有一百多平米，装修得也非常豪华。	东北的冬天#老#冷了，零下三十度是常有的事，南方人根本受不了。	这个消息让她#老#高兴了，整整一天都合不拢嘴，逢人就分享这个好消息。	他跑得#老#快了，学校运动会上轻松拿下了百米冠军，打破了校纪录。	这部电影#老#感人了，看完之后我哭得稀里哗啦的，纸巾用了一大包。	她唱歌唱得#老#好了，每次公司年会都是压轴表演，掌声雷动。	这件衣服#老#贵了，要好几千块钱，我看了看价签就默默放下了。			
老	lao3	过时的、落伍的	他的思想太#老#了，总是用几十年前的观念来看待现在的年轻人。	这套管理方法已经很#老#了，根本不适应现代企业的发展需求。	她的穿衣风格有点#老#，同事们私下都说她像是从上个世纪穿越过来的。	这款手机的系统太#老#了，很多新软件都装不上，是时候换一部了。	公司的设备太#老#了，生产效率低下，急需进行技术升级改造。	他讲的那些笑话都太#老#了，我们小时候就听过，现在根本笑不出来。	这种营销方式已经很#老#了，在互联网时代根本行不通，必须创新。	她用的那些教学方法太#老#了，学生们都提不起兴趣，课堂气氛沉闷。	这个设计理念太#老#了，完全跟不上当下的审美潮流，需要重新构思。			
老	lao3	（肉等）老而坚韧不易咀嚼的	这块牛肉炖得太#老#了，嚼起来像橡皮一样，根本咬不动。	鸡蛋煎得有点#老#了，蛋黄都硬了，下次火候要小一点。	这条鱼蒸得太#老#了，肉质发柴，完全没有鲜嫩的口感了。	牛排煎得太#老#了，失去了应有的嫩滑多汁，简直是暴殄天物。	这只鸡养的时间太长，肉质很#老#，怎么炖都炖不烂，不适合做白切鸡。	虾仁炒得有些#老#了，口感发硬发柴，应该是火候没掌握好。	这块猪肉太#老#了，纤维粗糙难以咀嚼，不适合用来做红烧肉。	羊肉片涮得太#老#了，已经失去了鲜嫩的口感，吃起来又干又硬。	鱿鱼炒得太#老#了，卷曲得厉害而且嚼不动，下次要注意火候。			
不断	bu4 duan4	中途未曾中断	两国之间的外交关系#不断#，即使在最困难的时期也保持着基本的沟通渠道。	尽管经历了战争和动乱，这个家族的血脉始终#不断#，延续至今已有二十代。	这条古老的商路历经千年而#不断#，至今仍是连接东西方贸易的重要通道。	他们的友谊从大学时代开始就#不断#，三十年来一直保持着密切的联系。	这项传统技艺代代相传，香火#不断#，如今已被列入国家级非物质文化遗产名录。	虽然公司经历了多次重组，但核心业务始终#不断#，保持着稳定的发展态势。	这座寺庙的香火千年#不断#，每逢初一十五都有大批信众前来朝拜祈福。	两家人的往来从祖辈起就#不断#，到现在已经是第四代人的交情了。	尽管遭遇了百年不遇的洪灾，这条河流的水源依然#不断#，滋养着两岸的万亩良田。			
不断	bu4 duan4	连续不断的延续	窗外的雨#不断#地下着，从早上一直持续到现在，丝毫没有停歇的迹象。	工厂的机器#不断#运转，二十四小时不停工，以满足激增的市场需求。	她#不断#地练习钢琴，每天至少六个小时，终于在国际比赛中获得了金奖。	科技的进步#不断#推动着社会的发展，改变着人们的生活方式和思维模式。	他#不断#地向前奔跑，尽管双腿已经酸痛不堪，但他知道终点就在前方。	城市的建设#不断#推进，一栋栋高楼拔地而起，天际线日新月异。	她#不断#地翻阅资料，试图从浩如烟海的文献中找到支持自己论点的证据。	时间#不断#流逝，转眼间孩子们都已长大成人，各自有了自己的家庭。	河水#不断#地冲刷着河岸，经过千万年的侵蚀，形成了壮观的峡谷地貌。			
不断	bu4 duan4	经常发生的恒常状况	这个路口#不断#发生交通事故，有关部门应该尽快采取措施改善交通状况。	公司内部#不断#出现人事变动，员工们都感到人心惶惶，工作效率大受影响。	他#不断#接到骚扰电话，不胜其烦，最后只好更换了手机号码。	这台老旧的空调#不断#出故障，修了好几次都修不好，还是换台新的吧。	她#不断#收到各种推销信息，邮箱里全是垃圾邮件，清理起来十分麻烦。	这个地区#不断#发生地震，当地居民已经习以为常，但防灾意识依然很强。	孩子#不断#生病，这个月已经去了三次医院，家长们都操碎了心。	网站#不断#遭受黑客攻击，技术团队不得不加班加点修复漏洞，加强安全防护。	他#不断#犯同样的错误，领导多次批评教育，但收效甚微，令人头疼。			
省	sheng3	节约耗费，省钱省物	为了#省#钱，她每天自己带饭上班，一年下来竟然存了两万多块钱。	这款新型节能灯泡能#省#不少电，长期使用下来可以节约一大笔电费开支。	他骑自行车上班是为了#省#油钱，同时也能锻炼身体，一举两得。	奶奶一辈子勤俭持家，什么都舍不得扔，总想着能#省#就#省#。	公司推行无纸化办公，既环保又#省#钱，还提高了工作效率。	她买东西总是货比三家，能#省#一块是一块，从不乱花钱。	为了#省#时间，他选择坐高铁而不是开车，虽然贵一点但效率高很多。	这个方案虽然前期投入大，但长远来看能#省#下大量的运营成本。	妈妈总是把剩菜留到第二天吃，说是不能浪费，能#省#则#省#。			
省	sheng3	省略或删去不必要的部分	这篇文章太长了，编辑建议#省#掉一些不必要的细节描写，使主题更加突出。	为了控制演讲时间，他不得不#省#去了很多原本准备好的案例分析。	这个词在口语中经常被#省#掉，但在正式书面语中还是要写完整。	导演决定#省#掉这场戏，因为它对整体剧情的推进没有太大帮助。	填表时如果信息太长，可以适当#省#略，只保留关键内容即可。	他说话总是#省#掉主语，让人听得一头雾水，不知道他在说谁。	这道工序可以#省#掉，经过测试发现它对最终产品质量没有影响。	翻译时有些修饰语可以#省#去，以使译文更加简洁流畅，符合目标语言的表达习惯。	会议记录不必逐字逐句，可以#省#去一些重复和无关紧要的内容。			
