word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
体	ti3	事物的实质内容	这篇社论言之有物，#体#现了作者对社会问题深刻的洞察力和独到的见解。	读书不能只看表面文字，要深入理解文章的主#体#思想和作者的写作意图。	这部著作的#体#量虽然不大，但内容极为丰富，涵盖了哲学、历史和文学多个领域。	他的演讲内容充实有#体#有据，用大量的数据和案例支撑了自己的核心论点。	这份研究报告的主#体#部分详细论述了气候变化对农业生产的深远影响。	法律条文的#体#例和内容必须严谨准确，不能有任何模糊或歧义之处。	这幅画的构图和色彩都很出色，但缺乏精神内核，显得有形无#体#。	学术论文要求论点明确、论据充分，整#体#结构要逻辑严密层次分明。			
体	ti3	亲身体验或经历	只有亲身#体#验过贫困生活的人，才能真正理解扶贫工作的重要意义。	老师带领学生们到农村去#体#验生活，让他们了解粮食来之不易。	她决定辞职去西藏旅行，用一年的时间#体#验不同的生活方式和文化。	这款虚拟现实设备能让用户身临其境地#体#验太空漫步的奇妙感觉。	他在基层工作了五年，深刻#体#会到了普通百姓生活中的酸甜苦辣。	公司安排新入职的管理层到车间#体#验一线工人的工作，以便更好地理解生产流程。	游客们可以在这个民俗村里亲身#体#验传统手工艺的制作过程。	作家为了写好这部小说，特意去监狱#体#验了一个月的生活，积累了大量素材。			
体	ti3	表示动作方式的语法范畴	英语中的进行#体#表示动作正在发生，通常用be加动词的ing形式来构成。	汉语的#体#标记系统与英语不同，主要通过助词"了""着""过"来表达不同的动作状态。	语言学家对比研究了多种语言的#体#貌系统，发现完成体和未完成体是最基本的对立。	俄语的动词#体#分为完成体和未完成体两大类，这是俄语语法中最难掌握的部分之一。	这篇论文详细分析了古汉语中#体#标记的演变过程及其对现代汉语语法的影响。	在类型学研究中，动词的#体#范畴被认为是人类语言的普遍特征之一。	学生们在学习法语时，常常搞不清楚未完成过去#体#和简单过去体的区别。	教授在课堂上用大量例句解释了汉语中"着"字所表达的持续#体#的语法功能。			
高兴	gao1 xing4	心情愉快	孩子们收到新年礼物后#高兴#得手舞足蹈，满屋子跑来跑去欢呼雀跃。	听到女儿考上了理想的大学，父母#高兴#得一夜没睡，逢人就分享这个好消息。	他升职加薪的消息传来，全家人都非常#高兴#，决定周末去餐厅好好庆祝一番。	老人看到多年未见的孙子从国外回来，#高兴#得热泪盈眶，紧紧地抱住不肯松手。	球迷们看到自己支持的球队赢得了冠军，#高兴#得在街头载歌载舞彻夜狂欢。	她收到了心仪公司的录用通知，#高兴#得立刻打电话告诉了所有的好朋友。	春节期间一家人团聚在一起吃年夜饭，老老少少都#高兴#得合不拢嘴。	得知自己的论文被顶级期刊接收发表，他#高兴#得在办公室里来回踱步。			
高兴	gao1 xing4	感到欣慰或高兴	看到学生们一个个成才，老师感到由衷的#高兴#，觉得自己多年的付出都是值得的。	我很#高兴#地看到你在工作中取得了这么大的进步，继续保持这种势头。	令人#高兴#的是，经过全体医护人员的努力，这位重症患者终于脱离了生命危险。							
高兴	gao1 xing4	愿意做某事	他不#高兴#加班，但为了赶上项目截止日期，还是留下来工作到了深夜。	你要是不#高兴#去就别勉强了，我们可以找其他人一起参加这次活动。	老板#高兴#的话就批准你的休假申请，不高兴的话你可能还得再等等。	她本来不#高兴#参加这种应酬场合，但碍于朋友的面子还是勉强去了。	只要你#高兴#帮忙，我们随时欢迎你加入志愿者团队。	他#高兴#做的事情谁也拦不住，不高兴做的事情怎么劝也没用。	孩子不#高兴#吃蔬菜，妈妈想了各种办法把蔬菜做成他喜欢的造型。		
高兴	gao1 xing4	情绪轻松愉快	周末天气晴朗，一家人#高兴#地去郊外野餐，享受难得的休闲时光。	同学聚会上大家有说有笑，每个人脸上都洋溢着#高兴#的神情，仿佛回到了学生时代。	她今天心情特别#高兴#，哼着小曲儿一边做饭一边跟家人聊天。	退休后的老李每天早上去公园打太极拳，下午和棋友下棋，日子过得#高兴#又自在。	旅途中遇到了一群志同道合的朋友，大家一路上#高兴#地聊天拍照，好不快活。	孩子们在游乐场里玩得#高兴#极了，从滑梯上一遍又一遍地滑下来，笑声不断。	过年回到老家，见到了久违的亲戚朋友，他#高兴#得像个孩子一样。	春游那天阳光明媚，同学们#高兴#地在草地上做游戏，度过了愉快的一天。			
犯罪	fan4 zui4	实施犯罪行为	警方经过三个月的缜密侦查，终于将这个多次#犯罪#的惯犯缉拿归案。	青少年#犯罪#问题日益严重，社会各界呼吁加强家庭教育和学校法治教育。	他因为一时贪念走上了#犯罪#的道路，如今在狱中追悔莫及。	法律面前人人平等，任何人#犯罪#都必须依法受到应有的惩罚。	这个跨国诈骗团伙利用网络技术#犯罪#，受害者遍布十几个国家。	预防#犯罪#比惩罚犯罪更为重要，完善的社会保障体系能有效减少犯罪率。	他在服刑期间深刻反省了自己#犯罪#的原因，决心出狱后重新做人。	检察官在法庭上出示了大量证据，证明被告人蓄意#犯罪#的事实确凿无疑。			
犯罪	fan4 zui4	违法或刑事罪行	近年来网络#犯罪#呈现出高发态势，给社会治安带来了新的挑战。	法院依据#犯罪#事实和相关法律条款，对被告人作出了公正的判决。	这部纪录片深入剖析了有组织#犯罪#的运作模式及其对社会的危害。							
著	zhu4	公布或使人知道	这项研究成果一经#著#于学术期刊，立即在国际科学界引起了广泛关注和讨论。	古代帝王常将重要法令#著#之于众，刻在石碑上立于城门口供百姓知晓。	他将毕生的研究心得#著#成文字，希望后人能够从中获得启发和借鉴。	朝廷下旨将功臣的事迹#著#于史册，以彰显其对国家的卓越贡献。	这位学者将自己多年的田野调查结果#著#为专著出版，填补了该领域的研究空白。	皇帝命令将新颁布的税法#著#告天下，各州府县衙必须张贴公示。	他决定将这段鲜为人知的历史#著#之于书，让更多人了解那段被遗忘的岁月。	先生将平生所学#著#述立说，留下了数十卷珍贵的学术著作供后世研读。			
