word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
近人	jin4 ren2	现代人	#近人#对于古代典籍的理解往往受到当代思维方式的影响，难以完全还原古人的本意。	学术界普遍认为，#近人#在研究先秦哲学时应当结合考古发现与文献记载进行综合分析。	这部著作汇集了#近人#对《红楼梦》的各种解读，为读者提供了多元的视角。	与古人相比，#近人#拥有更丰富的信息资源，但在专注力和深度思考方面却有所欠缺。	#近人#编纂的这套丛书收录了大量珍贵的历史文献，对学术研究具有重要参考价值。	从#近人#的研究成果来看，这首诗的作者身份仍存在较大争议，尚无定论。	#近人#对传统文化的传承方式发生了根本性变化，数字化保存成为主流趋势。			
近人	jin4 ren2	亲密的朋友	他为人谨慎，从不在外人面前谈论私事，只有几位#近人#才知道他内心的真实想法。	她病重期间，只有#近人#获准前来探望，其他访客一律被婉拒在门外。	这封信是写给#近人#的，字里行间流露出的真情实感让人动容。	他虽然身居高位，但对待#近人#始终保持着年轻时的那份真诚与热情。	在那段最艰难的日子里，是几位#近人#的陪伴和支持让她重新找回了生活的勇气。	他很少参加社交活动，平日里只与几位#近人#来往，过着简单而充实的生活。	这些珍贵的照片记录了他与#近人#共度的美好时光，每一张都承载着难忘的回忆。			
近人	jin4 ren2	交往上的合作者	作为公司的#近人#，他对这次商业决策的内幕了解得比外界报道的要详细得多。	她在政界的几位#近人#都建议她暂时保持低调，等风波过去再做打算。	这位企业家的#近人#透露，他正在秘密筹备一个大型投资项目，预计明年正式启动。	他与这位部长是多年的#近人#，两人在多个重大项目上都有过密切合作。	据其#近人#介绍，这位科学家近年来一直在从事一项突破性的研究工作。	作为董事长的#近人#，他对公司的战略规划和发展方向有着深入的了解。	这份报告是根据多位业内#近人#提供的信息整理而成，具有较高的可信度。			
近人	jin4 ren2	私交密切者	他的#近人#都知道，他表面上不苟言笑，实际上是个非常重感情的人。	这位明星的#近人#向媒体证实，她确实已经与男友低调完婚。	据#近人#透露，这位企业家在做出重大决定前总会征求家人的意见。	他的#近人#形容他是一个极其自律的人，每天的作息时间都精确到分钟。	只有#近人#才知道，他在光鲜亮丽的外表下承受着巨大的心理压力。	她的#近人#回忆说，她年轻时就展现出了非凡的艺术天赋和坚韧的性格。	这位政治家的#近人#表示，他在私下里是一个非常幽默风趣的人，与公众形象截然不同。			
老本	lao3 ben3	经营或投资用的资本	这家小店是他用全部#老本#开起来的，倾注了他多年的心血和积蓄。	创业初期资金紧张，他不得不把#老本#全部投入到设备采购上，连周转资金都没有留。	她把#老本#都押在了这个项目上，如果失败就真的一无所有了。	这次投资失败让他赔光了#老本#，不得不从头开始重新积累资金。	他劝告年轻人创业时不要把#老本#全部投入，一定要留有余地以应对不测。	公司经营不善，连#老本#都快亏完了，再不想办法就只能宣布破产。	他用仅有的#老本#盘下了这间店铺，决心在餐饮行业闯出一片天地。			
老本	lao3 ben3	可变现的财产或资产	为了给儿子买房，老两口把多年积攒的#老本#都拿了出来，自己却过着节俭的生活。	这场大病几乎耗尽了他的#老本#，原本殷实的家底变得所剩无几。	她把#老本#都变卖了用来偿还债务，只为了不让家人受到牵连。	经济危机让他的#老本#大幅缩水，原本计划好的退休生活不得不重新规划。	他一辈子省吃俭用攒下的#老本#，在这次诈骗案中被骗得精光。	为了支持女儿出国留学，他们毫不犹豫地动用了准备养老的#老本#。	这些年他靠着#老本#维持生活，但坐吃山空终究不是长久之计。			
老本	lao3 ben3	个人储蓄资金	退休后他靠着#老本#过日子，虽然不富裕但也衣食无忧。	她把#老本#存在银行里吃利息，每个月的收益刚好够日常开销。	这些年物价上涨，他的#老本#越来越不经花，生活质量明显下降。	他不愿意动用#老本#，宁可继续工作也要保住这笔养老钱。	为了帮助困难的亲戚，她拿出了一部分#老本#，自己的生活却更加拮据了。	他把#老本#分成几份存在不同的银行，以分散风险确保资金安全。	年轻时不懂得积累#老本#，到老了才发现没有积蓄的日子有多难熬。			
老本	lao3 ben3	留作备用的存款或积蓄	他一直舍不得动用这笔#老本#，打算留到真正需要的时候再用。	这笔#老本#是她多年来省吃俭用攒下的，准备用来应对不时之需。	他告诫子女要有忧患意识，平时就要积累#老本#以备将来之用。	虽然生活困难，但她始终没有动用那笔#老本#，因为那是她最后的保障。	这次突发疾病让他不得不动用了#老本#，多年的积蓄一下子去了大半。	他把#老本#藏在一个只有自己知道的地方，连家人都没有告诉。	有了这笔#老本#垫底，他面对生活中的各种变故时心里踏实多了。			
老本	lao3 ben3	名誉或过往的声望	他这些年一直在吃#老本#，靠着当年的名气混日子，却没有拿出任何新作品。	这位曾经的影后如今只能靠#老本#接一些小角色，昔日的辉煌早已不再。	他不能总是躺在#老本#上睡大觉，必须不断创新才能保持竞争力。	公司这几年完全是在消耗#老本#，如果不进行改革迟早会被市场淘汰。	她深知#老本#总有吃完的一天，所以一直在努力学习新技能提升自己。	这个品牌多年来一直在吃#老本#，产品毫无创新，市场份额逐年下滑。	他不愿意靠#老本#过日子，即使已经功成名就仍然保持着旺盛的创作热情。			
老本	lao3 ben3	靠过去成就自恃的荣誉感	他总是拿当年的功劳说事，这种吃#老本#的心态让年轻同事很不服气。	领导批评他不能总躺在#老本#上，要与时俱进才能适应新形势的要求。	她从不提及过去的成就，认为吃#老本#是一种不思进取的表现。	这位老教授从不以#老本#自居，始终保持着谦虚好学的态度。	他警告团队成员不要有吃#老本#的想法，过去的成绩只能代表过去。	公司里有些老员工喜欢吃#老本#，对新来的年轻人指手画脚却不愿意学习新东西。	她认为靠#老本#过日子是最危险的，因为时代在变，不进步就意味着退步。			
