word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
塑造	su4 zao4	文学上刻画和塑造人物形象	这部小说成功地#塑造#了一个在乱世中坚守良知的知识分子形象，让读者深受感动。	作家用细腻的笔触#塑造#了一位外表冷漠内心炽热的女性角色，她的命运牵动着无数读者的心。	鲁迅先生在《阿Q正传》中#塑造#的阿Q形象，深刻揭示了国民性的弱点，至今仍具有警示意义。	这位剧作家擅长#塑造#复杂的反派角色，让观众既恨又怜，展现了人性的多面性。	在这部史诗般的作品中，作者#塑造#了数十个性格鲜明的人物，每一个都栩栩如生。	她在新作中#塑造#的母亲形象打破了传统文学中的刻板印象，展现了现代女性的独立与坚强。	评论家认为这部作品最大的成就在于#塑造#了一个既有英雄气概又有凡人弱点的主人公形象。			
压抑	ya1 yi4	抑制情绪或表达	她努力#压抑#着内心的悲伤，不想让年迈的父母看到自己流泪的样子。	多年来他一直#压抑#着对初恋的思念，直到在同学会上重逢才终于说出了当年未能表白的话。	心理医生建议他不要过度#压抑#自己的情绪，适当的宣泄对心理健康是有益的。	在那个保守的年代，年轻人不得不#压抑#自己的个性，按照长辈的期望生活。	她#压抑#住想要反驳的冲动，决定等会议结束后再私下与领导沟通。	长期#压抑#愤怒和不满会导致严重的心理问题，甚至引发身体疾病。	他#压抑#着激动的心情，用平静的语气宣布了公司获得重大投资的消息。			
压抑	ya1 yi4	造成令人窒息的强制气氛	那个年代的政治环境极其#压抑#，人们连私下议论时事都要小心翼翼。	这家公司的管理风格非常#压抑#，员工们整天战战兢兢，生怕说错一句话。	在那个#压抑#的家庭氛围中长大，她从小就学会了察言观色，不敢表达真实想法。	军训期间#压抑#的纪律要求让很多新生感到难以适应，但也锻炼了他们的意志力。	旧社会封建礼教对女性的束缚是极其#压抑#的，她们几乎没有任何自主选择的权利。	会议室里弥漫着#压抑#的气氛，所有人都低着头，不敢与怒气冲冲的老板对视。	那段被软禁的日子是#压抑#的，他每天只能透过窗户看看外面的天空。			
压抑	ya1 yi4	令人感到沉闷窒息的状态	连续下了一周的雨，天空灰蒙蒙的，整个城市都笼罩在一种#压抑#的氛围中。	这部电影的色调阴暗，配乐低沉，营造出一种#压抑#的观影体验，让人喘不过气来。	狭小的地下室没有窗户，空气不流通，待久了会让人感到非常#压抑#。	那栋老旧的办公楼走廊昏暗，墙壁斑驳，给人一种说不出的#压抑#感。	夏天的闷热天气让人感到#压抑#，仿佛连呼吸都变得困难起来。	这篇小说的叙事节奏缓慢，情节沉重，读起来有一种#压抑#的感觉。	病房里弥漫着消毒水的气味，白色的墙壁和沉默的病人让整个空间显得格外#压抑#。			
压抑	ya1 yi4	使人沮丧或郁闷的感觉	失业后的那段日子是#压抑#的，他每天躺在床上不想见任何人。	连续加班三个月后，她感到前所未有的#压抑#，甚至开始怀疑工作的意义。	得知自己落选的消息后，他的心情变得非常#压抑#，好几天都提不起精神。	在异国他乡独自生活的日子是#压抑#的，语言不通让她感到与世隔绝。	这首歌的旋律低沉忧伤，歌词充满了#压抑#的情绪，听完让人心情沉重。	长期照顾卧床的老人让她感到身心俱疲，那种#压抑#的感觉几乎要把她压垮。	疫情期间被隔离在家的生活是#压抑#的，她每天都在焦虑中度过。			
压抑	ya1 yi4	对思想或感情的压制行为	封建社会对人性的#压抑#是全方位的，从思想到行为都受到严格的管控。	这种教育方式对孩子天性的#压抑#会造成长期的心理创伤，影响其一生的发展。	历史上许多伟大的思想都曾遭受过#压抑#，但真理终究会冲破束缚。	宗教改革运动是对中世纪教会#压抑#人性的一次强烈反抗。	长期的情感#压抑#会导致心理扭曲，这在许多文学作品中都有深刻的描写。	那个时代对艺术创作的#压抑#是显而易见的，许多作品只能以隐晦的方式表达思想。	社会对少数群体的#压抑#往往会激发更强烈的反抗意识和争取权利的运动。			
法人	fa3 ren2	法律上的主体	根据我国法律规定，#法人#是具有民事权利能力和民事行为能力，依法独立享有民事权利和承担民事义务的组织。	这家基金会已经完成注册登记，正式成为具有独立#法人#资格的非营利组织。	在签订合同时，必须确认对方是否具有#法人#资格，否则合同可能存在法律风险。	#法人#代表在法律文件上的签字具有法律效力，代表整个组织的意志。	根据民法典的规定，#法人#分为营利法人、非营利法人和特别法人三大类。	这起诉讼的被告是一家具有独立#法人#地位的子公司，母公司不承担连带责任。	学校作为事业单位#法人#，依法享有办学自主权，同时也要承担相应的法律责任。			
法人	fa3 ren2	公司等具法人资格的组织	这家上市公司的#法人#治理结构完善，股东大会、董事会和监事会各司其职。	作为独立#法人#，该企业有权自主决定经营策略，不受母公司的直接干预。					
光辉	guang1 hui1	散发明亮光彩	清晨的阳光穿透云层，在湖面上洒下万道#光辉#，美得让人屏住呼吸。	月亮升起来了，银白色的#光辉#洒满了整个山谷，一切都显得如梦如幻。	她站在舞台中央，聚光灯的#光辉#笼罩着她，仿佛一位从天而降的仙子。	夕阳的#光辉#染红了天边的云彩，渔船在金色的海面上缓缓归来。	钻石在灯光下折射出璀璨的#光辉#，让在场的所有人都为之惊叹。	佛像表面的金箔在烛光中闪烁着神圣的#光辉#，信徒们虔诚地跪拜祈祷。	远处的灯塔发出稳定的#光辉#，为夜航的船只指引着回家的方向。			
光辉	guang1 hui1	光荣的成就或荣耀	这位科学家用毕生的研究成果为祖国的航天事业增添了#光辉#的一页。	革命先烈们用鲜血和生命铸就了新中国#光辉#的历史，我们永远不会忘记。	她在国际比赛中夺得金牌，为国家赢得了#光辉#的荣誉，全国人民为之骄傲。	这部作品记录了那段#光辉#岁月中普通人的奋斗故事，感动了无数读者。	老将军回忆起自己#光辉#的军旅生涯，眼中闪烁着自豪的泪光。	这座城市有着#光辉#的革命传统，许多重要的历史事件都在这里发生。	他的名字将永远镌刻在人类探索太空的#光辉#史册上，激励着后来者继续前行。			
