word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
队	dui4	一群为某种目的聚集的人或物	每天早晨，公园里都有一#队#老人在练习太极拳，他们动作整齐划一，吸引了不少路人驻足观看。	超市门口排着长长的一#队#人，大家都在等待限时特价商品的开售。	一#队#骆驼缓缓穿过沙漠，驼铃声在寂静的戈壁滩上回荡，仿佛诉说着古老丝绸之路的故事。	志愿者们组成了一#队#，前往山区为留守儿童送去学习用品和过冬衣物。	婚礼当天，一#队#身穿红色礼服的伴娘走在新娘前面，场面十分喜庆热闹。	考古队员们发现了一#队#兵马俑，这些陶俑排列整齐，神态各异，令人叹为观止。	游行活动中，一#队#身着民族服装的表演者载歌载舞，展示着各民族的文化特色。	机场外停着一#队#出租车，司机们正在等待刚下飞机的旅客。			
少	shao3	少量 不多	这家餐厅的菜品虽然#少#，但每一道都是精心制作的招牌菜，深受食客喜爱。	由于资金有限，我们只能购买#少#量的实验设备，其余的只能向其他实验室借用。	他平时话#少#，但一旦开口说话，往往都是经过深思熟虑的真知灼见。	这个偏远山村人口#少#，全村加起来也不过三十几户人家，年轻人大多外出打工了。	图书馆里关于这个冷门课题的参考资料很#少#，我不得不去其他城市的档案馆查阅。	今年雨水#少#，农作物的收成受到了严重影响，很多农民都在为此发愁。	这种珍稀植物数量极#少#，全世界仅存不到一百株，被列为一级保护物种。	她的朋友#少#，但每一个都是可以交心的知己，质量远比数量重要。			
少	shao3	较少 更少	相比传统燃油车，电动汽车的维护成本要#少#得多，这也是越来越多人选择它的原因之一。	自从公司实行弹性工作制后，员工加班的时间明显#少#了，工作效率反而提高了。	这款新型材料比传统材料消耗的能源#少#百分之三十，非常符合环保理念。	经过治理，这条河流的污染物排放量比去年#少#了一半，水质明显改善。	采用新工艺后，生产过程中产生的废料比以前#少#了很多，大大降低了环境负担。	他现在抽烟比以前#少#多了，医生说如果能完全戒掉就更好了。	这个方案需要的人力比原计划#少#，但完成质量丝毫不打折扣。	改进后的算法运行时间比旧版本#少#了将近一半，性能提升非常显著。			
少	shao3	缺乏 不足	这篇论文论据充分，但#少#了一个有力的结论，建议作者补充完善。	他什么都不#少#，就是#少#一个能理解他的人，所以总是显得郁郁寡欢。	这道菜味道不错，就是#少#了点盐，再加一点就完美了。	团队里#少#一个有经验的项目经理，导致很多工作无法顺利推进。	这个计划看起来很完善，但#少#了风险评估这一关键环节，需要补充。	他的演讲内容丰富，但#少#了与观众的互动，显得有些枯燥乏味。	公司目前#少#的不是资金，而是能够开拓市场的专业人才。	这份报告数据详实，但#少#了对未来趋势的分析预测，说服力稍显不足。			
少	shao3	丢失或不存在	她数了数钱包里的钱，发现#少#了一百块，不知道是什么时候掉的。	仓库管理员清点货物时发现#少#了三箱产品，立即向上级汇报了这一情况。	他回到家发现钥匙#少#了一把，担心是在地铁上被人偷走的。	图书馆的工作人员发现书架上#少#了几本珍贵的古籍，立即报了警。	她整理行李时发现#少#了一件毛衣，可能是落在酒店房间里了。	会计核对账目时发现账上#少#了一笔款项，经过调查才发现是系统录入错误。	老师点名时发现班上#少#了两个学生，后来才知道他们请病假了。	他检查工具箱时发现#少#了一把螺丝刀，到处找也没找到。			
少	shao3	停止 中止某种行为	医生严肃地告诫他要#少#抽烟#少#喝酒，否则身体迟早会出问题。	妈妈总是叮嘱我#少#玩手机多看书，说这样对眼睛好，对学习也有帮助。	老板警告那个爱说闲话的员工#少#管别人的事，把自己的工作做好就行了。	奶奶劝爷爷#少#操心儿女的事情，说他们都已经长大成人，能照顾好自己。	朋友劝他#少#想那些烦心事，出去旅游散散心，心情自然就会好起来。	教练让队员们#少#说话多训练，比赛马上就要开始了，要抓紧时间热身。	她对那个总是抱怨的同事说，#少#发牢骚，多想想解决办法才是正道。	父亲告诫儿子#少#跟那些不三不四的人来往，免得学坏了。			
少	shao3	很少 不经常	他性格内向，#少#与人交往，大部分时间都独自待在家里看书或者写作。	这种珍稀鸟类#少#在城市出现，这次能在公园里看到实属难得。	她工作繁忙，#少#有时间陪伴家人，每次回家父母都格外高兴。	这位作家#少#接受媒体采访，所以关于他的报道非常有限。	他#少#参加社交活动，但每次出席都会给人留下深刻的印象。	这家老字号餐厅#少#做广告宣传，全靠口碑吸引顾客，生意却一直很好。	她#少#发朋友圈，偶尔发一条也是关于工作的内容，很少涉及私人生活。	这位教授#少#在公开场合发表意见，但他的学术论文在业内影响很大。			
少	shao4	年幼的 年轻的	他#少#年时期就展现出非凡的音乐天赋，十岁便能演奏多种乐器。	这位企业家#少#时家境贫寒，但凭借自己的努力最终成就了一番事业。	她#少#年成名，十五岁就获得了全国作文比赛的一等奖，被誉为文学神童。	古人云"#少#壮不努力，老大徒伤悲"，这句话至今仍有深刻的教育意义。	他#少#时随父母移居海外，但始终没有忘记自己的母语和文化根源。	这部小说讲述了主人公从#少#年到成年的成长历程，感动了无数读者。	她#少#女时代的梦想是成为一名舞蹈家，如今终于站上了国际舞台。	村里的老人们还记得他#少#年时调皮捣蛋的样子，没想到现在成了大学教授。			
拉	la1	用力向某方向拉动	他使劲#拉#开沉重的铁门，发现里面堆满了落满灰尘的旧家具。	孩子们#拉#着风筝线在草地上奔跑，五颜六色的风筝在蓝天中飞舞。	渔民们齐心协力#拉#起渔网，今天的收获比预期的还要丰富。	她#拉#开窗帘，明媚的阳光瞬间洒满了整个房间，心情也跟着明朗起来。	消防员奋力#拉#住绳索，将被困在楼顶的居民一个个安全救下。	他#拉#着行李箱穿过拥挤的火车站，急匆匆地赶往候车大厅。	工人们用绞盘#拉#起沉入水底的货物，经过几个小时的努力终于成功打捞上岸。	她轻轻#拉#了#拉#他的衣袖，示意他不要在公共场合大声说话。			
拉	la1	拉弦乐器进行演奏	他每天坚持#拉#小提琴两个小时，十年如一日的练习让他的技艺日臻精湛。	街角的老人正在#拉#二胡，悠扬的琴声吸引了不少路人驻足聆听。	她从小学习#拉#大提琴，如今已经成为国家交响乐团的首席演奏家。	音乐会上，演奏家深情地#拉#着一曲《梁祝》，台下观众无不为之动容。	爷爷年轻时是剧团的琴师，最擅长#拉#京胡，现在虽然退休了，偶尔还会露一手。	她#拉#小提琴的姿势非常优雅，每一个动作都透露出多年专业训练的痕迹。	那位街头艺人#拉#着手风琴，欢快的旋律让整条步行街都充满了节日的气氛。	学校的音乐老师不仅会弹钢琴，还会#拉#中提琴，是个多才多艺的人。			
