word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
句	ju4	完整表意的句子单位	这篇文章的第一#句#话就深深吸引了我，让我忍不住一口气读完了整本书。	老师要求学生们把课文中最喜欢的一#句#话抄写下来，并解释为什么选择这句话。	他说的最后一#句#话让在场所有人都陷入了沉思，会议室里鸦雀无声。	这#句#话虽然简短，却蕴含着深刻的人生哲理，值得我们反复品味。	作家在修改稿件时，反复斟酌每一#句#话的措辞，力求表达得更加精准。	演讲结束时，他用一#句#铿锵有力的话作为总结，赢得了全场雷鸣般的掌声。	翻译这#句#话时需要特别注意语境，否则很容易产生歧义或误解。						
句	ju4	句子内部的分句或从句	这个复杂的长句由三个分#句#组成，每个分句都有独立的主语和谓语。	在分析这个句子时，我们首先要找出主#句#和从句之间的逻辑关系。	这个条件状语从#句#放在句首，起到了强调假设条件的作用。	英语中的定语从#句#可以分为限制性和非限制性两种，用法各有不同。	他在写作时习惯使用多个并列分#句#，使文章读起来气势磅礴、一气呵成。	这个复合句的第二个分#句#承接上文，对前面的观点进行了进一步的解释说明。	语法老师详细讲解了主#句#与从句之间的时态呼应规则，学生们认真做着笔记。						
句	ju4	短语或词组	"守株待兔"这个成语#句#出自《韩非子》，用来比喻不知变通、死守经验的人。	古诗词中常用四字#句#来表达意境，如"大漠孤烟"、"长河落日"等经典词组。	这个固定#句#在口语中使用频率很高，几乎每个中国人都耳熟能详。	学习外语时，掌握常用#句#比单独记忆单词更有助于提高实际交流能力。	广告文案中的这个宣传#句#朗朗上口，很快就在消费者中流传开来。	他在演讲中引用了几个古典名#句#，为整篇讲话增添了文化底蕴。	这本成语词典收录了上万条常用#句#，是学习汉语的必备工具书。						
句	ju4	计量短语或诗行的量词	李白的这首诗共有四#句#，每句七个字，是典型的七言绝句格式。	老师让学生背诵《论语》中的三#句#名言，并在课堂上分享自己的理解。	这首词的上阕有五#句#，下阕有六句，结构上略有不对称。	他即兴吟诵了两#句#古诗，引得满座宾客纷纷鼓掌叫好。	奶奶虽然没上过学，却能背诵好几#句#老话俗语，都是祖辈传下来的智慧。	这副对联上下各七#句#，工整对仗，堪称书法与文学的完美结合。	诗人在这首长诗中写了整整一百#句#，倾注了他对故乡的全部思念之情。						
只不过	zhi3 bu5 guo4	仅仅不过没有更多	这件衣服#只不过#花了五十块钱，质量却出奇地好，真是物超所值。	他#只不过#迟到了五分钟，经理就当着所有同事的面严厉批评了他一顿。	这道数学题#只不过#换了个数字，本质上和昨天讲的例题完全一样。	她#只不过#随口说了一句玩笑话，没想到对方竟然当真生气了。	这次考试#只不过#是一次模拟测验，不计入期末成绩，大家不必太紧张。	我#只不过#想帮你一个小忙而已，你不用这么客气地道谢。	那家店的装修#只不过#比别家稍微精致一点，价格却贵了将近一倍。						
只不过	zhi3 bu5 guo4	只是表示转折或解释	他的能力确实很强，#只不过#性格太过内向，不善于在领导面前表现自己。	这个方案总体上是可行的，#只不过#在执行细节上还需要进一步完善。	我并不是不想帮你，#只不过#最近实在太忙，抽不出时间来。	她长得很漂亮，#只不过#脾气有点急躁，动不动就发火。	这份工作待遇还不错，#只不过#需要经常出差，对家庭生活影响比较大。	新系统的功能很强大，#只不过#操作界面不够友好，新用户上手需要一段时间。	他说的话基本上是对的，#只不过#有些地方表述得不够准确，容易引起误解。						
只当	zhi3 dang4	把某事物当作或视为	你就#只当#我没说过这话吧，免得大家都尴尬。	她#只当#这次失败是一次宝贵的学习经历，很快就振作起来重新开始。	老板#只当#没看见他上班迟到，毕竟他平时工作表现一直很出色。	我们#只当#这笔钱是借给你的，等你有能力了再还也不迟。	他#只当#那些闲言碎语是耳边风，从不放在心上，依然我行我素。	你#只当#是帮朋友一个忙，不要把这件事想得太复杂了。	她#只当#自己是个局外人，冷眼旁观着办公室里的明争暗斗。						
荣誉	rong2 yu4	正式授予的荣誉称号	他因为在抗洪救灾中的英勇表现，被授予"抗洪英雄"的#荣誉#称号。	这位科学家获得了国家最高科学技术奖的#荣誉#，这是对他毕生贡献的肯定。	学校决定授予这位杰出校友"终身#荣誉#教授"的称号，以表彰他对母校的贡献。	她是该公司历史上第一位获得"年度最佳员工"#荣誉#的女性，打破了多年的传统。	这支部队因战功卓著，被授予"英雄连队"的#荣誉#称号，全连官兵倍感自豪。	市政府为这位见义勇为的市民颁发了"道德模范"#荣誉#证书和奖金。	他退休时获得了"终身成就奖"的#荣誉#，这是业界对他四十年职业生涯的最高认可。						
荣誉	rong2 yu4	对功绩的认可或记功	这项发明的#荣誉#应该归功于整个研发团队，而不是我一个人。	他把比赛获胜的#荣誉#归于教练的悉心指导和队友们的密切配合。	虽然项目最终成功了，但他拒绝独占#荣誉#，坚持要与所有参与者共同分享。	历史会记住这些无名英雄的贡献，他们应得的#荣誉#不会被遗忘。	她从不争抢#荣誉#，总是默默地做好自己的本职工作，深受同事们的尊敬。	这次突破性进展的#荣誉#属于那些在实验室里日夜奋战的年轻科研人员。	公司决定将这个项目的#荣誉#记在整个部门名下，以表彰大家的集体努力。						
荣誉	rong2 yu4	光荣显赫的声誉与荣耀	为国争光是每个运动员的梦想，奥运金牌代表着至高无上的#荣誉#。	他宁可放弃高薪职位，也要维护自己作为学者的#荣誉#和学术操守。	这个百年老字号视品牌#荣誉#为生命，从不在产品质量上有丝毫妥协。	军人把捍卫国家#荣誉#视为神圣使命，随时准备为祖国献出一切。	她用一生的努力证明了自己的价值，赢得了同行们发自内心的尊重和#荣誉#。	这场胜利不仅属于球队，更是整个城市的#荣誉#，市民们为此欢庆了整整一夜。	他在法庭上慷慨陈词，誓死捍卫家族的#荣誉#，绝不接受任何不实指控。						
