word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
裤	ku4	覆盖下肢的外穿长裤	他穿着一条深蓝色的西装#裤#，配上白衬衫和领带，显得格外精神，准备参加公司的年度表彰大会。	冬天来临之前，母亲特意给孩子们买了几条加绒的棉#裤#，确保他们在寒冷的天气里也能保持温暖。	这条牛仔#裤#是他大学时期买的，虽然已经穿了十多年，但因为质量好，至今依然结实耐穿。	面试那天，她精心挑选了一条黑色直筒#裤#，搭配简洁的白色上衣，给面试官留下了专业干练的印象。	爷爷年轻时当过裁缝，做的#裤#子针脚细密，版型合身，村里人都喜欢找他定做衣服。	运动员们穿着统一的训练#裤#在操场上进行热身，为即将到来的省级比赛做最后的准备。				
裤	ku4	泛指各类下身穿着的裤装	商场里的#裤#装区域琳琅满目，从休闲短裤到正装西裤，从运动裤到牛仔裤，应有尽有。	这家服装店专门经营各类#裤#装，无论是夏天的短裤还是冬天的棉裤，都能在这里找到合适的款式。	她的衣柜里挂满了各种#裤#子，有适合上班穿的西裤，也有周末休闲时穿的运动裤和牛仔裤。	时尚杂志预测今年秋冬的#裤#装流行趋势将以宽松版型为主，高腰设计和复古风格会成为主流。	这个品牌的#裤#装以舒适著称，无论是内裤、睡裤还是外穿的长裤，都采用优质面料制作。	网购平台上的#裤#类商品销量惊人，从几十元的平价款到上千元的设计师品牌，消费者选择众多。				
动L	dong4 L	流动的	这条河的水是#动L#的，从山顶一路奔流而下，最终汇入大海，形成了壮观的自然景观。	与静止的湖水不同，溪流中#动L#的水体含氧量更高，更适合鱼类和其他水生生物的生存繁殖。	物理老师解释说，#动L#的空气会产生风，而风的强弱取决于气压差和地形等多种因素。	这款新型净水器采用#动L#过滤技术，水流在通过多层滤芯时能够更有效地去除杂质和有害物质。	艺术家用流畅的笔触描绘出#动L#的云彩，仿佛画中的天空真的在缓缓移动，充满了生命力。	工程师设计的这套系统能够实时监测管道中#动L#液体的流速和压力，确保生产过程的安全稳定。				
动L	dong4 L	灵活可变通	公司的管理制度比较#动L#，员工可以根据自己的情况选择弹性工作时间，不必每天朝九晚五。	这位老师的教学方法很#动L#，会根据学生的接受程度随时调整讲课节奏和内容深度。	谈判过程中，双方都表现得比较#动L#，愿意在一些非核心条款上做出让步，最终达成了合作协议。	她处理问题的方式非常#动L#，从不死板地照搬规定，而是根据实际情况灵活应对。	这家餐厅的菜单设计很#动L#，顾客可以根据自己的口味偏好自由搭配主食、配菜和饮品。	项目经理强调团队成员要保持#动L#的思维方式，遇到困难时要善于变通，寻找替代方案。				
动L	dong4 L	网络用语指生动活泼	这个博主的视频风格特别#动L#，每期节目都充满活力和创意，难怪能吸引这么多粉丝关注。	网友们评论说这部动画的角色设计太#动L#了，每个人物都个性鲜明，表情丰富，让人印象深刻。	她在直播间里的表现非常#动L#，说话幽默风趣，和观众互动频繁，直播间的气氛总是很热闹。	这款表情包因为画风#动L#而在社交平台上迅速走红，年轻人聊天时都喜欢用它来表达情绪。	粉丝们称赞偶像在综艺节目中的表现太#动L#了，完全没有偶像包袱，展现出真实可爱的一面。	这篇网络小说的文风很#动L#，作者善于运用网络流行语和表情符号，读起来轻松有趣。				
傲慢	ao4 man4	自以为是瞧不起他人	他因为考上了名牌大学就变得#傲慢#起来，总觉得自己比别人聪明，对同学的建议不屑一顾。	新来的经理态度十分#傲慢#，认为自己的方案永远是最好的，从不采纳下属的意见和建议。	她的#傲慢#源于对自身能力的过度自信，总以为自己什么都懂，结果在专业问题上闹了不少笑话。	这位学者虽然学识渊博，但为人#傲慢#，自以为是，很少与同行交流，因此在学术圈里朋友不多。	他那种#傲慢#的态度让合作伙伴非常不满，对方觉得他完全不尊重别人的专业判断和工作成果。	年轻时的他曾因#傲慢#自大而错失许多机会，后来经历了挫折才学会谦虚待人，虚心求教。				
傲慢	ao4 man4	态度盛气凌人目中无人	那位富商对待服务员的态度极其#傲慢#，盛气凌人地呼来喝去，让在场的人都感到不舒服。	她走进办公室时一副#傲慢#的姿态，目中无人地从同事身边经过，连招呼都不打一个。	这位官员的#傲慢#作风早已臭名昭著，他对待普通百姓总是一副高高在上、不可一世的样子。	客户投诉说那位销售代表态度#傲慢#，说话时鼻孔朝天，完全没有把顾客放在眼里。	他在会议上#傲慢#地打断别人的发言，仿佛只有自己的意见才值得被听取，让与会者都很反感。	那个明星因为#傲慢#的待人方式而频频上热搜，粉丝们纷纷脱粉，公众形象一落千丈。				
传真	chuan2 zhen1	以传真机发送文件	秘书按照经理的指示，将合同文本#传真#给了对方公司，并电话确认对方已经收到。	在互联网普及之前，企业之间经常通过#传真#来传递重要文件，这在当时是最快捷的方式之一。	请您将签字盖章后的授权书#传真#到我们公司，我们收到后会立即安排后续的审批流程。							
传真	chuan2 zhen1	传真件或传真文件	办公桌上堆着一叠#传真#，都是各地分公司发来的销售报表，等待经理审阅签字。									
传真	chuan2 zhen1	在绘画中生动描绘形象	这幅肖像画#传真#之妙令人叹服，画中人物的神态表情栩栩如生，仿佛随时会开口说话。	古代画师讲究#传真#写照，不仅要描绘人物的外貌特征，更要捕捉其内在的精神气质。	这位画家擅长#传真#之术，他笔下的人物形神兼备，每一幅作品都能准确传达人物的性格特点。	宋代绘画理论强调#传真#的重要性，认为优秀的肖像画必须能够传达人物的神韵和气质。	他的画作以#传真#见长，无论是达官贵人还是市井百姓，都能被他画得活灵活现，呼之欲出。	这幅古画的#传真#技法堪称一绝，画中仕女的眉眼神情被刻画得细腻入微，令后世画家赞叹不已。				
