word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
透露	tou4 lu4	有意将信息告知他人	那位知情人士私下向记者#透露#了公司即将进行大规模裁员的消息，希望能引起社会关注。	他在酒后不慎向竞争对手#透露#了公司的核心技术机密，导致企业蒙受巨大损失。	消息人士向媒体#透露#，政府正在考虑出台新的房地产调控政策，预计下月将正式公布。	她故意向闺蜜#透露#了前男友的新恋情，想看看对方会有什么反应。	内部员工向调查人员#透露#了公司财务造假的详细情况，为案件侦破提供了关键线索。	他向我#透露#了一个秘密，说公司高层正在秘密洽谈收购事宜，让我千万不要外传。	那位退休官员在回忆录中首次#透露#了当年那场政治风波的幕后细节，引发舆论广泛关注。
透露	tou4 lu4	使事实或情形为人所知	她脸上的表情#透露#出内心的不安，尽管她努力装作若无其事的样子。	这份报告#透露#出当前经济形势的严峻程度，远比官方公布的数据更加令人担忧。	他的眼神#透露#出深深的疲惫，显然这段时间承受了巨大的工作压力。	文件中的细节#透露#出这次合作谈判并不顺利，双方在核心条款上存在重大分歧。	她的言谈举止#透露#出良好的家庭教养，让在场的人都对她印象深刻。	这些考古发现#透露#出古代文明的发展程度远超我们之前的想象。	他紧握的双拳#透露#出内心的愤怒，但他还是强忍着没有发作。
激动	ji1 dong4	情绪上受到强烈影响或感动	当她在颁奖典礼上听到自己的名字时，#激动#得热泪盈眶，这是她多年努力终于得到认可的时刻。
激动	ji1 dong4	挑起或搅动强烈情绪，尤指愤怒或不安	那篇充满煽动性的文章在网上迅速传播，#激动#了大批网民的愤怒情绪，引发了激烈的网络骂战。	他的挑衅言论成功#激动#了对方的怒火，原本平静的谈判瞬间变成了激烈的争吵。	反对派领袖在集会上发表演说，试图#激动#民众对政府的不满情绪，号召大家走上街头抗议。	这部纪录片揭露的真相#激动#了公众的义愤，要求彻查此事的呼声越来越高。	谣言在人群中迅速蔓延，#激动#了村民们的恐慌情绪，局面一度失控。	他故意提起那件往事，想要#激动#她的情绪，让她在众人面前失态。	那些不实报道#激动#了球迷的愤怒，他们聚集在俱乐部门口要求管理层给出解释。
激动	ji1 dong4	使人产生兴奋或激励的心理状态	教练赛前的动员讲话#激动#了全队的斗志，队员们个个摩拳擦掌准备迎接挑战。	这个振奋人心的消息#激动#了所有员工的热情，大家干劲十足地投入到新项目中。	老师的鼓励#激动#了他继续追求梦想的勇气，让他重新燃起了对音乐的热爱。	那场精彩的演讲#激动#了在场每一位听众的心，很多人当场决定加入志愿者队伍。	革命先烈的英勇事迹#激动#了一代又一代年轻人投身报国的热情。	获奖的消息#激动#了整个研究团队，大家决定乘胜追击继续攻克下一个难题。	这首激昂的战歌#激动#了战士们的士气，他们高喊着口号冲向敌阵。
联络	lian2 luo4	与某人取得联系	我已经通过各种渠道尝试#联络#他，但他的电话一直处于关机状态，邮件也没有回复。	灾难发生后，救援队立即#联络#当地政府协调救援物资的调配工作。	她托朋友帮忙#联络#那位著名的律师，希望能得到专业的法律咨询。	记者多方#联络#当事人，但对方始终拒绝接受采访，保持沉默态度。	我们需要尽快#联络#供应商，确认这批货物的交付时间是否会受到影响。	他费了很大力气才#联络#上失散多年的亲人，双方约定下周在老家见面。	公司派专人#联络#各大媒体，为新产品发布会做宣传准备工作。
联络	lian2 luo4	与某人建立联络或通信	外交部发言人表示，两国已经建立了有效的沟通机制，可以随时#联络#对方处理突发事务。	他主动#联络#了几位业内专家，邀请他们担任项目的顾问。	销售部门正在积极#联络#潜在客户，推广公司新推出的服务方案。	她通过社交媒体#联络#了许多志同道合的人，组建了一个公益组织。	我们已经#联络#了当地的合作伙伴，初步达成了合作意向。	学校#联络#了多家企业，为毕业生提供实习和就业机会。	他通过校友网络#联络#了在海外工作的学长，咨询出国留学的相关事宜。
联络	lian2 luo4	与某人保持持续联系	虽然毕业多年，我们几个老同学仍然保持#联络#，每年都会聚会一次叙叙旧。	他和海外的家人通过视频通话保持#联络#，每周至少聊一次近况。	公司要求销售人员与重要客户保持密切#联络#，及时了解他们的需求变化。	她和大学时的导师一直保持#联络#，经常请教学术上的问题。	两国领导人同意保持高层#联络#，定期就双边关系和国际问题交换意见。	他和战友们退伍后仍然保持#联络#，那份战场上结下的情谊历久弥坚。	我们部门和总部保持日常#联络#，确保信息传递的及时性和准确性。
联络	lian2 luo4	联络工作或联络人员	她在公司担任#联络#工作，负责协调各部门之间的沟通与合作。	他被任命为两个项目组之间的#联络#，确保双方信息同步和工作衔接。	军方派出#联络#官进驻地方政府，协助处理军民关系事务。	她是我们和客户之间的#联络#，所有的沟通都通过她来进行。	公司在海外设立了#联络#处，方便与当地合作伙伴开展业务往来。	他担任学校和企业之间的#联络#，推动产学研合作项目的落地实施。	大使馆的#联络#人员帮助我们解决了签证方面的问题，服务非常周到。
联络	lian2 luo4	数学上表示的连接关系	在微分几何中，#联络#是描述流形上向量平行移动的基本工具，对理解曲率至关重要。	黎曼几何中的列维-奇维塔#联络#是研究弯曲空间中测地线的核心概念。	这门课程将介绍纤维丛上#联络#的基本理论，为学习规范场论打下基础。	仿射#联络#允许我们在流形上比较不同点的切向量，是现代微分几何的基础概念之一。	物理学家利用#联络#的概念来描述规范场，这在粒子物理标准模型中有重要应用。	教授详细讲解了#联络#与曲率之间的关系，帮助学生理解广义相对论的数学基础。	计算流形上的#联络#系数是解决许多几何问题的第一步，需要扎实的张量分析功底。
