word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
走字	zou3 zi4	仪表或里程表记录数值	这辆二手车的里程表已经#走字#超过二十万公里，但发动机状态依然良好，说明前任车主保养得当。	电表每月#走字#的速度让他感到困惑，明明没怎么用电，数字却涨得飞快，于是他请电力公司来检查。	出租车司机注意到计价器开始#走字#，便礼貌地提醒乘客行程已经开始计费了。	维修师傅检查后发现水表#走字#异常，怀疑是管道某处存在漏水问题，建议尽快排查。	他每天都会记录汽车里程表#走字#的数据，用来计算通勤成本和油耗效率。	燃气表#走字#的频率突然加快，物业提醒居民检查是否有燃气泄漏的安全隐患。				
碎	sui4	被打碎或使成碎块	她不小心把母亲留给她的那只青花瓷碗摔#碎#了，心疼得当场落泪，那是无法替代的传家宝。	工人们用大锤将废弃的混凝土墙#碎#成小块，以便运输车辆能够顺利清运这些建筑垃圾。	地震发生时，书架上的玻璃杯全部震落摔#碎#，满地都是危险的碎片，家人只能穿着鞋子小心行走。	厨师熟练地将整块冰糖敲#碎#，然后放入锅中慢慢熬制成焦糖色，为红烧肉增添诱人的色泽。	孩子们在院子里玩球时不小心把邻居家的窗户打#碎#了，家长连忙上门道歉并承诺赔偿。	这块钢化玻璃虽然标榜坚固耐用，但在极端温差下还是#碎#成了无数细小的颗粒。				
碎	sui4	碎裂的，呈零散碎片状	考古队员小心翼翼地将#碎#陶片逐一编号，希望能够拼凑出这件两千年前器物的原貌。	她把#碎#布头收集起来，打算用拼布技法缝制一条独一无二的百衲被送给即将出生的外孙。	爆炸现场到处散落着#碎#玻璃和扭曲的金属残骸，救援人员正在紧张地搜寻幸存者。	老奶奶将剩下的#碎#面包屑撒在窗台上，每天清晨都有麻雀飞来啄食，成了她晚年的一大乐趣。	装修工人正在清理地上的#碎#瓷砖，准备重新铺设全新的大理石地板。	那本古籍因年代久远，书页已经变得#碎#裂发黄，图书馆决定对其进行专业的修复保护。				
碎	sui4	喋喋不休，爱说话的	邻居王大妈嘴特别#碎#，东家长西家短的，整条街的八卦她都门儿清，大家见了她都绕着走。	他虽然工作能力很强，但就是嘴太#碎#，开会时总爱插嘴，让同事们颇为头疼。	奶奶年纪大了变得越来越#碎#，同样的叮嘱每天要重复好几遍，但孙子们都耐心地听着。	那个导游实在太#碎#了，一路上絮絮叨叨说个不停，游客们都快被他念叨得昏昏欲睡了。	她嫌婆婆嘴#碎#，什么事都要过问，婆媳关系因此变得有些紧张，丈夫夹在中间左右为难。	老张平时沉默寡言，但一喝了酒就变得特别#碎#，能拉着人聊到半夜不带重样的。				
摇滚	yao2 gun3	一种节奏强烈的现代音乐风格	八十年代末，崔健的一首《一无所有》开创了中国#摇滚#乐的先河，影响了整整一代年轻人。	这个周末市中心将举办大型#摇滚#音乐节，届时会有多支国内外知名乐队登台献艺。	他从小就梦想成为#摇滚#歌手，为此苦练吉他十余年，终于组建了自己的乐队。	那家地下酒吧是本地#摇滚#爱好者的聚集地，每周五晚上都有新生代乐队在此演出。	尽管父母希望她学古典钢琴，但她却偏偏爱上了#摇滚#乐，常常戴着耳机沉浸在重金属的世界里。	这位音乐人成功地将传统戏曲元素融入#摇滚#编曲中，创造出独具东方韵味的新音乐风格。				
摇滚	yao2 gun3	使前后或左右猛烈摇晃	狂风大作，小船在波涛中剧烈#摇滚#，船上的乘客们紧紧抓住扶手，脸色苍白。	地震来袭时，整栋大楼开始剧烈#摇滚#，办公室里的人们惊慌失措地躲到桌子底下。	过山车在轨道上高速#摇滚#翻转，游客们发出阵阵尖叫声，既害怕又兴奋。	台风登陆那晚，窗外的大树被狂风吹得剧烈#摇滚#，树枝不断敲打着玻璃窗发出可怕的声响。	婴儿哭闹不止，年轻的父亲轻轻#摇滚#着摇篮，嘴里哼着催眠曲，希望孩子能尽快入睡。	货轮在暴风雨中剧烈#摇滚#，集装箱发出金属碰撞的巨响，船员们都在祈祷能平安度过这场风暴。				
摇滚	yao2 gun3	从高处或支撑物上掉落脱落	那颗熟透的苹果经不住风吹，从枝头#摇滚#下来，正好落在树下乘凉的老人脚边。	年久失修的招牌在大风中摇摇欲坠，最终#摇滚#落地，幸好当时路上没有行人经过。	屋顶上的几片瓦被台风吹得#摇滚#下来，砸坏了停在院子里的自行车。	那串风铃挂得不牢固，被一阵穿堂风吹得#摇滚#掉落，在地上摔成了碎片。	登山者脚下的碎石开始松动#摇滚#，他赶紧抓住旁边的岩壁，惊出一身冷汗。	老旧吊灯的螺丝松动了，灯罩在震动中#摇滚#脱落，幸亏下面没有人，否则后果不堪设想。				
路口	lu4 kou3	道路交叉处	他们约定在学校门口那个#路口#见面，那里有一棵百年老槐树，非常好认。							
路口	lu4 kou3	多条道路汇合的十字路口	这个繁忙的#路口#每天车流量超过十万辆，交通部门计划在此修建立交桥以缓解拥堵。	她站在#路口#等红灯时，看到一位老人摔倒在斑马线上，立刻跑过去将他扶起。	导航提示前方五百米的#路口#右转，但司机一时走神错过了，只好绕了一大圈才回到正确路线。	那个#路口#因为没有安装红绿灯，经常发生交通事故，居民们多次向有关部门反映情况。	外卖小哥骑着电动车在#路口#左顾右盼，确认没有来车后才快速穿过马路继续送餐。	城市规划者决定在这个#路口#增设地下通道，方便行人安全过街，减少人车冲突。				
避	bi4	回避或不接近某人或事	自从那次激烈的争吵之后，他们俩在公司里总是刻意#避#开对方，连眼神接触都尽量回避。	她一直#避#而不谈自己的家庭背景，同事们也都很识趣，从不主动追问这个敏感话题。	为了#避#开早高峰的拥堵，他每天提前一个小时出门，宁可早到公司也不愿堵在路上。	记者会上，发言人巧妙地#避#开了那个尖锐的问题，转而谈起了公司未来的发展规划。	他选择#避#居乡下，远离城市的喧嚣和复杂的人际关系，过起了田园牧歌式的生活。	古人云"君子不立于危墙之下"，意思是聪明人应该主动#避#开可能发生危险的地方。				
