word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
弄	nong4	愚弄或戏弄他人	他总是喜欢#弄#人，把同事的东西藏起来看他们着急的样子，大家都对他这种幼稚行为感到厌烦。	那个骗子用花言巧语#弄#了老人家整整三年，骗走了她所有的积蓄，最终被警方抓获归案。	小时候哥哥经常#弄#我，故意说一些吓人的鬼故事让我晚上不敢睡觉，现在想起来还觉得好笑。	他以为自己很聪明可以#弄#住所有人，殊不知大家早就看穿了他的把戏，只是不想揭穿罢了。	这个魔术师最擅长#弄#观众，让他们相信不可能的事情正在眼前发生，每场演出都座无虚席。	村里那个二流子整天游手好闲，专门#弄#老实人取乐，村民们都对他避而远之。	她发现男友一直在#弄#她，所谓的出差不过是去见前女友，这让她心寒不已决定分手。	网络上有些人专门#弄#不懂技术的老年人，发送虚假中奖信息骗取他们的银行卡密码。				
弄	nong4	弄乱或搅扰原有状态	孩子们在客厅里玩耍，把我刚整理好的书架#弄#得乱七八糟，到处都是散落的书本和玩具。	他不小心把咖啡洒在了文件上，把整份报告都#弄#湿了，只好连夜重新打印一份。	装修工人进进出出，把原本干净整洁的房间#弄#得尘土飞扬，我们不得不暂时搬到酒店住。	小猫跳上餐桌，把摆放整齐的餐具#弄#得东倒西歪，还打翻了一杯牛奶流了一地。	他在厨房里忙活了一下午，虽然做出了一桌好菜，却把厨房#弄#得像战场一样狼藉不堪。	那场突如其来的暴风雨把我们精心布置的户外婚礼现场#弄#得一片狼藉，宾客们只好转移到室内。	弟弟翻箱倒柜找他的游戏机，把整个房间都#弄#翻了，最后发现游戏机就在书包里。	施工队在路边挖管道，把原本平整的人行道#弄#得坑坑洼洼，行人只能绕道而行。				
弄	nong4	修理或调整使之正常	他花了整整一个下午才把那台老旧的收音机#弄#好，现在终于又能收听节目了。	邻居王叔叔是个热心人，主动帮我把漏水的水龙头#弄#好了，还不肯收我的谢礼。	电脑突然死机了，技术部的小李过来捣鼓了半天，终于把系统#弄#正常了。	爷爷年轻时是个能工巧匠，什么坏了的东西到他手里都能#弄#好，村里人都找他帮忙修理。	自行车链条掉了，我在路边折腾了好久才把它#弄#回去，弄得满手都是油污。	空调不制冷了，维修师傅上门检查后说只是缺氟，很快就#弄#好了，收费也很合理。	他对机械很有天赋，再复杂的故障到他手里都能#弄#好，厂里的设备都靠他维护。	手表走时不准，我拿到钟表店让师傅帮忙#弄#了一下，现在走得非常准确。				
弄	nong4	随意玩弄不认真对待	他只是在#弄#那个项目，根本没有认真投入，所以进展一直很缓慢，领导对此非常不满。	她发现男友只是在#弄#这段感情，从来没有想过要认真负责，于是果断提出了分手。	老板批评他工作态度不端正，整天#弄#手机不专心干活，再这样下去就要被辞退了。	他上课时总是心不在焉地#弄#笔，根本没有听老师讲课，期末考试成绩自然一塌糊涂。	投资人发现创始人只是在#弄#这个创业项目，并没有全身心投入，于是决定撤回资金。	她对这份工作毫无热情，每天只是敷衍了事地#弄#一下，同事们都看不下去了。	他学吉他三天打鱼两天晒网，只是随便#弄#弄，所以学了两年还是只会几个简单的和弦。	领导说他做事不够专注，总是这里#弄#弄那里#弄#弄，没有一件事情能够做到位。				
物	wu4	事物或物体	博物馆里陈列着各种珍贵的历史文#物#，每一件都承载着厚重的历史记忆和文化价值。	科学家们发现了一种新的矿#物#，它具有独特的晶体结构，可能在新能源领域有重要应用。	这家超市的货#物#种类齐全，从日常用品到进口食品应有尽有，深受周边居民的喜爱。	搬家公司的工人小心翼翼地搬运着贵重#物#品，生怕磕碰到客户珍藏多年的古董家具。	海关工作人员仔细检查入境旅客的行李，查获了多件违禁#物#品并依法进行了处理。	实验室里摆满了各种化学药#物#和精密仪器，研究人员正在进行一项重要的新药研发实验。	这座古墓出土了大量青铜器#物#，为研究商周时期的冶金技术提供了珍贵的实物资料。	快递员每天要派送上百件#物#品，风雨无阻地穿梭在城市的大街小巷。				
物	wu4	文言中指外界或他人	古人云"格#物#致知"，意思是通过研究外界事物来获得知识，这是儒家认识论的核心观点。	庄子主张"#物#我两忘"，认为人应该超越自我与外界的对立，达到天人合一的境界。	他修行多年，已经达到了"不以#物#喜，不以己悲"的境界，对世间荣辱得失看得很淡。	佛家讲究"心外无#物#"，认为外界的一切都是心识的投射，万法唯心所造。	范仲淹在《岳阳楼记》中写道"不以#物#喜，不以己悲"，表达了超然物外的人生态度。	道家思想强调"与#物#为春"，主张人应该与外界万物和谐相处，顺应自然规律。	王阳明的心学认为"心外无#物#"，一切外在事物的意义都来源于人心的赋予。	古代文人追求"待#物#以诚"的处世之道，认为真诚对待他人是君子的基本修养。				
信仰	xin4 yang3	信奉宗教或接受宗教教义	她从小跟随父母#信仰#基督教，每个周日都会去教堂参加礼拜，从未间断。	这个村庄的居民世代#信仰#藏传佛教，寺庙是他们精神生活的中心，香火终年不断。	他在人生低谷时开始#信仰#伊斯兰教，每天按时祷告，从中获得了内心的平静和力量。	虽然她#信仰#天主教，但她尊重丈夫的无神论立场，两人在宗教问题上互相包容。	这座古老的寺庙见证了当地居民#信仰#佛教的悠久历史，至今仍有众多信徒前来朝拜。	他年轻时是坚定的无神论者，但经历了一场大病后开始#信仰#道教，常去道观修行。	在这个多元文化的社区里，有人#信仰#印度教，有人#信仰#犹太教，大家和睦相处。	她虔诚地#信仰#东正教，家中供奉着圣像，每天早晚都要进行祈祷仪式。				
信仰	xin4 yang3	坚定的信念或信条	他一生坚守共产主义#信仰#，即使在最艰难的岁月里也从未动摇过自己的理想。	科学是她毕生的#信仰#，她相信通过理性和实证可以揭示宇宙的奥秘，推动人类进步。	民主与自由是他不可动摇的#信仰#，为此他不惜放弃优渥的生活投身社会运动。	这位老革命家把为人民服务作为自己的#信仰#，一辈子都在为改善民众生活而奔波。	她把环保主义当作自己的#信仰#，身体力行地推广可持续生活方式，影响了身边很多人。	他的#信仰#很简单，就是相信知识可以改变命运，所以他资助了上百名贫困学生完成学业。	和平主义是他坚定的#信仰#，他反对一切形式的暴力，致力于通过对话解决国际争端。	她把诚信作为自己的人生#信仰#，宁可吃亏也绝不欺骗他人，在业界赢得了极高的声誉。				
信仰	xin4 yang3	深信不疑的观念或信服力	他的演讲充满了#信仰#的力量，让在场的每一个人都深受感染，纷纷起立鼓掌。	这部纪录片展现了那些为理想献身的人们，他们眼中闪烁的#信仰#之光令人动容。	她的话语中带着一种不容置疑的#信仰#，让原本犹豫不决的团队成员坚定了信心。	革命先烈们凭借坚定的#信仰#，在极其艰苦的条件下坚持斗争，最终迎来了胜利。	他用自己的行动诠释了什么是#信仰#的力量，即使身陷囹圄也从未放弃对真理的追求。	这位企业家的成功源于他对创新的#信仰#，他坚信科技可以让世界变得更美好。	她的眼神中透露出一种坚定的#信仰#，那是经历过无数挫折后依然不屈的意志。	老师的话在他心中种下了#信仰#的种子，让他相信只要努力就一定能够实现梦想。				
生存	sheng1 cun2	存在	这种古老的物种已经在地球上#生存#了数亿年，见证了无数次物种大灭绝事件。	在如此恶劣的环境下，这些微生物依然能够#生存#下来，展现了生命的顽强。	这家百年老店能够#生存#至今，靠的是对品质的坚守和对顾客的真诚服务。	科学家们正在研究火星上是否曾经#生存#过生命，这将是人类探索宇宙的重大突破。	这种濒危动物目前仅在少数保护区内#生存#，野外种群数量不足一百只。	传统手工艺在现代社会中艰难#生存#，许多老艺人担心这些技艺会失传。	深海热泉口附近#生存#着许多奇特的生物，它们不依赖阳光，靠化学能维持生命。	这个古老的民族在历史的风雨中顽强#生存#下来，保留了独特的语言和文化传统。				
