word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
家	jia1	居所或住处	下班后他总是第一时间赶回#家#，因为妻子做的饭菜总是那么可口，让他无比期待。	她在北京租了一间小公寓，虽然面积不大，但布置得温馨舒适，终于有了属于自己的#家#。	台风过后，许多居民发现自己的#家#已经被洪水淹没，只能暂时住在政府安排的临时安置点。	他离开故乡二十年了，每次梦到小时候住过的那个#家#，总会在半夜醒来泪流满面。	这栋老房子是爷爷留下来的，虽然有些破旧，但对我们来说，这里永远是最温暖的#家#。	她独自一人在异国他乡打拼多年，最大的愿望就是能攒够钱回国买一套房子，有一个真正属于自己的#家#。	地震发生后，救援队员们冒着余震的危险，帮助受灾群众从倒塌的#家#中抢救出贵重物品和重要证件。	他每天早出晚归，在外面忙碌一整天，只有回到#家#里，看到熟悉的摆设和温暖的灯光，才能真正放松下来。	这个流浪汉在桥洞下搭了一个简陋的棚子，用捡来的纸板和塑料布围成了一个勉强可以遮风挡雨的#家#。
家	jia1	由亲属组成的家庭单位	他们#家#三代同堂，每逢春节，老老少少二十多口人聚在一起，热闹非凡。	她出生在一个书香门第，#家#里的长辈都是知识分子，从小就受到良好的教育熏陶。	这场突如其来的变故让整个#家#陷入了困境，但家人们相互扶持，终于渡过了难关。	他们#家#的家风非常严格，孩子们从小就被教导要诚实守信、尊老爱幼。	自从父亲去世后，母亲一个人撑起了整个#家#，含辛茹苦地把三个孩子抚养成人。	在那个动荡的年代，他们#家#被迫分散各地，直到三十年后才得以团聚。	她嫁入这个#家#已经十年了，和公婆相处融洽，邻居们都夸她是个好媳妇。	这个#家#虽然经济条件不富裕，但家庭成员之间感情深厚，充满了欢声笑语。	他是#家#里的独子，父母对他寄予厚望，希望他能考上名牌大学光宗耀祖。
家	jia1	用于礼貌称呼的'我的'	#家#父年事已高，行动不便，所以这次聚会就由我代为出席，还请各位见谅。	#家#母虽然没有读过多少书，但她用朴素的道理教会了我做人的基本准则。	#家#兄在政府部门工作多年，一直兢兢业业，从不利用职务之便谋取私利。	承蒙您的关照，#家#姐的病情已经大有好转，全家人都非常感激您的帮助。	#家#弟今年刚从大学毕业，正在找工作，如果贵公司有合适的岗位，还望多多关照。	这幅字画是#家#祖父年轻时所作，虽然算不上名家之作，但对我们家族来说意义非凡。	#家#叔在乡下务农一辈子，虽然生活清贫，但为人正直善良，深受乡邻敬重。	#家#舅早年经商，后来转行做了教师，如今已经桃李满天下，学生遍布各行各业。	#家#嫂贤惠能干，把家里打理得井井有条，让兄长能够安心在外打拼事业。
家	jia1	用于计算家庭或商号的量词	这条老街上有十几#家#百年老店，每一#家#都有自己独特的招牌和故事。	政府的扶贫政策惠及了村里三十多#家#贫困户，帮助他们走上了脱贫致富的道路。	这个小区住着两百多#家#住户，物业管理公司每年都会组织各种社区活动增进邻里感情。	他考察了五#家#供应商之后，最终选择了一#家#价格合理、质量可靠的合作伙伴。	这次食品安全检查中，有三#家#餐厅因为卫生不达标被责令停业整顿。	整个商业街只剩下几#家#店铺还在营业，其他的都因为租金太高而关门歇业了。	她走访了附近六#家#房产中介，比较了各种房源信息后，才最终确定了要租的公寓。	这个工业园区聚集了上百#家#高科技企业，形成了完整的产业链和创新生态系统。	村子里原本有五十多#家#人，这些年年轻人都外出打工了，现在常住的只剩下十几#家#老人。
家	jia1	先秦诸子的学派	儒#家#思想强调仁义礼智信，对中国传统文化的形成和发展产生了深远的影响。	道#家#主张顺应自然、无为而治，这种哲学思想在现代社会依然具有重要的启示意义。	法#家#代表人物韩非子提出的法治理念，为秦国统一六国奠定了重要的思想基础。	墨#家#倡导兼爱非攻，反对战争和奢侈浪费，在先秦时期曾与儒家并称显学。	兵#家#的代表作《孙子兵法》至今仍被世界各国的军事院校列为必读经典。	名#家#善于辩论，提出了许多看似荒谬却富有哲理的命题，如"白马非马"等。	阴阳#家#将宇宙万物归纳为阴阳五行的变化，对中医理论的形成产生了重要影响。	纵横#家#以苏秦、张仪为代表，他们凭借三寸不烂之舌，在战国时期的外交舞台上纵横捭阖。	杂#家#博采众长，试图融合各派学说的精华，代表作《吕氏春秋》就是这种思想的集中体现。
家	jia1	表示专门从事者的词尾	这位著名的科学#家#一生致力于基础物理研究，为人类认识宇宙做出了卓越贡献。	她是一位享誉国际的钢琴#家#，曾在世界各大音乐厅举办过数百场独奏音乐会。	作为一名资深的经济学#家#，他对当前的通货膨胀问题提出了独到的见解和解决方案。	这位革命#家#年轻时就投身于民族解放运动，为国家的独立和人民的自由奋斗了一生。	他是当代最具影响力的思想#家#之一，他的著作被翻译成几十种语言在全球发行。	这位企业#家#白手起家，经过三十年的艰苦创业，终于建立起了自己的商业帝国。	作为一名历史学#家#，她花了二十年时间研究这段被遗忘的历史，终于还原了事件的真相。	这位年轻的发明#家#已经拥有了五十多项专利，被业界誉为最具创新精神的技术天才。	他不仅是一位杰出的文学#家#，还是一位积极参与社会事务的公共知识分子。
城市	cheng2 shi4	城市或城镇	随着经济的快速发展，这座曾经默默无闻的小镇已经发展成为一个现代化的#城市#，高楼大厦鳞次栉比。	他从偏远的农村来到繁华的#城市#打工，面对陌生的环境和激烈的竞争，感到既兴奋又迷茫。	这座#城市#的交通拥堵问题日益严重，市政府正在考虑修建更多的地铁线路来缓解压力。	她热爱这座生活了二十年的#城市#，这里的每一条街道、每一个角落都承载着她美好的回忆。
太	tai4	最高的	#太#祖皇帝开创了这个王朝的基业，其文治武功被后世史家称颂了数百年。	在中国古代的官职体系中，#太#师、#太#傅、#太#保并称三公，是地位最尊崇的荣誉官职。	#太#上皇虽然已经退位，但在重大国事上仍然拥有相当的影响力和话语权。	这座道观供奉的是#太#上老君，每逢初一十五都有大批信众前来烧香祈福。	#太#庙是皇帝祭祀祖先的地方，其建筑规格和礼仪规制都有严格的等级要求。	古人认为#太#极是宇宙万物的本源，阴阳二气由此分化，进而生成天地万物。	#太#后临朝听政多年，在她的治理下，国家政治清明，百姓安居乐业。	皇帝驾崩后，年幼的太子继位，由#太#皇太后垂帘听政，主持朝廷大局。	#太#学是古代的最高学府，能够进入#太#学读书的都是各地选拔出来的优秀人才。
太	tai4	程度或规模最大的	#太#平洋是世界上面积最大的海洋，其广袤的水域占据了地球表面的三分之一。	这场战争的规模之大、影响之深远，堪称人类历史上的#太#浩劫，数千万人因此丧生。	他的野心#太#大了，不仅想要控制整个行业，还妄图垄断上下游的所有资源。	这个项目的投资规模#太#大，涉及的资金高达数百亿，需要多家银行联合提供贷款。	她对这件事的反应#太#强烈了，完全超出了所有人的预期，让在场的人都感到震惊。	这次自然灾害造成的损失#太#惨重了，整个地区的基础设施几乎被完全摧毁。	他在学术界的影响力#太#大了，几乎每一篇重要论文的发表都会引起广泛的讨论和关注。	这家公司的业务范围#太#广了，从电子产品到金融服务，几乎涵盖了所有主要行业。	这个计划的目标#太#宏大了，即使投入全部资源，也需要至少二十年才能完成。
太	tai4	过分超过适度	这道菜放的盐#太#多了，咸得几乎没法入口，下次做的时候一定要注意控制用量。	他对孩子的要求#太#严格了，每天除了学习还是学习，完全剥夺了孩子玩耍的时间。	这件衣服的价格#太#贵了，虽然款式很好看，但实在超出了我的预算范围。	她说话#太#直接了，虽然没有恶意，但经常在无意中得罪人，让朋友们都有些受不了。	这个方案考虑得#太#简单了，完全没有预见到执行过程中可能遇到的各种困难和阻碍。	他工作起来#太#拼命了，经常加班到深夜，长此以往身体肯定会出问题的。	这部电影的节奏#太#慢了，看了半个小时还没有进入正题，很多观众中途就离场了。	她对这件事#太#在意了，其实只是一个小误会，根本不值得为此生气好几天。	这个房间的装修风格#太#花哨了，各种颜色和图案混在一起，看着让人眼花缭乱。
