word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
反映	fan3 ying4	向有关方面报告情况	居民们多次向物业#反映#小区停车位不足的问题，但始终没有得到有效解决。	家长们联名向教育局#反映#学校乱收费的情况，要求相关部门介入调查。	他鼓起勇气向上级#反映#了车间存在的安全隐患，领导当天就派人来检查整改。						
反映	fan3 ying4	使某事为人所知或公布	这篇报道#反映#了偏远山区儿童上学难的困境，引起了社会各界的广泛关注。	记者深入基层采访，将农民工讨薪难的真实遭遇#反映#给了公众。	她通过社交媒体#反映#了社区垃圾分类执行不力的现状，帖子迅速获得大量转发。	这部小说以细腻的笔触#反映#了上世纪三十年代上海底层市民的生存状态。	纪录片导演用镜头真实地#反映#了非洲难民营中令人心碎的生活场景。	志愿者们通过拍摄短视频，将留守儿童的生活状况#反映#给了更多爱心人士。	代表委员在两会上积极#反映#基层群众关心的医疗、教育和住房等民生问题。	这份调研报告客观地#反映#了中小企业在融资方面面临的种种困难和挑战。			
反映	fan3 ying4	将事物用某种方式表现出来	这幅油画用浓烈的色彩#反映#出画家内心深处的孤独与挣扎。	统计图表直观地#反映#出近十年来全球气温持续上升的趋势。								
接	jie1	接收物品、信息或消息并予以收下保存	快递员按了门铃，她下楼去#接#了一个从老家寄来的包裹，里面装满了家乡特产。	他在机场的行李转盘旁等了半天，终于#接#到了自己那个贴着红色标签的行李箱。	秘书每天早上第一件事就是#接#收各部门发来的邮件，分类整理后转交给经理。	前台的工作人员#接#过客户递来的文件，仔细核对信息后盖章确认。	她伸手#接#过同事递来的咖啡，道了声谢便继续埋头处理手上的报表。	邮局的工作人员#接#到这封从海外寄来的挂号信后，立即通知收件人前来领取。	仓库管理员仔细清点数量后才#接#收了这批从供应商运来的原材料。	他#接#到录取通知书的那一刻激动得热泪盈眶，多年的努力终于有了回报。			
接	jie1	支起电话并对来电进行接听和应答的动作	她正在开会，手机响了好几次都没来得及#接#，会后才发现是医院打来的。	他刚#接#起电话就听到对方焦急的声音，原来是客户在催促交货。	深夜两点电话突然响了，他迷迷糊糊地#接#起来，是值班室报告设备故障。	前台小姐每天要#接#上百个电话，嗓子经常哑得说不出话来。	老板正在和重要客户谈判，吩咐秘书这段时间所有电话都不要#接#。	她看到来电显示是陌生号码，犹豫了一下还是#接#了，没想到是多年未联系的老同学。	客服人员必须在铃响三声之内#接#起电话，这是公司的服务规范。	他一边开车一边#接#电话被交警拦下，当场被罚款并扣分。			
接	jie1	迎接来人并进行招待、接待或迎候的行为	全家人一大早就赶到火车站去#接#从外地回来过年的爷爷奶奶。	公司派了一辆商务车去机场#接#远道而来的外国合作伙伴。	她每天下午四点准时到学校门口#接#孩子放学，风雨无阻从未缺席。	酒店大堂经理亲自到门口#接#贵宾，并引导他们前往总统套房。	他出差回来，妻子特意做了一桌好菜#接#他，让他感到无比温暖。	村民们敲锣打鼓到村口#接#凯旋归来的奥运冠军，整个村子都沸腾了。	导游举着小旗在出站口#接#旅行团的游客，清点人数后带大家上了大巴。	外交部长亲自到机场#接#来访的国家元首，双方在停机坪上握手合影。			
接	jie1	把两部分连通或使线路、设备相互接通运行	电工师傅正在把新拉的电线#接#到配电箱上，确保整栋楼的供电恢复正常。	水管工花了一个下午才把厨房的水管#接#好，终于不再漏水了。	他小心翼翼地把断裂的网线重新#接#上，电脑终于恢复了网络连接。	工人们正在施工现场将两段铁轨精确地#接#在一起，误差不能超过一毫米。	技术人员把光纤#接#入每户居民家中，整个小区终于实现了高速宽带覆盖。	她按照说明书的指示，将音响设备的各种线缆依次#接#好，调试后音质非常清晰。	消防员迅速将几段水带#接#起来，从消防栓引水扑灭了仓库的大火。	装修工人把新买的灯具#接#上电源线，打开开关后整个房间顿时亮堂起来。			
接	jie1	抓住掉落或被抛的物品以防止其落地受损	守门员飞身跃起，稳稳地#接#住了对方前锋射出的那记势大力沉的远射。	她不小心碰掉了桌上的花瓶，幸好他眼疾手快一把#接#住了，才没有摔碎。	杂技演员从高空翻转落下，搭档精准地#接#住了他，观众爆发出热烈的掌声。	孩子从滑梯上飞快地滑下来，爸爸张开双臂在底部稳稳地#接#住了他。	他把钥匙从三楼窗户扔下去，楼下的朋友伸手一#接#，稳稳当当地抓在手里。	篮球运动员跳起来#接#住了队友的长传球，转身上篮一气呵成得了两分。	服务员端着满满一托盘酒杯，一个杯子滑落时她敏捷地用另一只手#接#住了。	建筑工地上，工人在脚手架上把砖块往下扔，下面的人用筐子#接#住后搬运到指定位置。			

接	jie1	把事物连接联结在一起或加入某一群体	裁缝把两块布料#接#在一起，缝合处的针脚细密均匀，几乎看不出痕迹。	这条公路将在明年完工，届时会与高速公路#接#上，大大缩短通行时间。	他用胶水把断成两截的筷子#接#了起来，虽然能用但总觉得不太顺手。	新修的地铁线路将与现有的三号线#接#通，届时换乘将更加便捷。	工人们把一根根竹竿#接#成长长的竹竿，用来搭建临时的晾晒架。	两家公司决定将各自的物流网络#接#合起来，实现资源共享降低运营成本。	她把编好的几段毛线#接#起来继续织围巾，争取在冬天来临前完工。	桥梁工程师设计了一座跨海大桥，将两座相隔数十公里的岛屿#接#连起来。			
接	jie1	伸出手足或器械以延长范围进行伸展动作	他踮起脚尖伸长手臂去#接#挂在高处树枝上的风筝，差一点就够到了。	消防员用云梯车升到六楼高度，#接#出水枪对准着火点进行喷射。	她站在凳子上#接#着够书架最顶层的那本词典，身体晃了晃差点摔下来。	工人用长杆#接#上刷子，站在地面就能粉刷三层楼高的外墙。	他把钓竿#接#出去好几米长，鱼线远远地甩到了湖心的位置。	果农用长竹竿#接#上网兜，轻松地把树梢上的柿子摘了下来。	摄影师在镜头前#接#上一个长焦附件，这样就能拍到远处山顶上的雪景了。	孩子们把几根吸管#接#在一起做成超长吸管，比赛谁能从最远的距离喝到饮料。			
