word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
移动	yi2 dong4	便于携带的轻便性质	这款#移动#电源体积小巧，放在口袋里就能随身携带，非常适合经常出差的商务人士。	随着#移动#互联网的普及，人们越来越习惯用手机处理日常事务，从购物到办公无所不能。	公司新推出的#移动#办公平台让员工在家也能高效完成工作，大大提升了团队的灵活性。	这台#移动#打印机重量不到两公斤，设计师带着它去客户现场就能直接打印方案。	#移动#支付已经深入中国人的日常生活，连街边卖煎饼的大爷都挂上了二维码。	军队配备了最新型的#移动#雷达系统，可以在野外快速部署并投入使用。	图书馆引进了一批#移动#书架，可以根据需要灵活调整馆内的空间布局。	医院购置了几台#移动#超声设备，方便医生到病房为行动不便的患者做检查。			
最佳	zui4 jia1	最合适或最理想的选择	经过反复比较，专家认为这个方案是解决当前交通拥堵问题的#最佳#选择。	医生根据患者的身体状况，制定了一套#最佳#治疗方案，力求将副作用降到最低。	旅行社推荐的这条路线是游览桂林山水的#最佳#选择，既省时又能看到最美的风景。	对于这道数学难题，老师给出了三种解法，其中第二种被公认为#最佳#解法。	营养师建议每天早上七点到八点之间是吃早餐的#最佳#时间，有利于肠胃健康。	投资顾问分析了市场走势后，认为现在是入手这只股票的#最佳#时机。	这款软件的#最佳#配置要求是八核处理器加十六G内存，才能流畅运行所有功能。	园艺专家指出，春季三月是种植月季花的#最佳#季节，成活率最高。			
最佳	zui4 jia1	在特定条件下效果最佳的方案	工程师经过上百次模拟测试，终于找到了在高温环境下设备运行的#最佳#参数。	在有限的预算条件下，设计团队提出了性价比#最佳#的装修方案，客户非常满意。	研究人员通过大量实验确定了这种催化剂在常温常压下的#最佳#反应浓度。	教练根据每位运动员的体能特点，为他们量身定制了#最佳#训练计划。	农业专家针对当地的土壤和气候条件，推荐了产量#最佳#的水稻品种。	这款发动机在转速三千到四千之间能达到#最佳#燃油效率，既省油又动力充沛。	厨师长反复调试火候和调料比例，终于找到了这道菜的#最佳#烹饪方法。	程序员优化了算法的核心逻辑，使系统在高并发场景下达到了#最佳#响应速度。			
最佳	zui4 jia1	达到顶峰或最佳水平的状态	这位网球选手目前正处于职业生涯的#最佳#状态，连续赢得了三项大满贯赛事。	经过半年的系统训练，他的体能恢复到了#最佳#水平，准备迎接即将到来的马拉松比赛。	这家百年老店在新掌门人的带领下焕发了新生，经营业绩达到了历史#最佳#水平。	乐团在指挥家的调教下配合默契，演出当晚的表现堪称#最佳#状态。	运动员通常会在二十五到三十岁之间达到竞技#最佳#状态，之后体能会逐渐下滑。	这台老式收音机经过师傅的精心修复，音质恢复到了出厂时的#最佳#水平。	股市在政策利好的刺激下强势反弹，多项指标创下近五年来的#最佳#表现。	她调整了作息和饮食习惯后，皮肤状态恢复到了#最佳#，气色好了很多。			
最佳	zui4 jia1	在某一领域或比赛中最优秀的个人或作品	这部电影一举拿下了金鸡奖#最佳#影片和#最佳#导演两项大奖，成为年度最大赢家。	她凭借在这部话剧中的精彩表演，毫无悬念地获得了本届戏剧节#最佳#女演员奖。	联赛结束后，评委一致推选这位年轻前锋为本赛季的#最佳#球员。	这篇报道因其深入的调查和客观的分析，被评为年度#最佳#新闻作品。	公司年会上，他因为出色的业绩表现被评选为年度#最佳#员工，获得了丰厚的奖金。	这款手机在权威评测机构的测试中脱颖而出，被评为今年的#最佳#拍照手机。	她设计的这座桥梁获得了国际建筑协会颁发的年度#最佳#工程设计奖。	这位年轻作家的处女作一经出版便好评如潮，入围了多个文学奖的#最佳#小说提名。			
除	chu2	去掉或清除不需要的东西	春节前家家户户都要大扫除，把一年积攒的灰尘和杂物彻底#除#干净。	园丁每天早上都要到花园里#除#草，防止杂草抢夺花卉的养分和阳光。	这款新型洗衣液不仅能有效#除#渍，还能让衣物保持持久的清香。	医生建议用专业的药膏来#除#疤，坚持涂抹三个月就能看到明显效果。	工人们正在用高压水枪#除#锈，为桥梁的重新涂装做准备工作。	她买了一台空气净化器，专门用来#除#甲醛，保护家人的呼吸健康。	农民在播种前要先翻地#除#虫，确保庄稼不会受到病虫害的侵扰。	物业公司每年夏天都会安排专人在小区里喷药#除#蚊，减少蚊虫叮咬。			
除	chu2	把物体从原处移开或搬走	搬家公司的工人们花了一整天时间才把客厅里那台笨重的老式钢琴#除#走。	施工队用大型机械将挡在路中间的巨石#除#开，恢复了道路的正常通行。	装修师傅小心翼翼地把墙上的旧瓷砖一块块#除#下来，准备铺设新的墙面材料。	环卫工人冒着严寒，连夜将路面上的积雪#除#净，确保第二天市民出行安全。	他们决定把院子里那棵枯死的老树#除#掉，腾出空间种植新的果树。	维修人员将损坏的零件从机器上#除#下，换上了全新的配件。	志愿者们齐心协力，把河道里堆积的垃圾和淤泥全部#除#清。	拆迁队按照规划要求，将这片区域的违章建筑逐一#除#去。			
除	chu2	把某人或某事排斥在外	公司决定将不符合资质要求的供应商从合作名单中#除#名，以保证产品质量。	学校将严重违反校规的学生#除#名处理，以维护正常的教学秩序。	他因为多次无故缺席训练，被教练从参赛名单中#除#去。	组委会经过审核，将不符合参赛条件的选手从报名名单中#除#掉。	法院依法将这家企业从政府采购的合格供应商名录中#除#名。	协会理事会投票决定，将违反行业规范的会员单位#除#名。	由于资金链断裂，这家公司被证券交易所从上市公司名单中#除#名。	审计部门发现账目异常后，立即将涉事人员从项目组中#除#去。			
除	chu2	消灭或杜绝不良事物	政府下定决心要#除#恶务尽，绝不让黑恶势力在这片土地上继续为非作歹。	这位新上任的局长铁腕反腐，誓要将系统内的贪腐现象彻底#除#根。	古代的侠客行走江湖，以#除#暴安良为己任，深受百姓爱戴。	村民们联合起来，终于将祸害乡里多年的盗猎团伙#除#掉了。	医疗团队经过艰苦努力，终于将这种传染病从该地区彻底#除#灭。	扫黑除恶专项行动开展以来，公安机关成功#除#掉了多个犯罪团伙。	历史上许多改革家都以#除#弊兴利为目标，推动社会进步和发展。	这位将军率领大军南征北战，立志要#除#尽入侵的外敌，保卫国家安宁。			
除	chu2	彻底抹去或使完全消失	岁月的流逝也无法#除#去她心中对故乡的深深眷恋和思念。	这场大火几乎将村庄的一切痕迹#除#得干干净净，只剩下断壁残垣。	他试图#除#去脑海中那段痛苦的记忆，但那些画面总是在深夜不请自来。	暴风雨过后，海浪将沙滩上所有的脚印#除#得一干二净，恢复了原来的平整。	新政府上台后，下令将前朝留下的一切标志和痕迹全部#除#去。	时间可以#除#去很多伤痛，但有些刻骨铭心的经历却永远无法忘怀。	工匠用特殊的溶剂将古画上多年积累的污渍小心翼翼地#除#去，露出了原本鲜艳的色彩。	这款软件可以帮你#除#去照片中多余的路人和杂物，让画面更加干净整洁。			
