word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
嘛	ma2	口语中表示"什么"的疑问词	你在看#嘛#？怎么盯着手机屏幕看了半天都不说话。	他问我在想#嘛#，我说没什么，只是有点累了。	你们在讨论#嘛#？能不能让我也参与一下？	她好奇地问道："你手里拿的是#嘛#？看起来很有趣的样子。"	老板突然问他在忙#嘛#，他一时语塞，不知道该怎么回答。	妈妈看到他鬼鬼祟祟的样子，问他在搞#嘛#名堂。	你刚才说#嘛#？声音太小了，我没听清楚。	她问我晚饭想吃#嘛#，我说随便，什么都可以。			
嘛	ma5	表示明显或理所当然的语气助词	这道题很简单#嘛#，你再仔细想想就能做出来了。	他是专业运动员#嘛#，体能当然比普通人好很多。	大家都是朋友#嘛#，有什么话直说就好，不用客气。	这种事情很正常#嘛#，谁年轻的时候没犯过错呢。	你是老板#嘛#，当然要承担更多的责任。	天气这么热#嘛#，开空调是理所当然的事情。	孩子还小#嘛#，不懂事是可以理解的，慢慢教就好了。	他是你哥哥#嘛#，照顾你是应该的，不用太过意不去。			
嘛	ma5	表示停顿以强调的语气助词	这件事#嘛#，说起来话就长了，我们找个时间慢慢聊。	至于结果#嘛#，现在还不好说，要等进一步的消息。	他这个人#嘛#，优点和缺点都很明显，就看你怎么看了。	关于这个问题#嘛#，我觉得还需要再考虑考虑。	那个方案#嘛#，理论上是可行的，但实际操作起来可能会有困难。	要说他的厨艺#嘛#，在我们朋友圈里绝对是数一数二的。	这次旅行#嘛#，总体来说还是很愉快的，就是有点累。	她的性格#嘛#，有时候确实让人捉摸不透，但心地是善良的。			
国务院	Guo2 wu4 yuan4	国家最高行政机关	#国务院#今天召开常务会议，研究部署了一系列稳经济的政策措施。	根据#国务院#发布的最新规定，企业可以享受更多的税收优惠。	#国务院#总理在记者会上回答了中外记者的提问。	这项改革方案已经获得#国务院#批准，将于下月开始实施。	#国务院#各部委正在积极落实中央的决策部署。	他曾在#国务院#工作多年，对政策制定过程非常熟悉。	#国务院#新闻办公室举行了新闻发布会，介绍了最新的经济数据。	这份文件是#国务院#直接下发的，各地必须认真贯彻执行。			
国务院	Guo2 wu4 yuan4	美国负责外交事务的政府部门	美国#国务院#发言人在例行记者会上就此事发表了声明。	#国务院#已经向该国发出了旅行警告，建议美国公民暂时不要前往。	他曾在美国#国务院#担任高级外交官，参与过多次重要谈判。	#国务院#正在与盟国协调立场，准备对这一事件作出回应。	美国#国务院#每年都会发布各国人权状况报告。	她被任命为#国务院#亚太事务助理国务卿，负责处理该地区的外交事务。	#国务院#大楼位于华盛顿特区，是美国外交政策的决策中心。	美国#国务院#官员表示，将继续通过外交途径解决这一争端。			
重	chong2	重复做某事	这道题他做错了，老师让他#重#做一遍。	文件格式不对，请#重#新提交一份符合要求的版本。	她把这首歌#重#唱了三遍，直到导演满意为止。	系统出现故障，请#重#启电脑后再试一次。	他决定#重#读这本书，因为第一遍读得太匆忙了。	考试没通过的学生需要#重#考，否则无法获得学分。	这个实验结果不理想，研究团队决定#重#做一次。	她把信#重#写了一遍，措辞比之前更加委婉。			
重	chong2	重复发生的动作或过程	历史总是在#重#演，人类似乎永远无法从过去的错误中吸取教训。	这种悲剧的#重#现让所有人都感到痛心和惋惜。	他担心噩梦会#重#来，所以迟迟不敢入睡。	经济危机的#重#现引发了市场的恐慌情绪。	她害怕那段痛苦的经历会#重#演，所以一直回避类似的情况。	专家警告说，如果不采取措施，疫情可能会#重#来。	这部电影讲述了一个时间循环的故事，主角不断经历同一天的#重#复。	他们希望避免冲突的#重#演，因此积极寻求和平解决方案。			
重	chong2	再次发生或进行	春天来了，万物#重#生，大地一片生机勃勃的景象。	经过修复，这座古老的建筑#重#现了昔日的辉煌。	他们的友谊在多年后#重#新建立起来，比以前更加深厚。	公司经过重组后#重#新焕发了活力，业绩稳步增长。	她决定#重#新开始，把过去的一切都抛在脑后。	这个品牌经过改革后#重#新赢得了消费者的信任。	他#重#返故乡，发现这里已经发生了翻天覆地的变化。	经过长期的努力，濒危物种的数量#重#新开始增长。			
重	chong2	表示重新或重复的前缀	公司决定对这个项目进行#重#评估，以确定是否继续投资。	这份合同需要#重#签，因为原来的版本有几处错误。	他们对产品进行了#重#设计，使其更符合用户的需求。	政府宣布将#重#审这项政策，听取各方面的意见。	这本书经过#重#编后，内容更加丰富，结构也更加清晰。	她决定#重#修这门课程，争取拿到更好的成绩。	工程师对系统进行了#重#构，大大提高了运行效率。	这部经典电影将被#重#拍，由新一代演员主演。			
重	chong2	用于计量层数的量词	这座蛋糕有三#重#，每一层都有不同的口味。	他穿过了九#重#宫门，终于来到了皇帝面前。	这个安全系统设置了多#重#防护，确保数据不会泄露。	她的心里有千#重#顾虑，不知道该如何做出决定。	这道门有七#重#锁，需要七把不同的钥匙才能打开。	他们突破了敌人的三#重#防线，成功完成了任务。	这件事背后有多#重#含义，需要仔细分析才能理解。	古人说"一#重#山，一重水"，形容路途遥远艰难。			
