word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
打击	da3 ji1	依法或强力查处并制止不良行为	公安机关加大力度#打击#电信网络诈骗犯罪，今年已破获相关案件数千起。	政府部门联合执法，严厉#打击#制售假冒伪劣商品的违法行为，保护消费者权益。	海关持续#打击#走私活动，在边境口岸查获了大量违禁物品和偷逃税货物。	市场监管部门重拳#打击#虚假广告和价格欺诈行为，净化了市场经营环境。	国家对涉黑涉恶势力进行了专项#打击#，一大批犯罪团伙被依法惩处。	执法部门开展了#打击#非法采矿的专项行动，关停了多个无证开采的矿点。	网信办持续#打击#网络谣言和有害信息传播，维护了清朗的网络空间。	税务机关严厉#打击#偷税漏税行为，追缴了数亿元的欠税款项。	
打击	da3 ji1	一次造成损害的冲击或打击	这场突如其来的洪水对当地农业造成了毁灭性的#打击#，大片农田被淹没。	金融危机给全球经济带来了沉重的#打击#，许多企业纷纷倒闭裁员。	台风登陆后对沿海城市造成了巨大的#打击#，基础设施损毁严重。	贸易战对两国的出口企业都造成了不小的#打击#，订单量大幅下降。	这次产品召回事件对品牌声誉造成了严重的#打击#，消费者信心骤降。	疫情对旅游业和餐饮业造成了前所未有的#打击#，大量从业者面临失业。	核心技术人员的集体离职对公司的研发能力是一个沉重的#打击#。	原材料价格暴涨对中小制造企业造成了致命的#打击#，利润空间被严重压缩。	
打击	da3 ji1	使人精神受挫的心理创伤	父亲突然离世对她的#打击#非常大，她整整一个月都无法正常工作和生活。	高考落榜对这个一向成绩优异的学生来说是一个巨大的#打击#，他一度陷入了自我怀疑。	被最信任的朋友背叛，这个#打击#让他从此变得不再轻易相信任何人。	创业失败的#打击#让他消沉了很长一段时间，直到家人的鼓励才让他重新振作。	恋人突然提出分手，这个#打击#来得太突然，她好几天都吃不下饭睡不着觉。	得知自己身患重病的消息，这个#打击#几乎击垮了他，但他最终选择了坚强面对。	论文被导师全盘否定，这个#打击#让她在实验室里哭了整整一个下午。	比赛中惨遭淘汰的#打击#让这位年轻运动员一度想要放弃，但教练的开导让他重拾信心。	
打击	da3 ji1	打击乐器的演奏或节奏部分	乐队的#打击#乐手用鼓槌敲出了激昂的节奏，带动全场观众跟着节拍鼓掌。	这首交响曲的#打击#乐部分非常精彩，定音鼓和钹的配合营造出了磅礴的气势。	他从小学习#打击#乐器，架子鼓、木琴、三角铁样样精通，是学校乐团的骨干成员。	民族乐团的#打击#乐声部由锣、鼓、钹等传统乐器组成，音色丰富多变。	音乐学院新开设了#打击#乐专业，聘请了多位国际知名演奏家担任客座教授。	这段爵士乐中#打击#乐的即兴演奏令人叹为观止，鼓手的技巧出神入化。	交响乐团正在排练一首以#打击#乐为主角的现代作品，节奏复杂多变极具挑战性。	她在#打击#乐比赛中凭借一曲马林巴独奏获得了金奖，技惊四座。	
差	cha1	差别或不一致之处	城乡之间的教育资源#差#距依然很大，偏远地区的学校师资力量严重不足。	这两款手机的性能#差#异并不明显，但价格却相差了将近一倍。	南北方的饮食习惯存在很大的#差#异，北方人爱吃面食，南方人偏好米饭。	贫富#差#距的扩大已经成为影响社会稳定的重要因素，需要引起高度重视。	两个版本的翻译在细节上有不少#差#异，读者可以对照阅读体会其中的微妙区别。	不同地区的方言之间存在显著的#差#异，有时候即使是邻县的人也很难互相听懂。	实验结果与理论预测之间的#差#异引起了研究人员的高度关注。	男女在薪酬待遇上的#差#距虽然在逐年缩小，但要实现真正的同工同酬还有很长的路要走。	
差	cha1	（数学）减法后的差额	老师在黑板上写下算式，让学生计算两个数的#差#，全班同学很快就算出了答案。	这道数学题要求先算出两组数据的#差#，然后再进行下一步的统计分析。	会计核对账目时发现收支之间存在一笔不小的#差#额，需要逐项排查原因。	两个测量值之间的#差#非常小，在误差允许的范围之内，说明实验结果是可靠的。	统计学中，标准#差#是衡量数据离散程度的重要指标，数值越大说明数据越分散。	期末考试中，最高分和最低分的#差#竟然达到了八十分，班级成绩两极分化严重。	投资收益与预期目标之间的#差#额需要在下个季度弥补回来。	工程师计算了设计值与实测值之间的#差#，确认结构的变形量在安全范围内。	
差	cha1	有点儿；稍微	他看了看天色，觉得#差#可以出发了，便收拾好行囊踏上了旅途。	这件衣服的颜色#差#近于藏青色，在灯光下看起来又有些偏黑。	老先生年事已高，走路#差#慢，但精神矍铄，思维依然十分敏捷。	这两幅画的风格#差#似，都带有明显的印象派特征，但细看之下各有千秋。	他的病情#差#有好转的迹象，医生说再观察几天就可以考虑出院了。	这篇文章的论述#差#强人意，虽然不算出色，但基本观点还是站得住脚的。	两地的气温#差#不相远，都在零下十度左右，冬天一样寒冷难耐。	古籍中记载此地风俗#差#异于中原，但随着交流日益频繁，差异逐渐缩小。	
差	cha4	不相同的	双胞胎兄弟虽然长得一模一样，但性格却截然不同，#差#别非常大。	这两种材料的物理性质#差#得很远，一种耐高温，另一种在高温下会迅速融化。	同样是学了三年钢琴，两个孩子的水平#差#了不止一个档次。	今年的收成和去年#差#了很多，主要是因为夏天那场罕见的干旱。	虽然都是名牌大学毕业，但每个人的实际能力#差#得可不是一星半点。	这两家餐厅的菜品价格#差#不了多少，但口味和服务水平却天壤之别。	原版和翻拍版的电影质量#差#了十万八千里，翻拍的简直不忍直视。	他和哥哥的学习成绩#差#得很远，一个年年拿奖学金，一个勉强及格。	
差	cha4	错误的；不正确	你这道题的计算过程#差#了，第三步开始就用错了公式，需要重新算。	他记的地址#差#了一个字，结果快递被送到了隔壁小区，费了好大劲才找回来。	导航给的路线#差#了，把我们带到了一条死胡同里，只好掉头重新找路。	这份报告里的数据#差#了好几个百分点，必须核实后重新提交。	你把会议时间记#差#了，不是下午两点而是上午十点，幸好我提前确认了一下。	翻译软件给出的结果#差#得离谱，好几个关键术语都翻译错了，完全不能用。	他把药的剂量搞#差#了，多吃了一倍，吓得赶紧打电话问医生有没有危险。	施工图纸上的尺寸标注#差#了，工人按图施工后发现门框装不上去。	
差	cha4	不足；达不到	他的英语水平还#差#得很远，连基本的日常对话都说不流利。	离毕业论文提交的截止日期只剩一周了，他的进度还#差#了将近一半。	这次模拟考试的成绩离重点大学的录取分数线还#差#二十多分，必须加倍努力。	装修预算已经花了大半，但工程进度还#差#很多，看来要追加费用了。	他跑完全程的成绩比达标线#差#了将近三十秒，没能通过体能测试。	公司今年的销售额离年初定下的目标还#差#百分之十五，最后一个季度压力很大。	这批产品的合格率#差#了五个百分点，没有达到出厂标准，需要返工检查。	筹款活动已经进行了一个月，但募集到的善款离目标金额还#差#一大截。	
