word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
率	shuai4	指挥或下令	将军亲自#率#领三千精兵连夜奔袭敌军大营，一举歼灭了敌方主力部队。	诸葛亮#率#蜀军北伐中原，虽未能完成统一大业，却留下了千古传颂的忠义佳话。	这位年轻的连长#率#全连战士在暴风雪中坚守阵地七天七夜，创造了军事史上的奇迹。	抗日战争期间，八路军将领#率#部队深入敌后开展游击战，有效牵制了日军的进攻。	古代帝王御驾亲征时往往#率#文武百官随行，以彰显国威和鼓舞士气。	刘备#率#关羽张飞等人桃园结义后，开始了艰难的创业之路。	消防队长#率#队员们冲进火场，成功救出了被困在三楼的老人和孩子。	探险队队长#率#众人穿越原始森林，历经千辛万苦终于找到了传说中的古城遗址。			
率	shuai4	鲁莽的	他做事太#率#了，没有经过深思熟虑就贸然签下了那份合同，结果给公司带来了巨大损失。	年轻人血气方刚，行事往往过于#率#，不懂得三思而后行的道理。	她批评下属时言辞过于#率#，完全不顾及对方的感受，导致团队士气低落。	这位新来的经理做决策太#率#，经常不听取专业人士的意见就擅自拍板。	古人云"欲速则不达"，做事#率#而不加考量，往往会适得其反。	他性格#率#，说话不经大脑，经常在社交场合得罪人而不自知。	投资理财切忌#率#，必须做好充分的市场调研和风险评估才能下手。	领导批评他办事太#率#，让他以后遇事要多请示汇报，不要自作主张。			
率	shuai4	匆忙而不周详的	这份报告写得太#率#了，数据没有核实，论证也不够充分，必须重新修改。	他#率#尔成章的文风虽然高产，但作品质量参差不齐，难以经得起时间的考验。	面对记者的突然提问，发言人#率#然作答，结果说错了几个关键数据。	这个方案明显是#率#尔拟定的，很多细节都没有考虑周全，执行起来必然会出问题。	古代科举考试中，那些#率#笔而就的文章往往难以获得考官的青睐。	她做事向来#率#，这次策划活动也不例外，很多环节都漏洞百出。	老师批评学生作业写得太#率#，字迹潦草不说，内容也是敷衍了事。	这篇论文的结论下得太#率#，缺乏足够的实验数据支撑，难以令人信服。			
率	shuai4	坦率的	他为人#率#真，从不掩饰自己的想法，这种性格在职场上既是优点也是缺点。	她#率#直的性格让她在朋友圈中很受欢迎，大家都喜欢和她交心。	面对媒体的尖锐提问，这位企业家#率#然回应，毫不回避敏感话题。	老教授#率#性而为，不拘小节，在学术界以真诚待人著称。	他#率#真的态度打动了面试官，尽管经验不足，还是获得了这份工作。	她说话#率#直，从不拐弯抹角，有什么意见当面就提出来。	这位作家以#率#真的文风著称，他的作品总是直抒胸臆，毫无矫饰。	朋友们都欣赏他#率#真的个性，和他相处不需要费心猜测他的真实想法。			
率	shuai4	直截了当的	他#率#然拒绝了对方的无理要求，态度坚决，不留任何商量的余地。	面对质疑，她#率#直地承认了自己的错误，并表示愿意承担全部责任。	这位领导说话#率#直，从不绕弯子，下属们都很清楚他的要求和期望。	他#率#尔回答了记者的提问，没有任何官腔套话，让人耳目一新。	谈判桌上，她#率#直地提出了己方的底线，让对方清楚地知道哪些条件不可让步。	老板#率#然表态支持这个项目，让团队成员吃了一颗定心丸。	他#率#直的沟通风格在跨文化交流中有时会引起误解，但也赢得了不少人的尊重。	面对朋友的询问，她#率#然相告，没有丝毫隐瞒，这份坦诚让友谊更加牢固。			
率	shuai4	一般地	#率#皆如此，这种现象在各行各业都普遍存在，并非某个领域独有的问题。	古代文人#率#以诗词歌赋为雅事，琴棋书画为必修之艺。	这类案件#率#由基层法院管辖，只有特别重大的才会移交上级法院审理。	传统手工艺人#率#采用师徒相传的方式延续技艺，很少有系统的文字记录。	古时候的读书人#率#以科举入仕为人生目标，寒窗苦读数十载只为金榜题名。	这种植物#率#生长在海拔两千米以上的高山地区，平原地带极为罕见。	古代帝王#率#以天命自居，将自己的统治合法性归于上天的授权。	民间传说#率#带有劝善惩恶的寓意，反映了普通百姓朴素的道德观念。			
率	shuai4	通常或惯常	他#率#以清晨五点起床读书，几十年如一日，从未间断。	这家老字号#率#在每年中秋前后推出限量版月饼，总是供不应求。	古代官员#率#于卯时上朝，迟到者要受到相应的处罚。	她#率#以步行上下班，既锻炼身体又环保，已经坚持了十多年。	这位画家#率#在深夜创作，他说那时候最安静，灵感也最容易涌现。	村里的老人#率#在傍晚时分聚集在大树下聊天下棋，这是延续多年的习惯。	他#率#以茶代酒，在各种应酬场合都坚持这个原则，从不破例。	这家餐厅#率#于午间时段最为繁忙，想要用餐最好提前预约。			
指挥	zhi3 hui1	组织并领导活动或行动	总经理亲自#指挥#这次大型促销活动，从策划到执行都事必躬亲。	救援队长在现场#指挥#调度，有条不紊地安排各小组分头行动。	这场大型晚会由资深导演#指挥#统筹，从灯光音响到演员走位都安排得井井有条。	项目经理#指挥#团队成员各司其职，确保工程按时保质完成。	消防指挥员在火灾现场冷静#指挥#，成功疏散了数百名被困群众。	她#指挥#整个婚礼筹备工作，从场地布置到宾客接待都安排得滴水不漏。					
指挥	zhi3 hui1	指引具体操作或步骤	交警站在十字路口#指挥#车辆有序通行，缓解了早高峰的拥堵状况。	机场地勤人员手持荧光棒#指挥#飞机准确停靠在指定位置。	仓库管理员#指挥#叉车司机将货物整齐码放在指定区域。	导游#指挥#游客们排队上车，并提醒大家注意保管好随身物品。	停车场管理员#指挥#司机倒车入库，避免了可能发生的剐蹭事故。	工地上的塔吊操作员通过对讲机接收地面人员的#指挥#，精准吊装建筑材料。	舞台监督在后台#指挥#演员们按顺序候场，确保演出流程顺畅进行。	她站在搬家卡车旁#指挥#工人们小心搬运那些易碎的古董家具。			
指挥	zhi3 hui1	管弦乐团的指挥	这位著名#指挥#家以其独特的诠释风格闻名于世，每场音乐会都座无虚席。	年轻的#指挥#站在乐团前，举起指挥棒的那一刻，全场顿时安静下来。	他从小就梦想成为一名交响乐团的#指挥#，为此付出了数十年的努力。	这位#指挥#与乐团合作多年，彼此之间已经形成了默契的配合。	音乐厅里，#指挥#的每一个手势都牵动着上百位乐手的演奏。	她是这个城市交响乐团历史上第一位女性首席#指挥#，打破了古典音乐界的性别壁垒。	老#指挥#退休前的最后一场音乐会，观众们起立鼓掌长达十分钟。	这位客座#指挥#来自维也纳，他将为观众带来一场原汁原味的德奥古典音乐盛宴。			
