word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
愈	yu4	恢复健康或原状	经过三个月的精心调养，他的身体终于#愈#了，可以重新回到工作岗位上继续奋斗。	这场大病让她在床上躺了半年，直到春暖花开时才渐渐#愈#了，重新恢复了往日的活力。	医生说只要坚持服药和休息，他的肺炎很快就会#愈#，不必过于担心。	老人的慢性支气管炎经过中西医结合治疗后终于#愈#了，全家人都松了一口气。	她的抑郁症在心理医生的帮助下逐渐#愈#了，现在已经能够正常地生活和工作。	经过漫长的康复训练，他因车祸受损的神经系统终于#愈#了，可以重新站立行走。	这种罕见的皮肤病困扰了他多年，没想到用了民间偏方后竟然#愈#了，让他喜出望外。				
愈	yu4	使伤口或疾病痊愈	这种新型药膏具有很强的消炎作用，能够加速伤口#愈#合，减少疤痕的形成。	医生告诉她，只要保持伤口清洁干燥，这道手术切口很快就能#愈#合，不会留下明显痕迹。	他腿上的骨折经过三个月的静养终于#愈#合了，现在已经可以慢慢下地行走。	这种草药在民间被广泛用于#愈#合各种外伤，据说效果比西药还要好。	经过精心护理，她脸上的烫伤已经完全#愈#合，几乎看不出任何疤痕。	现代医学技术的进步使得许多过去难以#愈#合的创伤现在都能得到有效治疗。	他的胃溃疡在坚持服药两个月后终于#愈#合了，医生建议他今后要注意饮食规律。				
愈	yu4	更好或好转	随着治疗的深入，他的病情#愈#来#愈#好，医生说再过一周就可以出院了。	经过团队的不懈努力，项目的进展#愈#发顺利，预计能够提前完成既定目标。	她的钢琴技艺在名师指导下#愈#加精湛，已经具备了参加国际比赛的水平。	公司的经营状况#愈#来#愈#好，今年的利润比去年增长了百分之三十。	随着年龄的增长，他对人生的理解#愈#发深刻，处事也变得更加从容淡定。	经过多轮修改，这篇论文的质量#愈#来#愈#高，导师终于点头表示满意。	城市的空气质量在政府的大力治理下#愈#来#愈#好，蓝天白云的日子明显增多了。				
聚会	ju4 hui4	宴会或社交性聚会	公司年终#聚会#定在五星级酒店举行，届时会有精彩的文艺表演和丰盛的自助餐。	她精心打扮了一番，准备参加今晚朋友举办的生日#聚会#，希望能给大家留下好印象。	这场慈善#聚会#汇集了城中各界名流，大家在觥筹交错间为贫困儿童筹集善款。	他们每年圣诞节都会举办一场盛大的#聚会#，邀请亲朋好友一起庆祝节日。	婚礼结束后，新人在酒店举办了一场小型#聚会#，只邀请了最亲近的家人和朋友。	这个周末的鸡尾酒#聚会#是认识新朋友的好机会，她决定克服社交恐惧去参加。	公司为庆祝新产品上市成功，特意举办了一场豪华#聚会#，犒劳所有参与项目的员工。				
聚会	ju4 hui4	人员聚集的集会或联欢	大学毕业二十周年的同学#聚会#上，大家回忆起青春岁月，感慨万千。	每年春节，散落在各地的家族成员都会回到老家参加一年一度的家族#聚会#。	这次校友#聚会#来了三百多人，大家在母校的操场上合影留念，场面十分热闘。	退休老干部们定期举行#聚会#，交流养生心得，分享生活趣事，晚年生活过得有滋有味。	战友#聚会#上，老兵们紧紧拥抱，回忆起当年并肩作战的峥嵘岁月，不禁热泪盈眶。	社区为丰富居民文化生活，每月都会组织一次邻里#聚会#，增进大家的感情。	这个读书俱乐部每周六下午都有#聚会#，成员们聚在一起讨论最近读过的好书。				
聚会	ju4 hui4	与人见面参加会面或活动	他推掉了所有应酬，专程赶回老家和多年未见的发小#聚会#，畅谈往事。	虽然工作繁忙，她还是抽出时间和闺蜜们#聚会#，维系这份珍贵的友谊。	他们约定每个月至少#聚会#一次，保持这段跨越二十年的深厚友情。	老同学打来电话，邀请他周末一起#聚会#，他欣然答应，期待着重逢的时刻。	退休后他有了更多时间和老朋友们#聚会#，生活反而比上班时更加充实。	她特意从国外飞回来和家人#聚会#，一家人围坐在一起吃了一顿团圆饭。	疫情结束后，他迫不及待地和许久未见的朋友们#聚会#，大家都格外珍惜相聚的时光。				
聚会	ju4 hui4	组织或召集人们共同举行活动	作为班长，他负责#聚会#全班同学，组织这次毕业十周年的纪念活动。	她主动承担起#聚会#亲友的任务，为父母的金婚纪念日筹备一场温馨的庆典。	村长决定#聚会#全村村民，共同商讨新农村建设的规划方案。	公司工会每年都会#聚会#员工举办各种文体活动，丰富大家的业余生活。	他花了一个月时间联系失散多年的老战友，终于成功#聚会#了当年的整个连队。	社区志愿者们#聚会#居民开展环保宣传活动，号召大家共同保护社区环境。	校友会秘书长费尽心思#聚会#散落在世界各地的校友，筹备母校百年校庆活动。				
听事	ting1 shi4	接见并听取陈述处理事务	古代县令每日清晨都要在大堂#听事#，审理民间诉讼，裁决各类纠纷。	皇帝在御书房#听事#，大臣们依次上前奏报各地的军情和民生状况。	知府大人升堂#听事#，百姓们纷纷前来申诉冤情，希望能得到公正的裁决。	宰相每日在政事堂#听事#，处理来自全国各地的奏章和公文。	这位清官以#听事#公正闻名，无论贫富贵贱，都能得到平等的对待。	按照朝廷规制，地方官员必须定期开堂#听事#，不得推诿拖延百姓的诉求。	他刚上任就开始#听事#，认真倾听下属的汇报，了解衙门的各项事务。				
听事	ting1 shi4	就国事提供咨询或建议	作为帝王的近臣，他经常被召入宫中#听事#，为国家大政方针出谋划策。	这位老臣一生#听事#无数，为朝廷的繁荣稳定贡献了毕生的智慧和心血。	皇帝设立内阁，选拔贤能之士#听事#，共同商议国家的重大决策。	他虽已年迈，但仍被朝廷倚重，时常被请入宫#听事#，提供治国良策。	翰林学士的职责之一就是#听事#，在皇帝需要时提供学识渊博的建议。	这位谋士以善于#听事#著称，他的建议多次帮助君主化解危机。	朝廷广开言路，鼓励大臣们积极#听事#，为国家的长治久安献计献策。				
听事	ting1 shi4	主管并处理政务事务	太子年幼，由摄政王代为#听事#，处理朝廷的日常政务。	皇帝龙体欠安，命太后临朝#听事#，代为处理国家大事。	宰相总揽朝政，日理万机，#听事#繁忙，常常工作到深夜。	这位年轻的君主亲政后勤于#听事#，励精图治，使国家逐渐走向繁荣。	丞相府中设有专门的#听事#厅，用于处理各类政务和接见来访官员。	他被任命为尚书令，开始#听事#六部，统筹协调朝廷的各项事务。	新帝登基后每日早朝#听事#，虚心听取大臣们的意见，展现出明君的风范。				
