word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
既	ji4	表示两者兼有的既……又……结构	这道菜#既#美味又健康，用的都是新鲜的有机蔬菜和优质的橄榄油。	他#既#是一位杰出的科学家，又是一位才华横溢的诗人，堪称文理兼通的典范。	这款手机#既#有时尚的外观设计，又具备强大的性能配置，深受年轻消费者喜爱。	她#既#要照顾年幼的孩子，又要兼顾繁忙的工作，每天都忙得不可开交。	这部电影#既#有扣人心弦的剧情，又有震撼人心的视觉效果，上映首周就打破了票房纪录。	这个方案#既#能节省成本，又能提高效率，得到了管理层的一致认可。	他#既#不抽烟也不喝酒，生活习惯非常健康，难怪七十多岁了还精神矍铄。	这座城市#既#保留了古老的历史文化遗迹，又拥有现代化的商业设施，是旅游的绝佳目的地。			
权	Quan2	权姓	#权#志龙是韩国著名的歌手和音乐制作人，在全球拥有数以亿计的粉丝。	三国时期东吴的开国皇帝孙#权#，是一位雄才大略的政治家和军事家。	#权#老师是我们学校最受欢迎的语文教师，她的课堂总是生动有趣。	据族谱记载，#权#氏家族的祖先在唐朝时期从中原迁徙到了这片土地。	#权#经理刚才打电话来说会议推迟到下午三点，请大家调整一下日程安排。	这位#权#姓企业家白手起家，经过三十年的奋斗，终于建立了自己的商业帝国。	#权#医生是这家医院心内科的主任，在业内享有很高的声誉。	我的邻居#权#大爷今年八十岁了，身体依然硬朗，每天早起打太极拳。			
速度	su4 du4	单位时间内的变化比率	这种新型催化剂可以将化学反应的#速度#提高十倍以上，大大缩短了生产周期。	近年来，全球气温上升的#速度#明显加快，引发了科学界的广泛关注和担忧。	经济增长#速度#放缓是许多发达国家面临的共同挑战，需要寻找新的增长动力。	这款处理器的数据传输#速度#达到了每秒十吉字节，是上一代产品的两倍。	人口老龄化的#速度#超出了预期，给社会保障体系带来了巨大的压力。	光合作用的#速度#受到光照强度、温度和二氧化碳浓度等多种因素的影响。	城市化进程的#速度#在过去二十年里显著加快，农村人口大量涌入城市。	这种病毒的传播#速度#极快，短短一个月内就蔓延到了全球各大洲。			
速度	su4 du4	有方向的速率即速度矢量	物理学中，#速度#是一个矢量，不仅有大小，还有方向，这与速率有本质区别。	卫星在轨道上运行时，其#速度#方向始终与轨道切线方向一致。	当物体做圆周运动时，虽然速率不变，但#速度#方向在不断改变，因此存在加速度。	导弹的制导系统需要实时计算目标的#速度#矢量，以便精确预测其未来位置。	在流体力学中，每个质点的#速度#都可以分解为沿三个坐标轴方向的分量。	根据牛顿第二定律，物体#速度#的变化率与所受合外力成正比，与质量成反比。	飞行员必须时刻关注飞机的#速度#矢量，确保航向和高度都在安全范围内。	这台雷达可以同时测量目标的位置和#速度#矢量，为防空系统提供精确的数据支持。			
速度	su4 du4	音乐演奏的速度或节拍	指挥家轻轻抬起指挥棒，示意乐团将演奏#速度#放慢，营造出一种深沉忧郁的氛围。	这首曲子的#速度#标记是行板，演奏时要保持从容不迫的节奏感。	她在练习这首肖邦练习曲时，总是控制不好#速度#，要么太快要么太慢。	乐谱上标注的#速度#是每分钟一百二十拍，属于中等偏快的快板。	爵士乐的魅力之一就在于演奏者可以自由地变换#速度#，创造出独特的律动感。	这段华彩乐章需要演奏者在极快的#速度#下保持音符的清晰度和准确性。	合唱团在排练时，指挥反复强调要统一#速度#，不能各唱各的。	这首民谣的#速度#比较舒缓，适合在安静的夜晚独自弹唱。			
员	yuan2	从事某种工作的人员	这家公司的技术#员#都是名校毕业的高材生，研发实力非常雄厚。	她从一名普通的售货#员#做起，经过十年的努力，终于当上了商场经理。	消防#员#们冒着生命危险冲进火场，成功救出了被困的一家三口。	这位资深的审计#员#在检查账目时发现了一笔可疑的大额转账记录。	快递#员#每天要派送上百个包裹，风里来雨里去，工作非常辛苦。	医院的护理#员#不仅要照顾病人的日常起居，还要给予他们心理上的安慰。	这名飞行#员#已经安全飞行了两万多个小时，从未发生过任何事故。	公司新招聘了一批程序#员#，准备开发下一代人工智能产品。			
员	yuan2	组织或团体的成员	他是这个学术委#员#会中最年轻的成#员#，但发言却总是一针见血。	作为党#员#，他时刻以身作则，在群众中树立了良好的榜样。	她加入这个环保组织已经五年了，是一名非常活跃的志愿者会#员#。	工会#员#们团结一致，为争取更好的工作条件和福利待遇而努力。	这个读书俱乐部的#员#们每月聚会一次，分享各自的阅读心得。	他是国家篮球队的正式队#员#，曾代表国家参加过两届奥运会。	学生会#员#们正在筹备一年一度的校园文化节，忙得不亦乐乎。	作为资深#员#，她有责任帮助新加入的同事尽快熟悉工作流程。			
员	yuan2	用于称呼将官的量词	朝廷派遣了三#员#大将率领十万精兵前往边疆平定叛乱。	这一#员#虎将在战场上所向披靡，敌军闻风丧胆，纷纷溃逃。	皇帝亲自点了两#员#猛将担任先锋，务必在三日内攻下敌城。	军中有这样一#员#智勇双全的将领，何愁大事不成？	那一#员#老将虽已年过六旬，但宝刀未老，依然能够上阵杀敌。	元帅帐下聚集了数#员#骁将，个个都是身经百战的沙场老手。	这一#员#女将巾帼不让须眉，带领娘子军屡建奇功。	朝廷新任命了一#员#都督，总管西北边防军务。			
商业	shang1 ye4	以盈利为目的的经济活动	这条步行街是全市最繁华的#商业#中心，每天的客流量超过十万人次。	随着电子商务的兴起，传统#商业#模式正面临着前所未有的挑战和变革。	他大学毕业后投身#商业#领域，经过二十年的打拼，终于成为了行业翘楚。	这座写字楼主要用于#商业#办公，入驻了多家世界五百强企业的分支机构。	政府出台了一系列优惠政策，鼓励民间资本进入#商业#服务业。	她在#商业#谈判中展现出了过人的智慧和魄力，为公司争取到了有利的合作条件。	这个#商业#项目的投资回报率预计可达百分之二十，吸引了众多投资者的关注。	现代#商业#竞争日趋激烈，企业必须不断创新才能在市场中立于不败之地。			
商业	shang1 ye4	买卖商品的交易行为	古代丝绸之路是东西方#商业#往来的重要通道，促进了不同文明之间的交流。	这个港口城市自古以来就是#商业#重镇，南来北往的商人在此云集。	随着互联网技术的发展，跨境#商业#变得越来越便捷，消费者可以轻松购买海外商品。								
