word	pinyin	chinese	sentence1	sentence2	sentence3	sentence4	sentence5	sentence6	sentence7	sentence8	sentence9	sentence10
眼	yan3	细小的孔洞	这件皮衣上有好几个针#眼#，看起来是手工缝制的，做工非常精细。	她用细针在布料上扎出一排整齐的小#眼#，准备穿线绣花。	鞋带穿过鞋子两侧的#眼#，系紧后才能固定住脚。	这块筛子的#眼#太大了，细沙都漏下去了，根本起不到过滤作用。	工匠在皮带上打了几个#眼#，方便调节松紧度。	蜂窝煤上均匀分布着十二个#眼#，这样燃烧时空气流通更顺畅。	绣花针的#眼#非常小，她眯着眼睛试了好几次才把线穿进去。
眼	yan3	事物的关键或突出之处	这篇文章的题#眼#就在最后一段，点明了作者的核心观点。	下棋时要善于找到棋#眼#，才能在关键时刻扭转局势。	这首诗的诗#眼#是"空"字，整首诗的意境都围绕它展开。	老师指出这道数学题的题#眼#在于理解变量之间的关系。	他一眼就看出了问题的关键#眼#，迅速找到了解决方案。	这部小说的文#眼#藏在第三章，读懂了它才能理解整个故事的深意。	演讲稿的#眼#在开头那句话，它奠定了整篇演讲的基调。
眼	yan3	用于计数井或穴居等的量词	村子里新打了三#眼#井，彻底解决了村民的饮水问题。	这片黄土高原上分布着几十#眼#窑洞，是当地居民世代居住的地方。	考古队在这个遗址发现了两#眼#古井，据推测有上千年的历史。	政府拨款在干旱地区打了五#眼#深井，帮助农民灌溉农田。	这座古城遗址中保存着十几#眼#水井，见证了当年的繁华。	他们一家三代人住在同一#眼#窑洞里，虽然简陋却充满温馨。	施工队计划在这个工地打两#眼#井，用于建筑施工的供水。
推行	tui1 xing2	实施或推行政策制度	政府决定在全国范围内#推行#新的医疗保险制度，以减轻民众的就医负担。	这项教育改革政策已经在多个省份试点#推行#，取得了显著成效。	公司管理层决定#推行#弹性工作制，让员工可以更灵活地安排工作时间。	新任市长上任后大力#推行#环保政策，关停了多家污染严重的工厂。	学校开始#推行#素质教育评价体系，不再以分数作为唯一的衡量标准。	为了提高行政效率，政府部门正在#推行#电子政务系统，实现网上办事。	这项税收优惠政策自#推行#以来，吸引了大量外资企业入驻。
推行	tui1 xing2	推动并普及某种做法或语言	国家一直致力于#推行#普通话，以促进各地区之间的交流与沟通。	这位书法家毕生致力于#推行#传统书法艺术，培养了无数优秀弟子。
推行	tui1 xing2	徒步推动车辆等向前	自行车爆胎了，他只好#推行#了三公里才找到修车铺。	山路太陡，骑不上去，她只能下车#推行#。	电动车没电了，他在烈日下#推行#了半个小时才到家。	这段上坡路实在太难骑了，大家纷纷下车#推行#。	摩托车熄火后怎么也发动不了，他无奈地#推行#着去找修理店。	她#推行#着婴儿车，沿着林荫道慢慢散步，享受午后的阳光。	货物太重，三轮车骑不动，他只能弯着腰吃力地#推行#。
丧失	sang4 shi1	失去某物或某种能力	那场车祸使他#丧失#了行走能力，从此只能依靠轮椅生活。	长期熬夜导致她的视力严重下降，几乎#丧失#了阅读的能力。	由于脑部受伤，他#丧失#了部分记忆，连家人都认不出来了。	这种疾病会导致患者逐渐#丧失#语言功能，最终完全无法说话。	老年痴呆症使她慢慢#丧失#了生活自理能力，需要家人全天候照顾。	那次意外让他#丧失#了听力，从此生活在无声的世界里。	长期卧床使他的肌肉严重萎缩，几乎#丧失#了站立的能力。
丧失	sang4 shi1	被剥夺或丧掉权利或资格	因为严重违反职业道德，他被#丧失#了律师执业资格。	该运动员因服用禁药被查出，#丧失#了参加奥运会的资格。	根据法律规定，被判处有期徒刑的罪犯将#丧失#选举权和被选举权。	他因多次违规操作，#丧失#了驾驶营运车辆的资格。	公司因财务造假被曝光，#丧失#了上市资格，股票被强制退市。	该学生因考试作弊，#丧失#了获得学位证书的资格。	由于未能按时缴纳会费，他#丧失#了协会会员的资格和相关权益。
示威	shi4 wei1	作为抗议的示威活动本身	数千名民众聚集在市政厅前举行#示威#，抗议政府的新税收政策。	这场#示威#活动持续了整整一周，参与人数不断增加。	警方在#示威#现场部署了大量警力，以维持秩序并防止冲突发生。	工会组织了一场大规模#示威#，要求提高最低工资标准。	学生们举着标语牌进行和平#示威#，呼吁社会关注气候变化问题。	这次#示威#游行从市中心出发，沿途吸引了越来越多的支持者加入。	反对派号召支持者走上街头#示威#，表达对选举结果的不满。
示威	shi4 wei1	以军事力量展示威慑的行动	海军舰队在争议海域进行了大规模军事#示威#，展示了强大的海上力量。	这次联合军演被外界解读为对邻国的武力#示威#，引发了地区紧张局势。	空军派出多架战斗机在边境上空进行#示威#飞行，警告对方不要轻举妄动。	导弹部队的实弹演习是一次明确的军事#示威#，意在震慑潜在对手。	两国关系紧张之际，一方在边境集结重兵进行武力#示威#。	航母战斗群驶入该海域进行#示威#巡航，彰显了维护国家利益的决心。	这次大规模阅兵式既是国庆庆典，也是向世界展示军事实力的#示威#。
